L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
7.95604	-5.84615	0.00773126	5.75824	-8.13187	10.0659	-5.75824	0.00429515	5.58242	-10.1538	-287.83	-2.69	-45.73	-761.27	239.41	-137.19	341.63	-285.14	
7.95604	-5.84615	0.00773126	5.67033	-8.13187	10.0659	-5.75824	0.00429515	5.58242	-10.1538	-355.08	61.87	-24.21	-817.76	392.74	-40.35	242.1	-51.11	
7.95604	-5.84615	0.00773126	5.67033	-8.13187	10.0659	-5.75824	0.00429515	5.67033	-10.0659	-435.78	-2.69	-129.12	-1121.73	360.46	-86.08	352.39	-121.05	
8.04396	-5.84615	0.00773126	5.75824	-8.13187	10.0659	-5.84615	0.00429515	5.58242	-10.1538	-400.81	-2.69	-40.35	-1110.97	376.6	-190.99	352.39	-115.67	
7.95604	-5.84615	0.00773126	5.75824	-8.13187	9.97802	-5.75824	0.00429515	5.58242	-10.1538	-384.67	-2.69	-29.59	-1167.46	309.35	-59.18	376.6	-373.91	
7.95604	-5.84615	0.00773126	5.84615	-8.13187	9.97802	-5.84615	0.00429515	5.58242	-9.97802	-419.64	0	-123.74	-1110.97	349.7	-185.61	376.6	-390.05	
7.95604	-5.84615	0.00773126	5.84615	-8.13187	9.97802	-5.84615	0.00429515	5.58242	-9.97802	78.01	-16.14	-110.29	-1100.21	390.05	-99.53	199.06	-37.66	
7.86813	-5.84615	0.00773126	5.84615	-8.04396	9.89011	-5.75824	0.00429515	5.67033	-9.89011	-204.44	-2.69	-107.6	-1188.98	263.62	-150.64	317.42	-322.8	
7.86813	-5.84615	0.00773126	5.84615	-7.95604	9.89011	-5.75824	0.00429515	5.58242	-9.89011	-433.09	32.28	-134.5	-1121.73	416.95	-86.08	209.82	-242.1	
7.69231	-5.84615	0.00773126	5.84615	-7.95604	9.8022	-5.84615	0.00429515	5.58242	-9.8022	-395.43	-2.69	-26.9	-1441.84	411.57	-180.23	376.6	753.2	
7.69231	-5.84615	0.00773126	5.84615	-7.95604	9.71429	-5.84615	0.00429515	5.58242	-9.8022	-556.83	83.39	-107.6	-1716.22	252.86	-121.05	242.1	-29.59	
7.6044	-5.84615	0.00773126	5.75824	-7.86813	9.62637	-5.75824	0.00429515	5.67033	-9.71429	-462.68	8.07	-115.67	-1086.76	-43.04	-115.67	269	-16.14	
7.51648	-5.84615	0.00773126	5.75824	-7.69231	9.53846	-5.75824	0.00429515	5.67033	-9.53846	-408.88	0	-102.22	-1406.87	438.47	-252.86	287.83	-18.83	
7.42857	-5.84615	0.00773126	5.75824	-7.6044	9.36264	-5.84615	0.00429515	5.67033	-9.45055	-449.23	-5.38	-123.74	-1479.5	29.59	-236.72	239.41	-269	
7.25275	-5.84615	0.00773126	5.75824	-7.42857	9.27473	-5.84615	0.00429515	5.58242	-9.36264	-392.74	-2.69	-32.28	-1226.64	59.18	-118.36	336.25	260.93	
7.07692	-5.93407	0.00773126	5.75824	-7.25275	9.0989	-5.84615	0.00429515	5.67033	-9.0989	-497.65	-5.38	-196.37	-1277.75	83.39	-298.59	263.62	8.07	
6.9011	-5.84615	0.00773126	5.84615	-7.07692	9.01099	-5.75824	0.00429515	5.58242	-8.92308	2.69	-5.38	-112.98	-1124.42	94.15	-121.05	78.01	-45.73	
6.63736	-5.84615	0.00834976	5.75824	-6.72527	8.74725	-5.84615	0.00642554	5.67033	-8.74725	-459.99	-5.38	-166.78	-1293.89	363.15	-239.41	338.94	129.12	
6.37363	-5.84615	0.00834976	5.84615	-6.63736	8.57143	-5.75824	0.00659734	5.58242	-8.48352	-804.31	-5.38	-96.84	-1076	320.11	-91.46	303.97	-51.11	
6.02198	-5.84615	0.00834976	5.84615	-6.1978	8.04396	-5.75824	0.00663171	5.67033	-8.04396	-451.92	-8.07	-121.05	-1199.74	129.12	-75.32	328.18	-16.14	
5.67033	-5.84615	0.00934624	5.84615	-5.84615	7.6044	-5.84615	0.00687223	5.67033	-7.78022	-468.06	0	-34.97	-1100.21	-29.59	-277.07	441.16	-24.21	
5.67033	-5.84615	0.00900263	5.84615	-5.84615	7.69231	-5.75824	0.00738765	5.67033	-7.6044	-519.17	0	-69.94	-1089.45	78.01	-263.62	379.29	86.08	
5.31868	-5.84615	0.00927752	5.84615	-5.31868	7.25275	-5.75824	0.00773126	5.67033	-7.25275	-712.85	0	-145.26	-1272.37	282.45	-48.42	427.71	403.5	
4.79121	-5.84615	0.0093806	5.84615	-4.87912	6.72527	-5.75824	0.00776562	5.67033	-6.63736	-680.57	-13.45	-88.77	-1121.73	96.84	-102.22	427.71	-287.83	
4.17582	-5.84615	0.00944932	5.84615	-4.26374	6.1978	-5.84615	0.00776562	5.67033	-6.28571	-642.91	0	-18.83	-1285.82	336.25	-104.91	419.64	18.83	
3.56044	-5.84615	0.0108581	5.75824	-3.73626	5.67033	-5.75824	0.00834976	5.67033	-5.67033	-726.3	-94.15	0	-1433.77	150.64	-115.67	414.26	59.18	
3.03297	-5.93407	0.0109269	5.84615	-2.94505	4.96703	-5.84615	0.00920879	5.67033	-4.96703	-408.88	5.38	-118.36	-1425.7	99.53	-88.77	430.4	-223.27	
2.32967	-5.93407	0.0110987	5.84615	-2.32967	4.26374	-5.75824	0.00948368	5.75824	-4.26374	-333.56	-26.9	-61.87	-1110.97	185.61	-225.96	400.81	-145.26	
1.53846	-5.93407	0.011133	5.75824	-1.62637	3.56044	-5.84615	0.00996474	5.67033	-3.56044	-669.81	-8.07	-18.83	-1094.83	145.26	-43.04	368.53	234.03	
0.747253	-5.93407	0.011133	5.84615	-0.923077	2.85714	-5.75824	0.0103427	5.67033	-2.76923	-5.38	-13.45	-34.97	-1092.14	371.22	-45.73	408.88	104.91	
0.043956	-5.93407	0.011133	5.84615	-0.131868	2.15385	-5.84615	0.010755	5.67033	-1.97802	-174.85	-10.76	-8.07	-758.58	45.73	-107.6	419.64	234.03	
-0.747253	-5.93407	0.011133	5.84615	0.747253	1.36264	-5.84615	0.0110987	5.75824	-1.18681	234.03	-40.35	-94.15	-621.39	115.67	-13.45	352.39	147.95	
-1.45055	-5.93407	0.011133	5.84615	1.45055	0.571429	-5.84615	0.011511	5.67033	-0.483516	-917.29	-8.07	-182.92	-338.94	34.97	-91.46	309.35	446.54	
-2.24176	-5.93407	0.0110643	5.75824	2.24176	-0.21978	-5.84615	0.0118546	5.67033	0.395604	-172.16	-5.38	-51.11	-258.24	252.86	-102.22	403.5	494.96	
-3.03297	-5.93407	0.0109269	5.84615	3.03297	-0.923077	-5.84615	0.0117859	5.67033	1.0989	-408.88	-8.07	-129.12	-2.69	363.15	-18.83	411.57	535.31	
-3.82418	-5.93407	0.0108238	5.75824	3.82418	-1.8022	-5.84615	0.0117859	5.67033	1.89011	-325.49	-10.76	-193.68	-301.28	145.26	-21.52	325.49	255.55	
