time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-8.79501e-05	0.000910477	0.217062	-5.12332e-05	-2.12974e-05	1.31416e-05	-5.09335e-05	0.078129	1.31747e-05	0.0295099	-0.0164614	0.288481	0	0	0	0	0	0	0	0.000797862	0	0	0.032175	0	
0.05	-8.79461e-05	0.000940505	0.217062	-5.12351e-05	-2.12191e-05	1.31388e-05	-5.09354e-05	0.078129	1.31716e-05	0.0295097	-0.0164177	0.28848	-5.6735e-06	0.00175036	-6.24425e-05	-0.00022694	0.0700145	-0.0024977	0	0.00161533	0	0	0.0333562	0	
0.075	-8.79394e-05	0.000991372	0.217062	-5.12383e-05	-2.10863e-05	1.3134e-05	-5.09386e-05	0.0781292	1.31664e-05	0.0295095	-0.0163436	0.288477	-9.60159e-06	0.00296497	-0.000105676	-0.000157124	0.0485841	-0.00172934	0	0.0024725	0	0	0.0353572	0	
0.1	-8.79297e-05	0.00106433	0.217062	-5.12428e-05	-2.0896e-05	1.31271e-05	-5.09432e-05	0.0781294	1.31589e-05	0.0295091	-0.0162372	0.288473	-1.37511e-05	0.00425233	-0.000151348	-0.000165982	0.0514947	-0.00182688	0	0.00339043	0	0	0.0382271	0	
0.125	-8.79169e-05	0.00116116	0.217062	-5.12489e-05	-2.06433e-05	1.31179e-05	-5.09493e-05	0.0781296	1.31489e-05	0.0295087	-0.0160961	0.288468	-1.82163e-05	0.00564405	-0.000200496	-0.000178607	0.0556688	-0.00196593	0	0.00439168	0	0	0.0420364	0	
0.15	-8.79006e-05	0.00128426	0.217062	-5.12566e-05	-2.03221e-05	1.31063e-05	-5.0957e-05	0.0781299	1.31363e-05	0.0295081	-0.0159168	0.288462	-2.30969e-05	0.00717426	-0.000254219	-0.000195221	0.0612082	-0.0021489	0	0.00550085	0	0	0.0468788	0	
0.175	-8.78806e-05	0.00143665	0.217062	-5.12661e-05	-1.99246e-05	1.30921e-05	-5.09666e-05	0.0781303	1.31208e-05	0.0295074	-0.0156948	0.288454	-2.84994e-05	0.00888046	-0.000313691	-0.000216102	0.0682482	-0.0023789	0	0.00674521	0	0	0.0528733	0	
0.2	-8.78563e-05	0.00162206	0.217062	-5.12776e-05	-1.94408e-05	1.30749e-05	-5.09782e-05	0.0781308	1.31021e-05	0.0295065	-0.0154247	0.288445	-3.45389e-05	0.0108045	-0.00038018	-0.000241579	0.0769608	-0.00265956	0	0.00815533	0	0	0.0601671	0	
0.225	-8.78272e-05	0.00184507	0.217062	-5.12915e-05	-1.88591e-05	1.30543e-05	-5.09922e-05	0.0781314	1.30797e-05	0.0295055	-0.0150998	0.288433	-4.13395e-05	0.0129934	-0.000455056	-0.000272024	0.0875584	-0.00299501	0	0.00976588	0	0	0.0689395	0	
0.25	-8.77927e-05	0.00211114	0.217062	-5.1308e-05	-1.81651e-05	1.30301e-05	-5.10089e-05	0.0781321	1.30532e-05	0.0295043	-0.0147123	0.28842	-4.90352e-05	0.0155009	-0.000539796	-0.000307831	0.100299	-0.00338961	0	0.0116164	0	0	0.0794062	0	
