time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.00979899	10.1118	5.75905	0.0054938	-5.71891	-10.0799	0.00857175	11.6726	5.72906	0.0039615	-5.68869	-11.6406	
0.05	0.00980553	10.1034	5.7592	0.00550296	-5.71906	-10.0715	0.00857828	11.6643	5.72923	0.00397182	-5.68887	-11.6324	
0.075	0.0098166	10.0893	5.75946	0.00551847	-5.71932	-10.0574	0.00858933	11.6503	5.72953	0.00398928	-5.68916	-11.6184	
0.1	0.00983248	10.069	5.75983	0.00554068	-5.71969	-10.0371	0.00860519	11.6302	5.72995	0.0040143	-5.68959	-11.5983	
0.125	0.00985356	10.042	5.76032	0.0055701	-5.72019	-10.0101	0.00862624	11.6036	5.7305	0.00404744	-5.69015	-11.5717	
0.15	0.00988036	10.0077	5.76094	0.00560737	-5.72081	-9.97584	0.008653	11.5697	5.73121	0.00408946	-5.69086	-11.5378	
0.175	0.00991354	9.96532	5.76171	0.00565335	-5.72159	-9.93341	0.00868612	11.5278	5.73208	0.0041413	-5.69174	-11.4959	
0.2	0.0099539	9.91368	5.76264	0.00570903	-5.72252	-9.88177	0.00872643	11.4767	5.73313	0.00420413	-5.6928	-11.4448	
0.225	0.0100025	9.85155	5.76375	0.00577563	-5.72364	-9.81964	0.0087749	11.4153	5.7344	0.00427932	-5.69407	-11.3834	
0.25	0.0100604	9.77739	5.76507	0.00585456	-5.72497	-9.74549	0.00883275	11.3419	5.7359	0.00436851	-5.69558	-11.31	
0.275	0.0101291	9.68937	5.76662	0.00594744	-5.72653	-9.65746	0.00890137	11.2549	5.73767	0.00447358	-5.69737	-11.223	
0.3	0.0102103	9.58528	5.76844	0.00605615	-5.72837	-9.55338	0.00898247	11.1519	5.73974	0.0045967	-5.69945	-11.12	
0.325	0.010306	9.46255	5.77056	0.00618278	-5.7305	-9.43065	0.00907804	11.0306	5.74216	0.00474033	-5.7019	-10.9986	
0.35	0.0104186	9.31812	5.77302	0.00632965	-5.73298	-9.28622	0.00919043	10.8877	5.74498	0.00490722	-5.70474	-10.8558	
0.375	0.0105507	9.14838	5.77587	0.00649929	-5.73584	-9.11648	0.0093224	10.7197	5.74825	0.0051004	-5.70803	-10.6878	
