L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
10.1522	5.84615	0.00573832	-5.67033	-10.1813	11.6476	5.67033	0.00302378	-5.64835	-11.7088	-134.5	156.02	-290.52	-882.32	69.94	-21.52	-32.28	-242.1	
10.1522	5.84615	0.00573832	-5.67033	-10.2692	11.6476	5.67033	0.00302378	-5.64835	-11.6209	-123.74	29.59	-282.45	-1000.68	96.84	-10.76	-26.9	-59.18	
10.0643	5.84615	0.00573832	-5.67033	-10.1813	11.5597	5.67033	0.00302378	-5.73626	-11.533	-239.41	61.87	-293.21	-1011.44	8.07	-8.07	-43.04	-158.71	
10.0643	5.84615	0.00573832	-5.67033	-10.1813	11.5597	5.67033	0.00302378	-5.64835	-11.533	-293.21	-18.83	-349.7	-906.53	75.32	-16.14	-86.08	-215.2	
10.1522	5.84615	0.00573832	-5.67033	-10.1813	11.4718	5.67033	0.00302378	-5.64835	-11.6209	-45.73	78.01	-282.45	-938.81	-32.28	-8.07	-96.84	-48.42	
10.0643	5.84615	0.00573832	-5.67033	-10.1813	11.5597	5.67033	0.00302378	-5.64835	-11.533	-338.94	8.07	-285.14	-1054.48	72.63	-94.15	-61.87	-34.97	
9.97637	5.84615	0.00573832	-5.67033	-10.1813	11.4718	5.67033	0.00302378	-5.64835	-11.4451	182.92	185.61	-285.14	-1051.79	104.91	-83.39	-158.71	-301.28	
9.88846	5.84615	0.00573832	-5.67033	-10.1813	11.4718	5.67033	0.00302378	-5.64835	-11.4451	-142.57	0	-271.69	-1363.83	2.69	-80.7	0	298.59	
9.97637	5.93407	0.00573832	-5.67033	-10.1813	11.4718	5.67033	0.00302378	-5.73626	-11.4451	-298.59	5.38	-277.07	-1331.55	355.08	-96.84	-8.07	295.9	
9.80055	5.84615	0.00573832	-5.67033	-10.0934	11.2959	5.67033	0.00302378	-5.73626	-11.2692	220.58	83.39	-277.07	-1266.99	48.42	-2.69	-16.14	-43.04	
9.80055	5.84615	0.00573832	-5.67033	-10.0055	11.208	5.67033	0.00302378	-5.64835	-11.1813	75.32	16.14	-271.69	-1358.45	223.27	-10.76	-43.04	-234.03	
9.71264	5.84615	0.00573832	-5.67033	-10.0055	11.1201	5.67033	0.00302378	-5.64835	-11.1813	182.92	80.7	-282.45	-1312.72	-34.97	0	-64.56	67.25	
9.62473	5.84615	0.00573832	-5.67033	-9.82967	11.1201	5.67033	0.00302378	-5.64835	-11.0934	-365.84	86.08	-277.07	-1525.23	102.22	0	-121.05	2.69	
9.4489	5.93407	0.00573832	-5.67033	-9.74176	10.8564	5.67033	0.00302378	-5.64835	-10.9176	-333.56	0	-271.69	-1533.3	-139.88	0	-56.49	255.55	
9.36099	5.84615	0.00573832	-5.67033	-9.56593	10.8564	5.67033	0.00302378	-5.64835	-10.8297	142.57	80.7	-266.31	-1428.39	10.76	-2.69	-29.59	78.01	
9.18516	5.93407	0.00573832	-5.67033	-9.39011	10.5926	5.67033	0.00302378	-5.64835	-10.6538	-422.33	2.69	-271.69	-1643.59	-164.09	-2.69	-5.38	217.89	
9.00934	5.84615	0.00573832	-5.67033	-9.21429	10.5047	5.67033	0.00302378	-5.73626	-10.478	-454.61	56.49	-271.69	-1579.03	34.97	0	-67.25	-56.49	
8.7456	5.84615	0.00560087	-5.67033	-8.95055	10.241	5.67033	0.00364228	-5.64835	-10.2143	-416.95	48.42	-274.38	-1433.77	24.21	0	-102.22	-112.98	
8.48187	5.93407	0.00560087	-5.67033	-8.77473	9.97725	5.67033	0.00381409	-5.64835	-9.95055	-543.38	5.38	-277.07	-1659.73	75.32	137.19	-26.9	-193.68	
8.13022	5.93407	0.00594448	-5.67033	-8.42308	9.53769	5.75824	0.00388281	-5.64835	-9.51099	126.43	16.14	-269	-1361.14	0	182.92	-64.56	72.63	
7.77857	5.93407	0.00632246	-5.67033	-7.98352	9.18604	5.75824	0.00453567	-5.64835	-9.24725	-462.68	123.74	-271.69	-1331.55	158.71	-2.69	-45.73	26.9	
7.77857	5.84615	0.00704404	-5.67033	-7.8956	9.18604	5.75824	0.00566959	-5.64835	-9.33516	-521.86	145.26	-489.58	-1291.2	-150.64	0	-21.52	462.68	
7.42692	5.84615	0.00718148	-5.67033	-7.54396	8.65857	5.67033	0.00621937	-5.64835	-8.80769	-750.51	88.77	-486.89	-1183.6	-263.62	131.81	0	629.46	
6.81154	5.84615	0.00800615	-5.67033	-7.01648	8.30692	5.67033	0.0069066	-5.73626	-8.1044	-521.86	158.71	-341.63	-1151.32	-110.29	0	-40.35	-594.49	
6.28407	5.84615	0.00838413	-5.67033	-6.4011	7.69154	5.75824	0.00773126	-5.73626	-7.57692	-180.23	13.45	-352.39	-1194.36	-145.26	193.68	-34.97	-2.69	
5.66868	5.84615	0.0089339	-5.75824	-5.78571	7.16407	5.75824	0.00797179	-5.73626	-7.04945	-126.43	282.45	-301.28	-1304.65	169.47	204.44	-8.07	395.43	
5.0533	5.84615	0.00931188	-5.67033	-5.17033	6.46077	5.67033	0.00834976	-5.82418	-6.52198	-298.59	279.76	-269	-656.36	26.9	201.75	-43.04	16.14	
4.35	5.93407	0.0093806	-5.75824	-4.55495	5.75747	5.75824	0.00872774	-5.73626	-5.73077	-605.25	121.05	-269	-887.7	21.52	166.78	-53.8	809.69	
3.73462	5.84615	0.00951804	-5.75824	-3.76374	5.05418	5.75824	0.00910571	-5.73626	-5.02747	-492.27	306.66	-282.45	-895.77	8.07	255.55	-21.52	403.5	
2.76758	5.84615	0.0104802	-5.75824	-2.97253	4.26297	5.67033	0.00951804	-5.82418	-4.23626	-338.94	398.12	-201.75	-1054.48	-104.91	102.22	-16.14	164.09	
2.1522	6.02198	0.0102053	-5.75824	-2.09341	3.55967	5.75824	0.00986166	-5.73626	-3.35714	-441.16	225.96	-258.24	-917.29	357.77	201.75	10.76	-37.66	
1.27308	6.02198	0.0102396	-5.75824	-1.3022	2.68055	5.67033	0.010274	-5.73626	-2.65385	-503.03	225.96	-269	-801.62	-134.5	107.6	0	137.19	
0.393956	5.93407	0.0102396	-5.75824	-0.510989	1.88934	5.75824	0.0105489	-5.73626	-1.77473	-427.71	69.94	-220.58	-546.07	142.57	244.79	-51.11	360.46	
-0.397253	6.02198	0.0102396	-5.75824	0.456044	1.09813	5.84615	0.0105832	-5.73626	-0.895604	-303.97	320.11	-277.07	-505.72	-137.19	250.17	-13.45	-29.59	
-1.18846	5.93407	0.0102396	-5.75824	1.24725	0.306923	5.75824	0.0108581	-5.73626	-0.104396	-236.72	123.74	-290.52	-285.14	115.67	247.48	-5.38	465.37	
-2.06758	5.93407	0.0102396	-5.75824	2.12637	-0.572198	5.84615	0.0108925	-5.73626	0.686813	-112.98	158.71	-287.83	-336.25	-21.52	164.09	21.52	317.42	
-2.85879	6.02198	0.0101365	-5.75824	3.00549	-1.36341	5.75824	0.0109269	-5.73626	1.56593	21.52	234.03	-306.66	-209.82	139.88	115.67	131.81	161.4	
-3.65	6.02198	0.00989602	-5.75824	3.7967	-2.24253	5.75824	0.0109269	-5.73626	2.53297	-398.12	285.14	-279.76	-172.16	104.91	263.62	-18.83	494.96	
-4.44121	6.02198	0.00975857	-5.75824	4.58791	-3.03374	5.75824	0.0109269	-5.73626	3.14835	-190.99	301.28	-287.83	548.76	209.82	303.97	96.84	952.26	
-5.23242	6.02198	0.00975857	-5.75824	5.29121	-3.73703	5.75824	0.0108238	-5.73626	3.93956	83.39	379.29	-282.45	-172.16	59.18	158.71	2.69	338.94	
-5.93571	5.93407	0.00907135	-5.75824	6.08242	-4.52824	5.75824	0.0103771	-5.73626	4.64286	207.13	69.94	-295.9	-99.53	80.7	172.16	56.49	400.81	
-6.72692	6.02198	0.00865901	-5.75824	6.6978	-5.14363	5.75824	0.00968985	-5.73626	5.34615	-252.86	406.19	-298.59	37.66	287.83	129.12	0	258.24	
-7.2544	6.02198	0.00773126	-5.75824	7.31319	-5.93484	5.75824	0.00917443	-5.82418	5.96154	252.86	56.49	-279.76	18.83	16.14	215.2	193.68	387.36	
-7.95769	5.93407	0.00694096	-5.75824	8.01648	-6.46231	5.75824	0.00838413	-5.82418	6.57692	-172.16	180.23	-242.1	-174.85	293.21	80.7	59.18	551.45	
-8.48516	6.02198	0.00673479	-5.75824	8.54396	-6.98978	5.67033	0.0083154	-5.73626	7.1044	-190.99	204.44	-96.84	-26.9	115.67	212.51	-8.07	957.64	
-9.01264	5.93407	0.00611629	-5.75824	9.15934	-7.51725	5.75824	0.00773126	-5.82418	7.54396	21.52	395.43	-190.99	69.94	435.78	349.7	8.07	793.55	
-8.92473	6.02198	0.00587576	-5.75824	9.15934	-7.51725	5.67033	0.00755946	-5.73626	7.71978	-21.52	322.8	-172.16	150.64	86.08	115.67	0	807	
-9.36429	6.02198	0.00580704	-5.67033	9.51099	-7.8689	5.67033	0.00745637	-5.73626	8.07143	-18.83	215.2	-260.93	231.34	287.83	147.95	-78.01	591.8	
-9.71593	5.93407	0.00573832	-5.75824	9.77473	-8.22055	5.75824	0.00749073	-5.82418	8.33516	-365.84	180.23	-228.65	59.18	75.32	158.71	-34.97	691.33	
