time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-8.64528e-05	0.000992063	0.202087	-5.13416e-05	-2.07845e-05	-2.45137e-05	-4.58962e-05	0.0792373	-2.20239e-05	0.029612	-0.0161438	0.267526	0	0	0	0	0	0	0	0.000842813	0	0	0.0339771	0	
0.05	-8.64474e-05	0.00102377	0.202087	-5.13437e-05	-2.07016e-05	-2.45172e-05	-4.5898e-05	0.0792374	-2.20274e-05	0.0296118	-0.0160979	0.267524	-7.66212e-06	0.00183806	-7.83743e-05	-0.000306485	0.0735224	-0.00313497	0	0.00170554	0	0	0.0351766	0	
0.075	-8.64384e-05	0.00107746	0.202087	-5.13472e-05	-2.05612e-05	-2.45233e-05	-4.59012e-05	0.0792375	-2.20333e-05	0.0296115	-0.0160201	0.267521	-1.29588e-05	0.00311156	-0.000132554	-0.000211866	0.0509401	-0.00216717	0	0.00260857	0	0	0.0372073	0	
0.1	-8.64255e-05	0.00115439	0.202087	-5.13522e-05	-2.036e-05	-2.45319e-05	-4.59058e-05	0.0792377	-2.20417e-05	0.029611	-0.0159086	0.267516	-1.85417e-05	0.00445845	-0.000189663	-0.000223318	0.0538754	-0.00228436	0	0.00357323	0	0	0.0401172	0	
0.125	-8.64084e-05	0.00125637	0.202087	-5.13589e-05	-2.00934e-05	-2.45433e-05	-4.59118e-05	0.0792379	-2.20529e-05	0.0296104	-0.0157608	0.26751	-2.45323e-05	0.00591047	-0.000250943	-0.000239623	0.0580807	-0.00245122	0	0.00462232	0	0	0.0439749	0	
0.15	-8.63868e-05	0.00138583	0.202087	-5.13673e-05	-1.97549e-05	-2.45577e-05	-4.59195e-05	0.0792382	-2.2067e-05	0.0296096	-0.0155733	0.267502	-3.10585e-05	0.00750183	-0.000317705	-0.000261048	0.0636547	-0.00267049	0	0.00578062	0	0	0.0488717	0	
0.175	-8.63601e-05	0.00154581	0.202087	-5.13778e-05	-1.93367e-05	-2.45755e-05	-4.59289e-05	0.0792386	-2.20844e-05	0.0296087	-0.0153415	0.267492	-3.82568e-05	0.00927003	-0.000391346	-0.000287929	0.0707278	-0.00294563	0	0.00707552	0	0	0.0549232	0	
0.2	-8.63279e-05	0.0017401	0.202087	-5.13905e-05	-1.88288e-05	-2.45969e-05	-4.59404e-05	0.079239	-2.21054e-05	0.0296075	-0.0150601	0.26748	-4.62733e-05	0.0112567	-0.000473363	-0.000320663	0.0794657	-0.00328069	0	0.00853759	0	0	0.0622724	0	
0.225	-8.72954e-05	0.00197269	0.202087	-5.14057e-05	-1.82192e-05	-2.46223e-05	-5.10602e-05	0.0792361	-2.45894e-05	0.0296061	-0.0147224	0.267466	-5.52655e-05	0.0135085	-0.000565368	-0.000359689	0.0900727	-0.00368021	0	0.0102014	0	0	0.071093	0	
0.25	-8.72517e-05	0.0022503	0.202087	-5.14237e-05	-1.74937e-05	-2.46524e-05	-5.10784e-05	0.0792368	-2.46221e-05	0.0296045	-0.0143205	0.267449	-6.54023e-05	0.0160784	-0.000669092	-0.00040547	0.102797	-0.00414896	0	0.0121062	0	0	0.0815935	0	
