L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
10.9434	6.37363	0.0243621	-6.10989	-10.8846	12.6146	6.10989	0.0230563	-6.08791	-12.6758	-833.9	161.4	-303.97	-769.34	255.55	201.75	-32.28	13.45	
10.9434	6.37363	0.0243621	-6.10989	-10.8846	12.7025	6.02198	0.0230563	-6.08791	-12.6758	-852.73	255.55	-303.97	-769.34	400.81	137.19	-43.04	126.43	
10.9434	6.37363	0.0243621	-6.10989	-10.8846	12.6146	6.02198	0.0230563	-6.08791	-12.5879	-777.41	325.49	-303.97	-769.34	398.12	231.34	-43.04	37.66	
10.8555	6.37363	0.0243621	-6.10989	-10.8846	12.5267	6.10989	0.0230563	-6.17582	-12.5879	-745.13	309.35	-303.97	-772.03	161.4	234.03	-8.07	67.25	
10.9434	6.37363	0.0243621	-6.10989	-10.8846	12.5267	6.02198	0.0230563	-6.08791	-12.5879	-718.23	252.86	-301.28	-1110.97	166.78	260.93	-80.7	110.29	
10.8555	6.28571	0.0243621	-6.10989	-10.8846	12.5267	6.02198	0.0230563	-6.17582	-12.5	-850.04	330.87	-301.28	-1113.66	390.05	199.06	-40.35	75.32	
10.8555	6.37363	0.0243621	-6.10989	-10.8846	12.4388	6.02198	0.0230563	-6.08791	-12.5	-449.23	303.97	-242.1	-1113.66	242.1	150.64	-91.46	182.92	
10.7676	6.28571	0.0243621	-6.10989	-10.8846	12.4388	6.10989	0.0230563	-6.17582	-12.4121	-858.11	357.77	-242.1	-1086.76	80.7	96.84	-78.01	-2.69	
10.7676	6.37363	0.0243621	-6.10989	-10.7967	12.4388	6.10989	0.0230563	-6.17582	-12.3242	-844.66	236.72	-242.1	-1108.28	166.78	239.41	-18.83	104.91	
10.5918	6.37363	0.0243621	-6.10989	-10.7088	12.3509	6.10989	0.0230563	-6.08791	-12.3242	-847.35	118.36	-244.79	-1108.28	78.01	153.33	-142.57	121.05	
10.5918	6.28571	0.0243621	-6.10989	-10.533	12.1751	6.10989	0.0230563	-6.08791	-12.2363	-758.58	320.11	-244.79	-1145.94	161.4	344.32	-69.94	72.63	
10.5038	6.28571	0.0243621	-6.10989	-10.533	12.0871	6.10989	0.0230563	-6.17582	-12.1484	-449.23	301.28	-266.31	-1353.07	72.63	250.17	-126.43	59.18	
10.328	6.37363	0.0243621	-6.10989	-10.4451	11.9992	6.10989	0.0230563	-6.08791	-12.0604	-441.16	220.58	-266.31	-1202.43	107.6	185.61	-29.59	-26.9	
10.2401	6.37363	0.0243621	-6.10989	-10.2692	11.9992	6.10989	0.0230563	-6.08791	-11.8846	-850.04	368.53	-266.31	-1355.76	166.78	271.69	-80.7	258.24	
10.0643	6.37363	0.0243621	-6.10989	-10.0055	11.8234	6.10989	0.0230563	-6.17582	-11.7967	-855.42	153.33	-285.14	-1167.46	72.63	363.15	-18.83	45.73	
9.88846	6.37363	0.0243621	-6.10989	-9.91758	11.5597	6.10989	0.0230563	-6.17582	-11.533	-524.55	336.25	-376.6	-1145.94	158.71	129.12	-29.59	-156.02	
9.53681	6.28571	0.0243621	-6.1978	-9.82967	11.2959	6.02198	0.0230563	-6.08791	-11.3571	-433.09	360.46	-287.83	-1353.07	64.56	368.53	-67.25	2.69	
9.36099	6.28571	0.0265612	-6.1978	-9.56593	11.1201	6.10989	0.0243964	-6.08791	-11.0934	-852.73	425.02	-298.59	-1253.54	80.7	357.77	-56.49	123.74	
9.09725	6.37363	0.0263207	-6.1978	-9.12637	10.7685	6.10989	0.0250493	-6.08791	-10.8297	-368.53	312.04	-295.9	-1506.4	88.77	242.1	-67.25	61.87	
8.7456	6.37363	0.0266643	-6.1978	-8.86264	10.4168	6.10989	0.0250493	-6.17582	-10.3901	-411.57	199.06	-287.83	-922.67	325.49	215.2	-53.8	-193.68	
8.30604	6.37363	0.0276951	-6.1978	-8.51099	10.0652	6.10989	0.0254273	-6.17582	-10.1264	-489.58	180.23	-242.1	-1358.45	336.25	349.7	-18.83	10.76	
8.39396	6.37363	0.0274546	-6.1978	-8.42308	10.0652	6.10989	0.0261832	-6.17582	-9.95055	-1121.73	398.12	-287.83	-1097.52	231.34	185.61	-16.14	301.28	
7.86648	6.37363	0.0278325	-6.10989	-7.8956	9.53769	6.10989	0.0268017	-6.17582	-9.51099	-895.77	298.59	-336.25	-1210.5	341.63	250.17	-16.14	-61.87	
7.33901	6.28571	0.0284167	-6.1978	-7.36813	9.01022	6.10989	0.027214	-6.17582	-8.98352	-801.62	322.8	-242.1	-1078.69	137.19	373.91	-24.21	185.61	
6.81154	6.37363	0.0285541	-6.1978	-6.75275	8.39484	6.10989	0.0276264	-6.17582	-8.36813	-1070.62	347.01	-244.79	-1011.44	306.66	400.81	-61.87	-53.8	
6.10824	6.46154	0.0286229	-6.1978	-6.13736	7.77945	6.1978	0.0276607	-6.17582	-7.75275	-833.9	269	-263.62	-1194.36	255.55	376.6	-80.7	201.75	
5.40495	6.37363	0.0297568	-6.1978	-5.43407	7.07615	6.10989	0.0282792	-6.17582	-7.04945	-860.8	293.21	-201.75	-1140.56	40.35	347.01	-21.52	91.46	
4.61374	6.46154	0.0295506	-6.1978	-4.55495	6.28495	6.10989	0.028829	-6.17582	-6.25824	-1078.69	406.19	-293.21	-1148.63	231.34	234.03	-169.47	43.04	
3.91044	6.46154	0.0297224	-6.1978	-3.93956	5.58165	6.1978	0.0292414	-6.26374	-5.55495	-809.69	263.62	-258.24	-1051.79	104.91	449.23	-26.9	330.87	
3.03132	6.46154	0.0311312	-6.1978	-2.97253	4.79044	6.1978	0.0303409	-6.26374	-4.76374	-1076	395.43	-303.97	-887.7	220.58	341.63	-13.45	279.76	
2.24011	6.46154	0.0319215	-6.1978	-2.18132	3.91132	6.1978	0.0315779	-6.17582	-3.7967	-333.56	373.91	-303.97	-984.54	142.57	301.28	-64.56	303.97	
1.36099	6.46154	0.0321277	-6.1978	-1.3022	3.12011	6.1978	0.0324026	-6.26374	-2.91758	-1180.91	392.74	-244.79	-570.28	80.7	158.71	-78.01	242.1	
0.481868	6.46154	0.0321621	-6.1978	-0.335165	2.06516	6.1978	0.0326087	-6.17582	-2.03846	-572.97	274.38	-328.18	-338.94	174.85	384.67	-112.98	347.01	
-0.485165	6.37363	0.0321621	-6.1978	0.631868	1.27396	6.28571	0.0327806	-6.26374	-1.15934	-973.78	94.15	-306.66	-207.13	126.43	239.41	-34.97	314.73	
-1.36429	6.46154	0.0321621	-6.1978	1.51099	0.394835	6.1978	0.0332273	-6.26374	-0.192308	-519.17	416.95	-303.97	-142.57	80.7	266.31	-8.07	228.65	
-2.24341	6.37363	0.0321621	-6.1978	2.47802	-0.484286	6.1978	0.0333647	-6.26374	0.598901	-613.32	255.55	-344.32	-142.57	228.65	392.74	-13.45	381.98	
-3.12253	6.46154	0.0321621	-6.1978	3.35714	-1.36341	6.1978	0.0333991	-6.26374	1.56593	-793.55	185.61	-290.52	-107.6	242.1	244.79	-16.14	390.05	
-4.00165	6.37363	0.0319902	-6.1978	4.14835	-2.24253	6.28571	0.0334334	-6.26374	2.44505	-804.31	322.8	-363.15	-121.05	298.59	153.33	-177.54	398.12	
-4.79286	6.46154	0.0315092	-6.1978	5.02747	-3.12165	6.28571	0.0334334	-6.26374	3.32418	-710.16	328.18	-274.38	357.77	-145.26	309.35	-172.16	422.33	
-5.67198	6.46154	0.0308563	-6.1978	6.17033	-3.91286	6.1978	0.0325057	-6.26374	4.02747	-481.51	271.69	-269	-1110.97	220.58	269	-45.73	373.91	
-6.46319	6.46154	0.0296537	-6.1978	6.60989	-4.70407	6.28571	0.0312687	-6.26374	4.90659	-204.44	260.93	-306.66	-53.8	190.99	102.22	-8.07	263.62	
-7.2544	6.46154	0.0287603	-6.1978	7.48901	-5.58319	6.1978	0.030822	-6.26374	5.60989	-416.95	395.43	-312.04	-446.54	-40.35	266.31	-61.87	788.17	
-7.78187	6.46154	0.0282105	-6.1978	8.1044	-6.11066	6.28571	0.0296537	-6.26374	6.31319	-403.5	408.88	-312.04	83.39	164.09	365.84	-26.9	820.45	
-8.57308	6.37363	0.0272484	-6.1978	8.80769	-6.81396	6.1978	0.0292414	-6.17582	6.92857	-497.65	328.18	-293.21	2.69	131.81	414.26	-182.92	529.93	
-9.27637	6.46154	0.0264925	-6.1978	9.42308	-7.42934	6.10989	0.0284854	-6.26374	7.63187	-411.57	123.74	-290.52	-207.13	212.51	395.43	-32.28	-10.76	
-9.71593	6.37363	0.0261145	-6.1978	9.86264	-7.95681	6.10989	0.0282449	-6.26374	8.07143	-390.05	314.73	-306.66	365.84	433.09	320.11	-177.54	866.18	
-9.80385	6.46154	0.0254616	-6.1978	9.95055	-7.95681	6.10989	0.0283136	-6.17582	8.15934	-451.92	336.25	-322.8	147.95	80.7	172.16	-131.81	782.79	
-10.0676	6.46154	0.0246026	-6.1978	10.3022	-8.39637	6.10989	0.028348	-6.17582	8.5989	-355.08	177.54	-252.86	360.46	478.82	306.66	-212.51	597.18	
