L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
8.39396	5.67033	0.0136414	-5.49451	-8.33516	13.6696	5.40659	0.00834976	-5.38462	-13.8187	-1124.42	2.69	-303.97	-761.27	801.62	-5.38	-96.84	137.19	
8.39396	5.67033	0.0136414	-5.40659	-8.33516	13.6696	5.40659	0.00834976	-5.47253	-13.8187	-1121.73	75.32	-303.97	-761.27	798.93	-5.38	-26.9	16.14	
8.39396	5.75824	0.0136414	-5.49451	-8.33516	13.6696	5.40659	0.00834976	-5.47253	-13.8187	-1116.35	69.94	-295.9	-1097.52	790.86	-18.83	-72.63	153.33	
8.39396	5.67033	0.0136414	-5.49451	-8.33516	13.6696	5.49451	0.00834976	-5.38462	-13.7308	-1110.97	8.07	-336.25	-1062.55	796.24	-13.45	-115.67	158.71	
8.39396	5.67033	0.0136414	-5.40659	-8.24725	13.6696	5.40659	0.00834976	-5.38462	-13.8187	-1110.97	199.06	-314.73	-1097.52	785.48	-10.76	-86.08	80.7	
8.39396	5.67033	0.0136414	-5.49451	-8.33516	13.5816	5.40659	0.00834976	-5.38462	-13.7308	-1466.05	94.15	-295.9	-1089.45	772.03	-147.95	-94.15	10.76	
8.39396	5.67033	0.0136414	-5.49451	-8.24725	13.5816	5.40659	0.00834976	-5.38462	-13.7308	-1463.36	64.56	-295.9	-1094.83	788.17	-10.76	-67.25	0	
8.39396	5.67033	0.0136414	-5.49451	-8.24725	13.4937	5.40659	0.00834976	-5.38462	-13.6429	-1423.01	56.49	-266.31	-1100.21	653.67	-8.07	-131.81	37.66	
8.21813	5.67033	0.0136414	-5.40659	-8.15934	13.4937	5.40659	0.00834976	-5.38462	-13.5549	-1431.08	2.69	-293.21	-1102.9	543.38	-21.52	-118.36	51.11	
8.13022	5.67033	0.0136414	-5.49451	-8.15934	13.4058	5.40659	0.00834976	-5.47253	-13.5549	-1463.36	16.14	-277.07	-855.42	785.48	-13.45	-40.35	8.07	
8.13022	5.67033	0.0136414	-5.49451	-8.07143	13.4058	5.40659	0.00834976	-5.38462	-13.467	-1433.77	29.59	-390.05	-1076	780.1	-121.05	-137.19	2.69	
8.04231	5.75824	0.0136414	-5.40659	-7.98352	13.3179	5.40659	0.00834976	-5.38462	-13.3791	-1439.15	13.45	-320.11	-1078.69	702.09	-18.83	-61.87	43.04	
7.86648	5.67033	0.0136414	-5.49451	-7.80769	13.1421	5.49451	0.00834976	-5.47253	-13.2912	-1113.66	10.76	-252.86	-1358.45	478.82	-2.69	-21.52	373.91	
