L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
8.13022	5.67033	0.0164246	-5.93407	-8.07143	13.8454	5.49451	0.00738765	-5.47253	-13.7308	-2.69	-48.42	112.98	0	2.69	-484.2	-37.66	0	
8.13022	5.67033	0.0164246	-5.84615	-8.07143	13.8454	5.49451	0.00738765	-5.56044	-13.7308	-2.69	-45.73	118.36	0	0	-446.54	-34.97	0	
8.13022	5.67033	0.0164246	-5.93407	-8.07143	13.8454	5.49451	0.00738765	-5.56044	-13.7308	-2.69	-21.52	115.67	-2.69	-10.76	-430.4	-59.18	0	
8.13022	5.67033	0.0164246	-5.93407	-8.07143	13.8454	5.49451	0.00738765	-5.56044	-13.7308	-2.69	-110.29	134.5	-2.69	5.38	-441.16	-40.35	0	
8.13022	5.67033	0.0164246	-5.93407	-8.07143	13.8454	5.49451	0.00738765	-5.56044	-13.7308	-2.69	-21.52	131.81	-2.69	0	-441.16	-26.9	0	
8.13022	5.58242	0.0164246	-5.93407	-8.07143	13.7575	5.49451	0.00738765	-5.56044	-13.7308	-88.77	-83.39	126.43	-10.76	43.04	-438.47	-59.18	0	
8.04231	5.67033	0.0164246	-5.93407	-8.07143	13.7575	5.49451	0.00738765	-5.56044	-13.7308	-24.21	-137.19	121.05	0	21.52	-435.78	-59.18	0	
8.13022	5.67033	0.0164246	-5.93407	-7.98352	13.6696	5.49451	0.00738765	-5.56044	-13.7308	102.22	-75.32	123.74	-8.07	53.8	-441.16	-29.59	0	
7.9544	5.67033	0.0164246	-5.93407	-7.98352	13.5816	5.49451	0.00738765	-5.47253	-13.7308	21.52	-48.42	131.81	-5.38	48.42	-441.16	-40.35	5.38	
7.86648	5.67033	0.0164246	-5.93407	-7.98352	13.5816	5.49451	0.00738765	-5.56044	-13.6429	43.04	-134.5	123.74	-5.38	24.21	-443.85	-59.18	0	
7.77857	5.58242	0.0164246	-5.93407	-7.80769	13.4937	5.49451	0.00738765	-5.56044	-13.6429	-5.38	-48.42	121.05	0	147.95	-430.4	-34.97	2.69	
7.69066	5.67033	0.0164246	-5.84615	-7.80769	13.4937	5.49451	0.00738765	-5.56044	-13.5549	-5.38	-177.54	129.12	0	182.92	-535.31	-59.18	10.76	
