L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.88846	5.49451	-0.00229361	-5.23077	-9.8022	11.2813	5.23077	-0.00410616	-5.2967	-11.5055	-769.34	279.76	-298.59	-769.34	642.91	24.21	-126.43	-177.54	
9.88846	5.49451	-0.00229361	-5.23077	-9.8022	11.2813	5.23077	-0.00410616	-5.20879	-11.3297	-809.69	274.38	-271.69	-807	758.58	16.14	-75.32	-395.43	
9.88846	5.49451	-0.00229361	-5.23077	-9.8022	11.1934	5.23077	-0.00410616	-5.20879	-11.4176	-828.52	269	-298.59	-815.07	755.89	75.32	-88.77	-53.8	
9.80055	5.40659	-0.00229361	-5.23077	-9.8022	11.1934	5.23077	-0.00410616	-5.20879	-11.3297	-847.35	260.93	-328.18	-874.25	777.41	99.53	-96.84	-161.4	
9.80055	5.49451	-0.00229361	-5.23077	-9.8022	11.1934	5.14286	-0.00410616	-5.20879	-11.4176	-841.97	266.31	-266.31	-1073.31	790.86	10.76	-72.63	-94.15	
9.80055	5.49451	-0.00229361	-5.23077	-9.8022	11.1934	5.23077	-0.00409757	-5.20879	-11.3297	-855.42	260.93	-306.66	-1073.31	715.54	121.05	-137.19	-153.33	
9.71264	5.49451	-0.00229361	-5.23077	-9.8022	11.1055	5.14286	-0.00409757	-5.2967	-11.3297	-839.28	266.31	-266.31	-1076	793.55	51.11	-185.61	-48.42	
9.71264	5.49451	-0.00229361	-5.23077	-9.8022	11.1055	5.14286	-0.00409757	-5.20879	-11.1538	-1108.28	252.86	-301.28	-1073.31	433.09	118.36	-29.59	-269	
9.62473	5.49451	-0.00229361	-5.14286	-9.71429	11.1055	5.23077	-0.00409757	-5.2967	-11.1538	-828.52	260.93	-260.93	-1393.42	653.67	156.02	-88.77	-352.39	
9.62473	5.49451	-0.00229361	-5.23077	-9.62637	11.0176	5.23077	-0.00409757	-5.2967	-11.0659	-895.77	258.24	-274.38	-1180.91	567.59	80.7	-32.28	-56.49	
9.53681	5.49451	-0.00229361	-5.23077	-9.62637	11.0176	5.23077	-0.00409757	-5.20879	-10.978	-963.02	258.24	-306.66	-1336.93	820.45	220.58	-96.84	-53.8	
9.4489	5.49451	-0.00229361	-5.23077	-9.45055	10.9297	5.31868	-0.00409757	-5.20879	-11.0659	-1132.49	260.93	-271.69	-1307.34	728.99	69.94	-75.32	-121.05	
9.36099	5.49451	-0.00229361	-5.23077	-9.36264	10.7538	5.23077	-0.00408898	-5.20879	-10.8901	-1062.55	263.62	-306.66	-1366.52	457.3	134.5	-83.39	-53.8	
9.27308	5.49451	-0.00229361	-5.23077	-9.27473	10.6659	5.23077	-0.00408898	-5.20879	-10.8022	-669.81	258.24	-486.89	-1312.72	107.6	86.08	-32.28	-188.3	
9.09725	5.49451	-0.00229361	-5.23077	-9.18681	10.4901	5.23077	-0.00408898	-5.2967	-10.6264	-1148.63	258.24	-516.48	-1377.28	489.58	104.91	-26.9	-56.49	
8.92143	5.49451	-0.00229361	-5.23077	-9.01099	10.3143	5.23077	-0.00408039	-5.20879	-10.4505	-1145.94	258.24	-492.27	-1358.45	981.85	134.5	-102.22	-347.01	
8.65769	5.49451	-0.00229361	-5.23077	-8.83516	10.1385	5.31868	-0.00408039	-5.20879	-10.2747	-936.12	258.24	-478.82	-1366.52	551.45	129.12	-64.56	26.9	
8.48187	5.49451	-0.000927752	-5.23077	-8.57143	9.96264	5.23077	-0.00273171	-5.38462	-10.011	-1156.7	255.55	-484.2	-1355.76	371.22	37.66	2.69	-317.42	
8.30604	5.49451	-0.000558369	-5.23077	-8.30769	9.6989	5.23077	-0.00232797	-5.2967	-9.74725	-887.7	247.48	-473.44	-1296.58	554.14	102.22	-43.04	-503.03	
7.9544	5.49451	-0.000188986	-5.23077	-7.95604	9.25934	5.31868	-0.00193282	-5.2967	-9.3956	-745.13	255.55	-481.51	-1038.34	850.04	121.05	-145.26	61.87	
7.60275	5.49451	2.57709e-05	-5.23077	-7.69231	8.90769	5.23077	-0.00152048	-5.2967	-9.04396	-828.52	260.93	-486.89	-1363.83	801.62	174.85	-188.3	-376.6	
7.51484	5.49451	2.57709e-05	-5.23077	-7.6044	8.90769	5.31868	-0.00126277	-5.38462	-8.95604	-1175.53	258.24	-484.2	-1065.24	898.46	118.36	-96.84	-274.38	
7.16319	5.49451	0.000154625	-5.23077	-7.16484	8.55604	5.31868	-0.000944932	-5.2967	-8.6044	-1253.54	252.86	-484.2	-1207.81	470.75	185.61	-115.67	-185.61	
6.72363	5.49451	0.000541188	-5.23077	-6.63736	8.11648	5.23077	-0.000721585	-5.38462	-8.16484	-1121.73	255.55	-481.51	-1234.71	494.96	88.77	-142.57	-247.48	
6.19615	5.49451	0.00087621	-5.23077	-6.10989	7.58901	5.23077	-0.000274889	-5.2967	-7.63736	-1143.25	255.55	-481.51	-1250.85	858.11	112.98	-121.05	126.43	
5.49286	5.49451	0.00147753	-5.23077	-5.49451	6.88571	5.31868	0.000223348	-5.38462	-6.93407	-1062.55	104.91	-489.58	-1113.66	172.16	45.73	-188.3	8.07	
4.96538	5.49451	0.00198436	-5.23077	-4.79121	6.27033	5.23077	0.000712994	-5.38462	-6.40659	-1110.97	185.61	-481.51	-1250.85	349.7	115.67	-104.91	-88.77	
4.26209	5.49451	0.00232797	-5.23077	-4.26374	5.65495	5.31868	0.001237	-5.38462	-5.79121	-715.54	99.53	-494.96	-965.71	503.03	53.8	-94.15	-69.94	
3.55879	5.58242	0.00252555	-5.23077	-3.47253	4.86374	5.31868	0.00158061	-5.2967	-5	-976.47	83.39	-481.51	-1014.13	64.56	174.85	-40.35	182.92	
2.76758	5.49451	0.0026544	-5.23077	-2.68132	4.24835	5.31868	0.00192423	-5.38462	-4.20879	-1022.2	228.65	-492.27	-1081.38	605.25	236.72	-83.39	59.18	
2.06429	5.58242	0.00270594	-5.23077	-1.97802	3.45714	5.31868	0.00219052	-5.2967	-3.41758	-855.42	188.3	-500.34	-777.41	255.55	223.27	-69.94	-126.43	
1.18516	5.49451	0.00273171	-5.23077	-1.0989	2.66593	5.31868	0.00250837	-5.38462	-2.62637	-887.7	134.5	-503.03	-852.73	570.28	99.53	-139.88	-59.18	
0.481868	5.58242	0.0027403	-5.23077	-0.307692	1.96264	5.40659	0.00298083	-5.38462	-1.92308	-844.66	252.86	-511.1	-508.41	586.42	258.24	-102.22	306.66	
-0.309341	5.58242	0.0027403	-5.23077	0.483516	1.08352	5.40659	0.00329008	-5.38462	-1.04396	-885.01	190.99	-511.1	-492.27	538	139.88	-134.5	43.04	
-1.10055	5.58242	0.00271453	-5.23077	1.36264	0.38022	5.31868	0.0034533	-5.38462	-0.252747	-1234.71	88.77	-519.17	-94.15	567.59	199.06	-56.49	161.4	
-1.89176	5.49451	0.00262863	-5.23077	2.24176	-0.498901	5.31868	0.00375396	-5.47253	0.538462	-763.96	247.48	-513.79	10.76	513.79	209.82	-164.09	306.66	
-2.77088	5.49451	0.00243105	-5.23077	3.03297	-1.2022	5.40659	0.00381409	-5.47253	1.32967	-1051.79	180.23	-516.48	-177.54	43.04	266.31	-139.88	508.41	
-3.56209	5.58242	0.00206167	-5.23077	3.64835	-1.99341	5.40659	0.00373678	-5.47253	2.12088	-882.32	104.91	-371.22	75.32	602.56	201.75	-169.47	365.84	
-4.17747	5.49451	0.00177819	-5.31868	4.61538	-2.87253	5.31868	0.00348766	-5.38462	2.91209	-903.84	196.37	-441.16	139.88	137.19	252.86	-290.52	231.34	
-4.96868	5.58242	0.0014174	-5.31868	5.23077	-3.57582	5.31868	0.00322136	-5.38462	3.61538	-965.71	199.06	-333.56	-118.36	548.76	204.44	-290.52	177.54	
-5.67198	5.49451	0.000944932	-5.31868	6.10989	-4.27912	5.31868	0.00254273	-5.38462	4.23077	-825.83	252.86	-330.87	83.39	443.85	271.69	-290.52	355.08	
-6.37527	5.58242	0.00057555	-5.31868	6.63736	-4.98242	5.31868	0.00189845	-5.2967	5.02198	-451.92	145.26	-419.64	45.73	602.56	53.8	-242.1	158.71	
-6.99066	5.49451	0.000188986	-5.23077	7.25275	-5.5978	5.31868	0.00143458	-5.38462	5.54945	-858.11	217.89	-384.67	-193.68	153.33	204.44	-153.33	21.52	
-7.60604	5.58242	-0.000223348	-5.23077	7.78022	-6.21319	5.31868	0.00102224	-5.38462	6.25275	-494.96	129.12	-476.13	-61.87	494.96	126.43	-91.46	225.96	
-8.22143	5.49451	-0.00057555	-5.23077	8.3956	-6.65275	5.31868	0.000627091	-5.2967	6.69231	-1151.32	199.06	-524.55	83.39	309.35	185.61	-32.28	414.26	
-8.66099	5.58242	-0.00101365	-5.23077	8.83516	-7.09231	5.31868	0.000206167	-5.2967	7.21978	-704.78	147.95	-527.24	172.16	796.24	182.92	-37.66	459.99	
-8.7489	5.58242	-0.00122841	-5.23077	8.92308	-7.18022	5.31868	0.000128854	-5.38462	7.21978	-484.2	142.57	-411.57	69.94	470.75	78.01	-51.11	494.96	
-9.10055	5.49451	-0.00161497	-5.31868	9.18681	-7.61978	5.23077	0.000120264	-5.2967	7.65934	-360.46	121.05	-481.51	118.36	618.7	147.95	-53.8	524.55	
-9.36429	5.58242	-0.00184691	-5.23077	9.45055	-7.88352	5.31868	-0.000120264	-5.2967	7.92308	-807	150.64	-333.56	212.51	750.51	107.6	-53.8	825.83	
-9.54011	5.58242	-0.00213898	-5.31868	9.71429	-8.14725	5.23077	-0.000395153	-5.38462	8.18681	-363.15	118.36	-247.48	247.48	562.21	153.33	-75.32	613.32	
-9.71593	5.58242	-0.00231938	-5.23077	9.89011	-8.32308	5.23077	-0.00057555	-5.2967	8.36264	-807	193.68	-277.07	255.55	591.8	185.61	-182.92	516.48	
-9.89176	5.58242	-0.002474	-5.23077	10.0659	-8.41099	5.31868	-0.000730175	-5.2967	8.45055	-468.06	86.08	-282.45	263.62	790.86	169.47	-150.64	675.19	
-10.0676	5.49451	-0.00253414	-5.23077	10.1538	-8.67473	5.23077	-0.000816078	-5.38462	8.62637	-527.24	180.23	-279.76	234.03	796.24	96.84	-137.19	519.17	
-10.0676	5.58242	-0.00260286	-5.23077	10.1538	-8.76264	5.23077	-0.000927752	-5.2967	8.8022	-750.51	134.5	-279.76	363.15	890.39	118.36	-228.65	774.72	
-10.1555	5.49451	-0.00261145	-5.23077	10.3297	-8.85055	5.23077	-0.00111674	-5.38462	8.89011	-438.47	180.23	-279.76	13.45	815.07	147.95	-102.22	710.16	
-10.1555	5.58242	-0.00263722	-5.23077	10.2418	-8.85055	5.31868	-0.00134009	-5.2967	8.89011	-441.16	188.3	-279.76	212.51	790.86	67.25	-91.46	642.91	
-10.1555	5.58242	-0.0026544	-5.23077	10.2418	-8.85055	5.23077	-0.00139163	-5.2967	8.8022	-433.09	121.05	-277.07	-104.91	357.77	88.77	-86.08	546.07	
-10.0676	5.58242	-0.00266299	-5.23077	10.0659	-8.85055	5.31868	-0.00152048	-5.38462	8.8022	-443.85	139.88	-274.38	494.96	659.05	131.81	-118.36	459.99	
-9.97967	5.58242	-0.00267158	-5.23077	10.0659	-8.76264	5.23077	-0.00161497	-5.2967	8.8022	-271.69	199.06	-282.45	263.62	817.76	139.88	-56.49	451.92	
-9.80385	5.58242	-0.00263722	-5.23077	9.97802	-8.67473	5.23077	-0.00167511	-5.2967	8.62637	-228.65	201.75	-277.07	217.89	812.38	169.47	-51.11	430.4	
-9.71593	5.49451	-0.00261145	-5.23077	9.71429	-8.58681	5.31868	-0.00164934	-5.2967	8.53846	-225.96	207.13	-271.69	503.03	922.67	99.53	-104.91	564.9	
-9.54011	5.58242	-0.00252555	-5.23077	9.53846	-8.41099	5.23077	-0.00164075	-5.2967	8.45055	-379.29	107.6	-538	688.64	747.82	104.91	-185.61	408.88	
-9.4522	5.49451	-0.00239669	-5.31868	9.45055	-8.23516	5.23077	-0.00162357	-5.38462	8.27473	-285.14	123.74	-419.64	5.38	731.68	91.46	-182.92	465.37	
-9.10055	5.58242	-0.00201872	-5.31868	9.27473	-7.97143	5.23077	-0.00126277	-5.38462	8.01099	-379.29	107.6	-298.59	258.24	734.37	131.81	-142.57	753.2	
-8.92473	5.49451	-0.00149471	-5.31868	9.01099	-7.88352	5.31868	-0.000850439	-5.2967	7.83516	-129.12	247.48	-314.73	314.73	766.65	220.58	-75.32	621.39	
-8.57308	5.49451	-0.00086762	-5.31868	8.57143	-7.53187	5.31868	-0.000206167	-5.38462	7.48352	255.55	91.46	-287.83	301.28	1097.52	236.72	-139.88	755.89	
-8.30934	5.58242	-0.000515418	-5.31868	8.30769	-7.09231	5.31868	0.000266299	-5.38462	7.13187	-209.82	96.84	-376.6	196.37	451.92	96.84	-223.27	462.68	
-8.30934	5.49451	-0.000438105	-5.31868	8.30769	-7.09231	5.23077	0.000489647	-5.2967	7.13187	-142.57	188.3	-390.05	360.46	1067.93	153.33	-260.93	416.95	
-7.95769	5.58242	-0.000163216	-5.23077	7.95604	-6.91648	5.23077	0.000343612	-5.38462	6.78022	-220.58	228.65	-435.78	228.65	777.41	67.25	-193.68	637.53	
-7.43022	5.58242	-1.71806e-05	-5.31868	7.42857	-6.21319	5.31868	0.00058414	-5.2967	6.25275	-61.87	96.84	-330.87	476.13	774.72	32.28	-204.44	844.66	
-6.90275	5.49451	0.000146035	-5.31868	6.98901	-5.77363	5.31868	0.000798897	-5.2967	5.72527	-51.11	91.46	-411.57	344.32	820.45	43.04	-110.29	777.41	
-6.37527	5.49451	0.000472466	-5.23077	6.28571	-5.15824	5.23077	0.00121982	-5.2967	5.10989	-43.04	91.46	-414.26	266.31	928.05	61.87	-188.3	809.69	
-5.8478	5.58242	0.000901981	-5.23077	5.75824	-4.63077	5.31868	0.00152907	-5.2967	4.58242	16.14	99.53	-425.02	-225.96	890.39	142.57	-147.95	347.01	
-5.05659	5.58242	0.00137445	-5.31868	5.05495	-3.92747	5.40659	0.00191564	-5.2967	3.87912	-231.34	139.88	-500.34	271.69	710.16	88.77	-177.54	680.57	
-4.44121	5.49451	0.0017696	-5.23077	4.35165	-3.31209	5.40659	0.00225925	-5.38462	3.17582	67.25	209.82	-355.08	610.63	753.2	158.71	-123.74	1043.72	
-3.65	5.58242	0.00225066	-5.23077	3.64835	-2.52088	5.31868	0.00250837	-5.2967	2.38462	-158.71	137.19	-476.13	-112.98	443.85	123.74	-225.96	529.93	
-2.9467	5.49451	0.00259427	-5.23077	2.76923	-1.72967	5.31868	0.00261145	-5.2967	1.68132	78.01	190.99	-352.39	185.61	1318.1	32.28	-174.85	258.24	
-2.15549	5.58242	0.00292929	-5.23077	2.06593	-0.938462	5.40659	0.00255132	-5.47253	0.802198	115.67	182.92	-333.56	-172.16	403.5	123.74	-75.32	-172.16	
-1.4522	5.49451	0.00325572	-5.31868	1.36264	-0.235165	5.40659	0.00249118	-5.38462	0.010989	61.87	88.77	-347.01	-306.66	607.94	40.35	-169.47	-231.34	
-0.660989	5.58242	0.00360792	-5.31868	0.483516	0.556044	5.31868	0.00234515	-5.38462	-0.78022	-260.93	112.98	-338.94	-277.07	624.08	156.02	-78.01	-293.21	
0.13022	5.58242	0.00361651	-5.31868	-0.307692	1.34725	5.31868	0.00220771	-5.38462	-1.57143	150.64	236.72	-285.14	-360.46	349.7	223.27	-290.52	2.69	
0.921429	5.49451	0.00359933	-5.31868	-1.0989	2.13846	5.40659	0.00170947	-5.38462	-2.36264	-236.72	161.4	-279.76	-357.77	478.82	80.7	-293.21	-80.7	
1.62473	5.58242	0.00323854	-5.31868	-1.89011	2.84176	5.40659	0.00140022	-5.38462	-3.06593	-190.99	166.78	-279.76	-427.71	659.05	180.23	-242.1	-156.02	
2.41593	5.49451	0.00299801	-5.31868	-2.59341	3.54505	5.31868	0.00112533	-5.38462	-3.85714	-290.52	174.85	-279.76	-906.53	527.24	48.42	-217.89	-94.15	
3.11923	5.49451	0.00273171	-5.31868	-3.2967	4.42418	5.23077	0.000927752	-5.2967	-4.47253	-371.22	115.67	-320.11	-777.41	594.49	107.6	-123.74	-290.52	
3.91044	5.58242	0.00235374	-5.31868	-3.91209	4.95165	5.31868	0.000549779	-5.38462	-5.17582	-236.72	147.95	-441.16	-616.01	129.12	102.22	-18.83	-150.64	
4.52582	5.58242	0.00186409	-5.31868	-4.7033	5.65495	5.31868	0.000223348	-5.2967	-5.87912	-277.07	112.98	-497.65	-21.52	567.59	18.83	-8.07	-274.38	
