Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	-0.0149	0.0056	0.9998	1.0012	0.006	0.0162	
0.051	-0.0225	0.0085	0.998	1.0014	0.008	0.0188	
0.086	-0.0129	0.0083	1.0127	1.0016	0.0051	0.0188	
0.119	-0.0188	0.0024	0.998	1.0019	0.0068	0.0189	
0.162	-0.0164	0.0061	1.0156	1.0022	0.0071	0.0199	
0.196	-0.0171	-0.0002	1.0186	1.0024	0.0044	0.0194	
0.23	-0.0088	0.0125	1.0078	1.0027	0.0078	0.0203	
0.264	-0.0125	0.009	0.9949	1.003	0.0064	0.0195	
0.307	-0.0125	0.0051	1.0051	1.0033	0.0074	0.0159	
0.341	-0.0093	0.009	0.9919	1.0035	0.006	0.0167	
0.375	-0.011	0.0039	1.0071	1.0038	0.0073	0.0185	
0.409	-0.0247	0.0112	0.9998	1.004	0.0059	0.0226	
0.452	-0.0237	0.0061	1.0215	1.0043	0.0041	0.0197	
0.486	-0.0242	0.0068	0.999	1.0046	0.0064	0.0226	
0.52	-0.0112	0.0056	0.9929	1.0048	0.0053	0.0179	
0.545	-0.0183	0.0034	1.021	1.005	0.0049	0.017	
0.545	-0.0183	0.0034	1.021	1.005	0.0049	0.017	
2.91	-0.0188	0.019	0.9624	1.0214	0.0101	0.0159	
2.944	-0.0037	-0.0083	0.8982	1.0217	0.0093	0.0144	
2.969	-0.0037	0.011	0.9199	1.0219	0.0094	0.0139	
2.995	-0.0032	0.022	0.9084	1.0221	0.0084	0.0145	
3.02	-0.0139	0.0049	0.9744	1.0223	0.0072	0.0156	
3.046	-0.03	-0.0059	1.0117	1.0225	0.0046	0.0203	
3.072	-0.0085	0.0134	0.9294	1.0227	0.0057	0.0217	
3.097	0.0122	-0.0034	0.9512	1.0229	0.0061	0.0222	
3.122	-0.0188	0.0254	0.9954	1.0232	0.0081	0.0217	
3.147	-0.042	0.0066	1.0161	1.0234	0.007	0.0234	
3.173	-0.0398	0.0142	1.0947	1.0237	0.0077	0.0253	
3.199	-0.0347	0.0137	0.9807	1.0238	0.0079	0.0259	
3.224	-0.0002	0.0208	0.9082	1.0241	0.0094	0.0222	
3.25	-0.0012	-0.0122	0.9175	1.0242	0.0082	0.0172	
3.275	-0.0095	0.011	0.9478	1.0244	0.0075	0.019	
3.301	-0.0229	-0.0046	1.0217	1.0246	0.0083	0.0165	
3.327	-0.0044	0.0127	0.9712	1.0247	0.0098	0.0155	
3.344	-0.0098	0.0144	0.9858	1.0249	0.0117	0.0155	
3.37	-0.0261	0.0247	1.0439	1.0251	0.0101	0.0184	
3.395	-0.0042	0.0159	0.967	1.0253	0.0105	0.0166	
3.421	-0.0022	0.009	0.926	1.0254	0.0092	0.0128	
3.446	0.0381	0.0159	0.8167	1.0255	0.01	0.0115	
3.472	0	0.0002	0.9058	1.0256	0.0077	0.0124	
3.498	-0.0225	0.0139	0.9858	1.0258	0.0089	0.0138	
3.523	0.0005	0.0066	0.9021	1.026	0.0083	0.0108	
3.549	-0.0186	-0.0256	1.0437	1.0262	0.008	0.0113	
3.574	-0.0232	0.0376	1.0798	1.0265	0.011	0.0111	
3.6	-0.0286	-0.0159	1.0449	1.0267	0.0091	0.0116	
3.625	-0.0432	0.0098	1.144	1.0268	0.0112	0.0116	
3.65	-0.0376	0.0159	1.0212	1.027	0.0095	0.0099	
3.676	-0.0146	-0.0352	1.0398	1.0271	0.0078	0.011	
3.701	-0.0112	0.0266	0.9705	1.0272	0.0092	0.0122	
3.727	0.0085	0.0066	0.9048	1.0275	0.0087	0.0115	
3.753	0.0093	0.0068	0.9116	1.0276	0.0079	0.0135	
3.778	-0.0146	0.0269	1.0061	1.0279	0.0109	0.0167	
3.795	-0.0195	0.0127	1.0288	1.0279	0.0114	0.0167	
3.82	-0.0015	-0.0056	0.9768	1.028	0.0069	0.0171	
3.846	-0.0144	0.0178	0.9783	1.0282	0.0086	0.0199	
3.871	-0.0115	0.0042	0.98	1.0283	0.0073	0.0181	
3.897	-0.0027	0.0093	0.9719	1.0286	0.0073	0.0161	
3.923	-0.0247	0.0039	0.9902	1.0288	0.0067	0.0212	
3.948	-0.0134	0.0002	0.9646	1.0289	0.0053	0.0184	
3.974	-0.0161	0.0063	0.9583	1.0291	0.0067	0.0184	
3.999	-0.0122	0.0051	0.9358	1.0293	0.0053	0.0137	
4.025	-0.0088	-0.0015	0.926	1.0295	0.0041	0.014	
4.051	-0.0093	0.0015	0.9668	1.0296	0.0053	0.0134	
4.076	-0.0261	-0.0066	1.0491	1.0298	0.006	0.0126	
4.102	-0.0559	0.022	1.1272	1.0301	0.0094	0.0121	
4.127	-0.0374	-0.0193	1.0754	1.0302	0.0069	0.0103	
4.153	-0.0159	0.0242	1.0217	1.0304	0.0074	0.0128	
4.17	-0.0144	0.0359	1.0161	1.0305	0.0087	0.0145	
4.195	-0.0183	-0.0134	1.0056	1.0307	0.0058	0.0112	
