L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.62473	5.14286	-0.00232797	-5.40659	-9.53846	11.1934	5.14286	-0.00425219	-5.38462	-11.3297	-5.38	-96.84	0	0	56.49	0	-26.9	-2.69	
9.62473	5.14286	-0.00232797	-5.40659	-9.53846	11.1934	5.14286	-0.00425219	-5.38462	-11.3297	-5.38	-96.84	0	0	53.8	0	-24.21	-2.69	
9.62473	5.05495	-0.00232797	-5.40659	-9.53846	11.1934	5.14286	-0.00425219	-5.38462	-11.3297	-5.38	-91.46	0	8.07	59.18	0	-8.07	-2.69	
9.62473	5.14286	-0.00232797	-5.40659	-9.53846	11.1934	5.14286	-0.00425219	-5.2967	-11.3297	-5.38	-96.84	5.38	0	56.49	0	-8.07	-2.69	
9.62473	5.14286	-0.00232797	-5.40659	-9.53846	11.1934	5.14286	-0.00423501	-5.38462	-11.3297	-5.38	-91.46	0	0	53.8	2.69	-8.07	-2.69	
9.62473	5.14286	-0.00232797	-5.40659	-9.53846	11.1934	5.14286	-0.00421783	-5.2967	-11.4176	-8.07	-91.46	16.14	0	5.38	0	-10.76	-5.38	
9.62473	5.14286	-0.00232797	-5.40659	-9.53846	11.1055	5.14286	-0.00419206	-5.38462	-11.3297	-8.07	-91.46	0	-2.69	0	0	-13.45	-5.38	
9.53681	5.14286	-0.00232797	-5.40659	-9.53846	11.1934	5.05495	-0.00416629	-5.2967	-11.3297	-8.07	-91.46	0	-5.38	0	0	-10.76	0	
9.4489	5.14286	-0.00232797	-5.40659	-9.45055	11.1934	5.14286	-0.00414052	-5.2967	-11.2418	-5.38	-96.84	0	-2.69	-2.69	67.25	-18.83	-8.07	
9.4489	5.14286	-0.00232797	-5.40659	-9.45055	11.1055	5.14286	-0.00412334	-5.38462	-11.2418	-8.07	-91.46	0	-10.76	-2.69	61.87	-10.76	-13.45	
9.4489	5.05495	-0.00232797	-5.40659	-9.36264	11.1055	5.14286	-0.00410616	-5.38462	-11.1538	-10.76	-94.15	0	-8.07	0	61.87	-2.69	-8.07	
9.36099	5.14286	-0.00232797	-5.40659	-9.27473	11.1055	5.14286	-0.00408898	-5.2967	-11.0659	-5.38	-96.84	0	-16.14	0	64.56	-16.14	-10.76	
9.27308	5.14286	-0.00232797	-5.40659	-9.18681	11.0176	5.14286	-0.00408039	-5.2967	-10.978	-5.38	-88.77	0	-13.45	0	34.97	-18.83	-5.38	
9.18516	5.14286	-0.00232797	-5.40659	-9.0989	10.8418	5.14286	-0.0040718	-5.2967	-10.8901	0	-96.84	0	-10.76	0	59.18	-10.76	-5.38	
9.00934	5.14286	-0.00232797	-5.40659	-8.92308	10.7538	5.14286	-0.00400308	-5.2967	-10.7143	-2.69	-91.46	0	-8.07	0	61.87	-16.14	-10.76	
8.92143	5.05495	-0.00232797	-5.40659	-8.74725	10.578	5.14286	-0.00366805	-5.38462	-10.5385	-13.45	-91.46	0	0	0	56.49	-5.38	-5.38	
8.7456	5.14286	-0.00232797	-5.40659	-8.65934	10.4022	5.14286	-0.00366805	-5.2967	-10.4505	-24.21	-94.15	0	0	5.38	59.18	-5.38	0	
8.39396	5.14286	-0.00117687	-5.40659	-8.48352	10.2264	5.14286	-0.00275748	-5.2967	-10.1868	0	-91.46	0	0	0	61.87	-2.69	-2.69	
8.30604	5.14286	-0.000549779	-5.40659	-8.04396	9.96264	5.14286	-0.00206167	-5.38462	-9.92308	-32.28	-99.53	0	13.45	5.38	59.18	-2.69	-21.52	
7.9544	5.14286	-0.000377973	-5.40659	-7.86813	9.61099	5.14286	-0.00190704	-5.38462	-9.65934	-34.97	-91.46	0	2.69	29.59	56.49	-2.69	-5.38	
7.60275	5.14286	-0.000249118	-5.40659	-7.51648	9.34725	5.14286	-0.00140881	-5.2967	-9.30769	5.38	-88.77	0	26.9	8.07	61.87	-2.69	2.69	
7.42692	5.14286	-0.000214757	-5.40659	-7.34066	9.25934	5.14286	-0.00113392	-5.2967	-9.13187	-13.45	-91.46	0	-13.45	-5.38	67.25	-2.69	-21.52	
7.2511	5.05495	0.000326431	-5.40659	-7.16484	8.81978	5.14286	-0.000953522	-5.38462	-8.86813	-37.66	-94.15	0	2.69	-5.38	61.87	-2.69	-24.21	
6.89945	5.14286	0.000781717	-5.40659	-6.63736	8.46813	5.14286	-0.000738765	-5.38462	-8.42857	-32.28	-91.46	0	0	0	59.18	-2.69	-26.9	
6.37198	5.14286	0.00119405	-5.40659	-6.10989	8.02857	5.14286	-0.000137445	-5.38462	-7.98901	-37.66	-94.15	0	2.69	-18.83	64.56	0	-32.28	
5.84451	5.14286	0.00152048	-5.49451	-5.58242	7.5011	5.14286	0.000266299	-5.38462	-7.46154	-37.66	-110.29	0	0	-5.38	61.87	0	-26.9	
5.22912	5.05495	0.00167511	-5.40659	-5.05495	6.7978	5.14286	0.000944932	-5.38462	-6.84615	-43.04	-126.43	0	16.14	0	61.87	0	-21.52	
4.61374	5.14286	0.00180396	-5.40659	-4.43956	6.18242	5.14286	0.0011511	-5.38462	-6.23077	-40.35	-104.91	0	0	-21.52	64.56	0	-32.28	
3.99835	5.14286	0.0022163	-5.40659	-3.73626	5.47912	5.14286	0.00172665	-5.38462	-5.52747	-51.11	-107.6	0	-2.69	-13.45	59.18	0	-21.52	
3.29505	5.14286	0.00257709	-5.40659	-2.94505	4.77582	5.14286	0.00209603	-5.2967	-4.82418	-53.8	-110.29	0	0	-8.07	91.46	0	-29.59	
2.59176	5.14286	0.00272312	-5.40659	-2.24176	4.07253	5.14286	0.00220771	-5.38462	-4.03297	-78.01	-123.74	0	0	-13.45	96.84	0	-21.52	
1.88846	5.14286	0.00279185	-5.40659	-1.53846	3.36923	5.14286	0.00232797	-5.2967	-3.32967	-102.22	-115.67	0	0	-5.38	99.53	0	-21.52	
1.18516	5.14286	0.00281762	-5.49451	-0.747253	2.57802	5.14286	0.00269735	-5.38462	-2.53846	-112.98	-121.05	0	-5.38	-5.38	99.53	0	-34.97	
0.481868	5.14286	0.00281762	-5.40659	0.043956	1.78681	5.14286	0.00296365	-5.38462	-1.74725	-112.98	-102.22	0	0	-13.45	91.46	0	-26.9	
-0.221429	5.14286	0.00281762	-5.40659	0.835165	0.995604	5.14286	0.00302378	-5.2967	-0.956044	-145.26	-126.43	0	-2.69	-10.76	99.53	0	-26.9	
-1.01264	5.14286	0.00280903	-5.40659	1.62637	0.204396	5.14286	0.00302378	-5.38462	-0.252747	-182.92	-112.98	0	0	-13.45	96.84	0	-26.9	
-1.62802	5.05495	0.00276607	-5.40659	2.41758	-0.586813	5.14286	0.00299801	-5.38462	0.626374	-201.75	-115.67	0	0	-8.07	99.53	0	-24.21	
-2.33132	5.05495	0.00267158	-5.40659	3.20879	-1.37802	5.14286	0.00294647	-5.2967	1.41758	-225.96	-115.67	0	-13.45	0	96.84	0	-26.9	
-3.03462	5.14286	0.00251696	-5.40659	3.82418	-2.25714	5.14286	0.00286916	-5.38462	2.20879	-263.62	-112.98	0	-43.04	0	96.84	0	-21.52	
-3.65	5.14286	0.00188127	-5.40659	4.43956	-2.96044	5.14286	0.00274889	-5.2967	2.91209	-279.76	-102.22	0	-45.73	0	99.53	0	-32.28	
-4.3533	5.14286	0.0011511	-5.40659	5.23077	-3.66374	5.14286	0.00249978	-5.38462	3.61538	-320.11	-118.36	0	-61.87	5.38	96.84	0	-40.35	
-4.96868	5.14286	0.000489647	-5.40659	5.93407	-4.45495	5.14286	0.00186409	-5.38462	4.31868	-322.8	-112.98	0	-64.56	8.07	61.87	0	-32.28	
-5.49615	5.14286	0.000120264	-5.40659	6.54945	-5.07033	5.14286	0.0015033	-5.38462	5.02198	-344.32	-126.43	0	-99.53	0	64.56	0	-45.73	
-6.02363	5.14286	-0.000352202	-5.40659	7.07692	-5.77363	5.14286	0.000807487	-5.2967	5.72527	-373.91	-99.53	0	-104.91	2.69	40.35	0	-26.9	
-6.5511	5.14286	-0.000695814	-5.40659	7.6044	-6.21319	5.14286	0.000377973	-5.38462	6.25275	-365.84	-102.22	0	-112.98	-2.69	56.49	0	-10.76	
-6.99066	5.14286	-0.00109097	-5.40659	8.21978	-6.74066	5.14286	-5.15418e-05	-5.38462	6.69231	-330.87	-118.36	0	-102.22	43.04	56.49	0	16.14	
-7.34231	5.14286	-0.00109956	-5.40659	8.48352	-7.0044	5.14286	-7.73126e-05	-5.38462	6.95604	-408.88	-123.74	0	-118.36	0	56.49	0	-43.04	
-7.51813	5.14286	-0.00143458	-5.40659	8.65934	-7.26813	5.14286	-0.000231938	-5.38462	7.13187	-441.16	-110.29	0	-110.29	40.35	56.49	0	-18.83	
-7.60604	5.14286	-0.00176101	-5.49451	8.92308	-7.61978	5.14286	-0.000369383	-5.2967	7.57143	-494.96	-115.67	0	-102.22	10.76	59.18	0	-5.38	
-7.69396	5.05495	-0.00201872	-5.49451	9.27473	-7.70769	5.14286	-0.000506827	-5.38462	7.83516	-505.72	-112.98	2.69	-102.22	5.38	56.49	0	-2.69	
-7.78187	5.14286	-0.0022163	-5.40659	9.45055	-8.05934	5.14286	-0.000678633	-5.2967	8.01099	-543.38	-115.67	0	-110.29	0	61.87	0	-13.45	
-7.95769	5.05495	-0.00233656	-5.40659	9.53846	-8.14725	5.14286	-0.000901981	-5.38462	8.18681	-492.27	-110.29	0	-110.29	10.76	61.87	0	-29.59	
-8.30934	5.14286	-0.00240528	-5.40659	9.71429	-8.32308	5.14286	-0.00109956	-5.2967	8.36264	-505.72	-107.6	0	-112.98	10.76	61.87	0	-2.69	
-8.30934	5.14286	-0.00249118	-5.40659	9.8022	-8.4989	5.14286	-0.00118546	-5.38462	8.53846	-578.35	-102.22	0	-123.74	13.45	61.87	0	-10.76	
-8.30934	5.14286	-0.00252555	-5.40659	9.89011	-8.67473	5.14286	-0.00125418	-5.2967	8.53846	-532.62	-102.22	0	-107.6	0	61.87	0	-5.38	
-8.30934	5.14286	-0.00253414	-5.40659	9.89011	-8.67473	5.14286	-0.00127136	-5.38462	8.62637	-532.62	-104.91	0	-102.22	-2.69	56.49	0	-10.76	
-8.30934	5.14286	-0.00257709	-5.40659	9.89011	-8.67473	5.14286	-0.00128854	-5.2967	8.62637	-529.93	-126.43	0	-91.46	-2.69	56.49	0	-13.45	
-8.30934	5.05495	-0.00262863	-5.40659	9.89011	-8.67473	5.14286	-0.00128854	-5.38462	8.62637	-503.03	-110.29	0	-24.21	-2.69	59.18	0	-10.76	
-8.30934	5.14286	-0.00266299	-5.40659	9.89011	-8.67473	5.14286	-0.00129713	-5.38462	8.62637	-473.44	-102.22	0	-18.83	-2.69	56.49	0	-5.38	
-8.30934	5.14286	-0.00268017	-5.40659	9.8022	-8.67473	5.14286	-0.00131431	-5.38462	8.53846	-441.16	-102.22	0	-21.52	51.11	51.11	0	0	
-8.30934	5.05495	-0.00266299	-5.40659	9.71429	-8.58681	5.14286	-0.00130572	-5.2967	8.45055	-414.26	-118.36	0	-16.14	61.87	61.87	0	24.21	
-8.30934	5.14286	-0.00260286	-5.40659	9.62637	-8.4989	5.14286	-0.00127995	-5.38462	8.45055	-368.53	-99.53	0	-5.38	67.25	59.18	0	24.21	
-8.30934	5.14286	-0.00249118	-5.40659	9.45055	-8.41099	5.14286	-0.00124559	-5.38462	8.27473	-325.49	-110.29	0	-5.38	78.01	61.87	0	5.38	
-8.30934	5.14286	-0.00186409	-5.40659	9.36264	-8.23516	5.14286	-0.00118546	-5.38462	8.01099	-258.24	-99.53	0	0	53.8	61.87	0	8.07	
-8.30934	5.14286	-0.00112533	-5.40659	9.0989	-8.14725	5.14286	-0.0010652	-5.38462	7.83516	-193.68	-104.91	0	0	80.7	56.49	0	21.52	
-8.22143	5.14286	-0.000919161	-5.40659	8.74725	-7.88352	5.14286	-0.000944932	-5.2967	7.57143	-147.95	-104.91	0	-8.07	72.63	56.49	0	0	
-7.95769	5.14286	-0.000670043	-5.40659	8.3956	-7.53187	5.14286	-0.000206167	-5.38462	7.13187	-158.71	-118.36	0	-21.52	53.8	48.42	0	-24.21	
-7.86978	5.14286	-0.000661453	-5.40659	8.30769	-7.26813	5.14286	6.0132e-05	-5.38462	7.13187	-126.43	-112.98	0	8.07	86.08	61.87	0	37.66	
-7.78187	5.14286	-0.000446695	-5.40659	8.21978	-7.09231	5.14286	0.00029207	-5.38462	6.95604	-72.63	-112.98	0	2.69	83.39	59.18	0	24.21	
-7.60604	5.14286	-0.000266299	-5.40659	7.69231	-6.74066	5.14286	0.000910571	-5.38462	6.42857	-34.97	-104.91	0	8.07	53.8	59.18	0	2.69	
-7.07857	5.14286	0.000180396	-5.40659	7.25275	-6.12527	5.14286	0.00109956	-5.38462	5.9011	-45.73	-115.67	0	16.14	40.35	53.8	0	10.76	
