Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	0.991	0.0159	-0.0444	3.058	2.7087	-1.5192	
0.052	0.9631	0.0405	-0.0073	3.0733	2.6932	-1.5218	
0.087	0.9355	-0.0088	-0.0217	3.1277	2.6387	-1.5209	
0.122	0.9839	-0.0159	-0.0061	-3.1347	2.6177	-1.521	
0.157	0.9272	-0.0073	0.0142	-3.1263	2.6087	-1.5221	
0.19	0.9836	0.0994	-0.0891	-3.1264	2.6088	-1.5197	
0.225	0.998	0.0647	-0.0295	-3.1173	2.5994	-1.5188	
0.269	0.9783	0.0508	-0.0232	-3.0675	2.5497	-1.5189	
0.304	0.9734	0.0488	-0.0571	-2.9859	2.4681	-1.5186	
0.339	0.9697	0.03	-0.0425	-3.0343	2.5161	-1.5198	
0.373	0.9419	0.031	-0.0181	-3.0461	2.528	-1.5216	
0.408	0.9763	0.02	-0.0667	-3.0758	2.5578	-1.5219	
0.442	1.011	0.0359	-0.0305	-3.0984	2.5804	-1.5202	
0.477	0.9941	0.0051	-0.0618	3.1414	2.6237	-1.5211	
0.512	0.9912	0.0222	-0.03	3.0891	2.6759	-1.5225	
0.538	0.9314	0.0146	-0.0046	3.1169	2.6483	-1.5244	
0.538	0.9314	0.0146	-0.0046	3.1169	2.6483	-1.5244	
2.908	1.0874	0.001	-0.2944	-3.1199	2.6146	-1.5225	
2.943	0.9456	-0.042	-0.083	3.1294	2.6488	-1.5201	
2.978	1.1008	0.5	-0.1636	3.0361	2.7471	-1.5183	
2.994	0.9255	-0.1721	-0.0542	2.9764	2.8098	-1.5196	
3.021	1.0552	0.22	-0.1277	3.0127	2.7735	-1.515	
3.046	1.0198	-0.0566	-0.1035	2.9843	2.8062	-1.5169	
3.072	1.1321	0.4443	-0.1169	2.997	2.8008	-1.5163	
3.099	0.9043	-0.3562	0.1606	2.9926	2.811	-1.5199	
3.124	0.8777	0.2385	-0.0334	3.0656	2.7453	-1.5212	
3.151	0.8997	-0.6477	0.1968	3.0389	2.7768	-1.522	
3.176	1.0513	0.1626	-0.0527	3.0968	2.7264	-1.5209	
3.194	0.8865	-0.2009	0.0627	3.1145	2.7142	-1.5219	
