L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.71264	7.69231	-0.00127995	-5.49451	-9.71429	11.3692	6.28571	-0.00324713	-5.47253	-11.3297	0	556.83	59.18	0	72.63	-285.14	-88.77	0	
9.71264	7.69231	-0.00127995	-5.49451	-9.71429	11.3692	6.28571	-0.00324713	-5.47253	-11.3297	5.38	556.83	69.94	0	147.95	-285.14	-78.01	0	
9.62473	7.69231	-0.00127995	-5.49451	-9.71429	11.3692	6.28571	-0.00324713	-5.47253	-11.3297	8.07	554.14	61.87	0	112.98	-282.45	-80.7	0	
9.62473	7.69231	-0.00127995	-5.49451	-9.71429	11.2813	6.28571	-0.00324713	-5.47253	-11.3297	-5.38	556.83	61.87	0	123.74	-282.45	-83.39	0	
9.62473	7.69231	-0.00127995	-5.49451	-9.71429	11.3692	6.28571	-0.00324713	-5.47253	-11.3297	-5.38	556.83	59.18	0	169.47	-285.14	-88.77	0	
9.62473	7.69231	-0.00127995	-5.58242	-9.62637	11.2813	6.28571	-0.00324713	-5.47253	-11.3297	-118.36	554.14	69.94	0	314.73	-282.45	-78.01	0	
9.53681	7.69231	-0.00127995	-5.49451	-9.53846	11.2813	6.28571	-0.00324713	-5.47253	-11.3297	78.01	554.14	56.49	-2.69	102.22	-282.45	-75.32	0	
9.4489	7.69231	-0.00127995	-5.49451	-9.53846	11.1934	6.28571	-0.00324713	-5.47253	-11.3297	-121.05	554.14	61.87	-2.69	59.18	-282.45	-88.77	0	
9.4489	7.69231	-0.00127995	-5.49451	-9.53846	11.1055	6.28571	-0.00324713	-5.56044	-11.2418	0	554.14	61.87	-5.38	129.12	-266.31	-83.39	-2.69	
9.4489	7.69231	-0.00127995	-5.49451	-9.45055	11.1934	6.28571	-0.00324713	-5.56044	-11.2418	75.32	554.14	61.87	-10.76	352.39	-263.62	-75.32	13.45	
