Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	-0.002	-0.1379	1.0603	1.5368	-0.0074	-0.0135	
0.051	-0.0164	0.1226	0.9827	1.5358	-0.0042	-0.0133	
0.085	0.0125	-0.0288	1.0471	1.5369	-0.0056	-0.0123	
0.128	0.0144	-0.0205	1.0222	1.5369	-0.005	-0.011	
0.162	0.0305	0.4275	0.928	1.5366	-0.0043	-0.0138	
0.196	0.0271	-0.0076	0.9878	1.5371	-0.0053	-0.0168	
0.229	0.0288	-0.0303	1.0132	1.5372	-0.0049	-0.0177	
0.271	0.0596	-0.0164	0.9111	1.5378	-0.0011	-0.0168	
0.305	0.01	0.0603	0.9854	1.5371	0.0017	-0.0177	
0.339	-0.0056	0.0837	1.0427	1.5378	0.0037	-0.0149	
0.382	0.0149	0.1125	0.9771	1.5381	0.0039	-0.0148	
0.416	0.0166	0.0105	1.0125	1.5383	0.006	-0.0147	
0.45	0.0132	-0.0391	1.0454	1.5385	0.0061	-0.015	
0.492	0.0046	0.0127	0.9937	1.5384	0.0071	-0.0142	
0.525	-0.0071	0.022	1.0815	1.5389	0.0076	-0.0155	
0.551	0.0371	-0.0925	0.9375	1.5393	0.0092	-0.0153	
0.551	0.0371	-0.0925	0.9375	1.5393	0.0092	-0.0153	
2.911	0.0659	-0.7358	0.3528	1.5522	0.028	-0.0124	
2.945	0.0786	-1.0784	0.8904	1.5533	0.0212	-0.0137	
2.979	0.0332	-0.2061	0.8755	1.554	0.0167	-0.0111	
3.004	-0.0156	-0.5796	1.0366	1.5535	0.0162	-0.0126	
3.021	-0.0437	0.9402	0.9614	1.555	0.0186	-0.0119	
3.046	0.0586	-0.3723	1.2104	1.5522	0.0147	-0.0118	
3.072	0.1184	-0.741	0.6497	1.5544	0.0201	-0.0125	
3.098	0.1038	-0.324	0.8101	1.5532	0.0174	-0.0126	
3.123	-0.0583	1.5515	1.4741	1.5524	0.025	-0.0116	
3.149	0.1128	0.0029	1.0413	1.5533	0.0206	-0.014	
3.174	0.1785	0.3635	0.165	1.5561	0.0205	-0.0149	
3.199	0.0225	0.127	0.7769	1.5574	0.0209	-0.0121	
3.225	-0.0217	0.4087	1.2944	1.5583	0.0166	-0.0133	
3.25	0.4011	1.8105	0.2622	1.5575	0.0131	-0.0158	
3.276	0.053	0.116	1.0056	1.5602	0.007	-0.0147	
3.301	0.0208	-0.0012	1.0679	1.559	0.0016	-0.0174	
3.319	0.1038	0.2427	0.8804	1.5601	-0.0004	-0.019	
3.344	0.0503	-0.6628	0.8967	1.5613	-0.0051	-0.0189	
3.37	-0.0056	-0.5527	1.1726	1.5628	-0.0107	-0.0182	
3.396	-0.0085	-0.9138	0.8008	1.5634	-0.0102	-0.0196	
3.42	0.0679	-0.4971	0.812	1.5624	-0.0142	-0.0196	
