L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.88846	5.49451	-0.00261145	-5.23077	-9.82967	11.2959	5.14286	-0.00336739	-5.20879	-11.3571	-898.46	269	-419.64	-772.03	344.32	99.53	-126.43	104.91	
9.88846	5.49451	-0.00261145	-5.14286	-9.82967	11.2959	5.14286	-0.00336739	-5.20879	-11.2692	-825.83	269	-468.06	-774.72	263.62	188.3	-102.22	10.76	
9.88846	5.49451	-0.00261145	-5.14286	-9.82967	11.2959	5.14286	-0.00336739	-5.20879	-11.3571	-1159.39	317.42	-427.71	-766.65	379.29	131.81	-193.68	277.07	
9.80055	5.49451	-0.00261145	-5.14286	-9.82967	11.2959	5.23077	-0.00336739	-5.2967	-11.3571	-1035.65	266.31	-494.96	-777.41	416.95	196.37	-150.64	177.54	
9.80055	5.49451	-0.00261145	-5.14286	-9.74176	11.2959	5.23077	-0.00336739	-5.2967	-11.2692	-885.01	269	-497.65	-769.34	406.19	239.41	-61.87	-18.83	
9.80055	5.49451	-0.00261145	-5.14286	-9.74176	11.208	5.14286	-0.00336739	-5.20879	-11.2692	-1089.45	317.42	-438.47	-766.65	433.09	139.88	-48.42	121.05	
9.80055	5.49451	-0.00261145	-5.14286	-9.74176	11.208	5.14286	-0.00336739	-5.20879	-11.1813	-1081.38	260.93	-344.32	-1102.9	441.16	196.37	-172.16	16.14	
9.71264	5.49451	-0.00257709	-5.14286	-9.74176	11.208	5.14286	-0.00336739	-5.2967	-11.1813	-1188.98	301.28	-446.54	-1043.72	400.81	129.12	-142.57	13.45	
9.71264	5.49451	-0.00257709	-5.14286	-9.65385	11.1201	5.14286	-0.00336739	-5.2967	-11.0934	-1191.67	260.93	-481.51	-758.58	446.54	277.07	-145.26	174.85	
9.62473	5.49451	-0.00257709	-5.14286	-9.65385	11.0322	5.23077	-0.00336739	-5.2967	-11.0934	-817.76	427.71	-298.59	-833.9	511.1	279.76	-228.65	325.49	
9.53681	5.49451	-0.00257709	-5.14286	-9.56593	11.0322	5.23077	-0.00336739	-5.2967	-11.0055	-801.62	258.24	-416.95	-1121.73	505.72	279.76	-156.02	-182.92	
9.4489	5.49451	-0.00257709	-5.14286	-9.47802	10.9443	5.23077	-0.00336739	-5.2967	-10.8297	-866.18	328.18	-365.84	-1315.41	433.09	271.69	-126.43	441.16	
9.36099	5.49451	-0.00257709	-5.14286	-9.39011	10.7685	5.23077	-0.00336739	-5.20879	-10.8297	-1067.93	263.62	-462.68	-1355.76	123.74	282.45	-129.12	2.69	
9.27308	5.49451	-0.00257709	-5.14286	-9.3022	10.6805	5.23077	-0.00336739	-5.2967	-10.8297	-1140.56	341.63	-551.45	-1105.59	368.53	266.31	-96.84	780.1	
9.18516	5.49451	-0.00257709	-5.23077	-9.12637	10.5047	5.23077	-0.00336739	-5.2967	-10.5659	-796.24	263.62	-484.2	-1350.38	91.46	320.11	-96.84	78.01	
8.92143	5.49451	-0.00257709	-5.23077	-8.95055	10.4168	5.23077	-0.00336739	-5.20879	-10.3022	-909.22	260.93	-503.03	-1226.64	91.46	277.07	-142.57	-347.01	
8.7456	5.49451	-0.00257709	-5.23077	-8.77473	10.1531	5.23077	-0.00336739	-5.2967	-10.2143	-823.14	320.11	-473.44	-1256.23	190.99	279.76	-40.35	-123.74	
8.48187	5.49451	-0.000481056	-5.23077	-8.51099	9.97725	5.23077	-0.00243964	-5.2967	-10.0385	-414.26	392.74	-430.4	-1215.88	328.18	279.76	-13.45	8.07	
8.21813	5.49451	-0.000515418	-5.23077	-8.24725	9.53769	5.23077	-0.00175242	-5.2967	-9.5989	-796.24	371.22	-446.54	-919.98	190.99	277.07	-59.18	102.22	
8.04231	5.58242	-0.000412334	-5.23077	-7.98352	9.36187	5.23077	-0.00147753	-5.2967	-9.51099	-1129.8	258.24	-390.05	-1154.01	86.08	274.38	-32.28	360.46	
7.69066	5.58242	-0.000412334	-5.23077	-7.71978	9.09813	5.23077	-0.00140881	-5.38462	-9.07143	-602.56	368.53	-390.05	-1135.18	435.78	282.45	-129.12	-121.05	
7.51484	5.49451	-0.000343612	-5.31868	-7.54396	9.01022	5.23077	-0.00137445	-5.2967	-8.98352	-989.92	271.69	-422.33	-712.85	333.56	279.76	-123.74	0	
7.16319	5.58242	-0.000343612	-5.23077	-7.1044	8.57066	5.23077	-0.00130572	-5.2967	-8.54396	-1108.28	266.31	-433.09	-1172.84	129.12	277.07	-51.11	-75.32	
6.72363	5.49451	-3.43612e-05	-5.23077	-6.66484	8.21901	5.23077	-0.00089339	-5.2967	-8.19231	-1280.44	427.71	-419.64	-1049.1	376.6	274.38	-196.37	137.19	
6.19615	5.58242	0.000481056	-5.31868	-6.13736	7.60363	5.23077	-0.000446695	-5.38462	-7.57692	-1054.48	263.62	-379.29	-1145.94	282.45	287.83	-75.32	45.73	
5.49286	5.58242	0.00109956	-5.31868	-5.52198	6.98824	5.23077	-3.43612e-05	-5.2967	-6.96154	-866.18	258.24	-341.63	-995.3	21.52	279.76	-51.11	-266.31	
