Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.9709	0.0181	-0.0054	-2.4717	2.2438	-1.5502	
0.051	0.9727	0.0305	-0.0046	-2.4137	2.1854	-1.5491	
0.086	0.979	0.0071	-0.0056	-2.3835	2.1549	-1.5544	
0.12	0.9849	0.0142	-0.0171	-2.3288	2.1001	-1.5509	
0.163	0.9822	0.03	-0.0142	-2.3112	2.0823	-1.5508	
0.198	0.978	0.0181	-0.0129	-2.3984	2.1692	-1.5476	
0.233	0.9797	0.0244	-0.0078	-2.2261	1.9968	-1.549	
0.266	0.9795	0.0164	-0.0103	-2.2423	2.0128	-1.5486	
0.309	0.9788	0.0173	-0.0125	-2.3321	2.1024	-1.5489	
0.344	0.9807	0.0203	-0.001	-2.147	1.9172	-1.552	
0.378	0.9839	0.0227	-0.0105	-2.1177	1.8877	-1.5507	
0.421	0.9766	0.0186	-0.0012	-2.1243	1.8942	-1.5527	
0.456	0.9834	0.0176	-0.0061	-2.1203	1.8901	-1.553	
0.49	0.9678	0.0122	-0.0112	-2.2982	2.0678	-1.5512	
0.525	0.9763	0.0142	-0.0107	-2.4659	2.2355	-1.552	
0.55	0.9741	0.0183	-0.0149	-2.4304	2.1999	-1.5489	
0.55	0.9741	0.0183	-0.0149	-2.4304	2.1999	-1.5489	
2.906	1.0183	0.0352	0.0205	-2.4206	2.1882	-1.5482	
2.949	1.0547	-0.2595	-0.1829	-2.4339	2.2062	-1.5473	
2.975	0.7664	0.5139	-0.5156	-2.4155	2.1906	-1.5465	
3.002	0.8284	-0.075	-0.5481	-2.423	2.1998	-1.547	
3.027	1.0479	0.074	-0.1475	-2.5324	2.3111	-1.5466	
3.053	1.0037	0.0669	0.0283	-2.4973	2.2789	-1.5465	
3.078	1.2747	0.407	0.0754	-2.4952	2.281	-1.5448	
3.104	0.9873	0.1838	0.0842	-2.5096	2.2994	-1.5443	
3.121	0.7917	0.5032	0.1055	-2.4484	2.2411	-1.5438	
3.147	1.0537	-0.0806	0.27	-2.4586	2.258	-1.545	
3.173	0.6411	-0.5471	-0.1763	-2.435	2.2393	-1.5475	
3.198	0.8557	-0.0332	0.0505	-2.4432	2.2555	-1.5503	
3.224	0.7239	-0.1233	-0.3059	-2.5215	2.3414	-1.5506	
3.25	0.8225	0.6982	-0.1624	-2.4444	2.2721	-1.5486	
3.276	1.1252	-0.061	0.0735	-2.4495	2.2865	-1.5517	
3.302	0.9939	0.0171	0.0044	-2.3564	2.2028	-1.552	
3.327	0.9553	0.0659	-0.0547	-2.3975	2.2528	-1.55	
3.353	0.9832	0.0251	0.0313	-2.4575	2.322	-1.5513	
3.378	0.9346	0.0608	-0.0005	-2.2942	2.1676	-1.5503	
3.396	1.0247	0.0317	0.0271	-2.3055	2.185	-1.5515	
3.421	1.0193	0.0701	-0.0237	-2.2565	2.1447	-1.5496	
3.447	0.8127	-1.4092	0.4546	-2.3403	2.2437	-1.5503	
3.473	1.1936	-0.3628	0.1636	-2.1893	2.0967	-1.5499	
3.499	1.7358	0.7107	0.5393	-2.2119	2.1275	-1.5469	
3.525	1.4402	-0.2295	0.3896	-2.1372	2.0528	-1.5494	
3.55	0.8301	0.054	0.0681	-2.1852	2.1068	-1.5462	
3.576	1.6631	-0.1672	0.6987	-2.3752	2.2992	-1.5488	
3.602	0.6833	0.5054	-0.4849	-2.373	2.2979	-1.5462	
3.627	1.6113	-0.075	0.4448	-2.2803	2.1999	-1.5452	
3.654	0.8921	0.2813	-0.3875	-2.3797	2.3007	-1.5398	
3.679	0.8977	0.0984	-0.1948	-2.4618	2.3831	-1.5376	
3.697	1.0078	0.0845	0.0513	-2.4509	2.3729	-1.5393	
3.722	1.0247	0.0667	0.0151	-2.3944	2.3182	-1.5393	
3.748	0.2629	-1.0447	1.9893	-2.5053	2.4311	-1.5422	
3.774	0.5569	-0.0859	0.2329	-2.5366	2.4682	-1.5458	
3.799	1.5361	0.875	-0.2761	-2.5502	2.4853	-1.5445	
3.825	1.0828	0.0278	0.4709	-2.5725	2.507	-1.5454	
3.85	1.0867	0.2922	0.0947	-2.5808	2.5149	-1.5454	
3.877	0.9749	0.072	-0.0286	-2.6367	2.5709	-1.5454	
3.903	1.1936	-0.3025	0.5044	-2.617	2.553	-1.5492	
3.928	0.967	0.2361	-0.1238	-2.552	2.4863	-1.5472	
3.954	1.0278	0.0601	0.0459	-2.4544	2.3888	-1.5494	
3.979	0.999	0.0679	-0.0327	-2.5604	2.495	-1.5486	
3.997	0.9854	-0.0068	-0.0134	-2.5588	2.493	-1.5506	
4.022	-0.1887	0.2832	-0.3105	-2.6445	2.5747	-1.5502	
4.048	0.7725	-0.2375	0.3813	-2.6758	2.6004	-1.5529	
4.074	1.103	-0.0515	-0.073	-2.8002	2.7244	-1.5503	
4.1	1.0037	0.0706	0.0032	-2.7289	2.6507	-1.55	
4.126	1.708	0.1008	0.3845	-2.6154	2.5362	-1.5493	
4.152	0.6208	-0.406	0.3481	-2.639	2.5539	-1.5474	
4.177	1.0481	-0.1067	0.145	-2.7435	2.6571	-1.5509	
4.203	1.0535	0.0476	-0.0652	-2.6736	2.5864	-1.5493	
4.228	0.988	0.0735	-0.0366	-2.6622	2.5726	-1.5478	
4.254	0.9668	0.0898	-0.0835	-2.5389	2.442	-1.5434	
4.28	1.2434	0.5349	-0.3364	-2.5419	2.4332	-1.5409	
4.297	1.0188	0.2988	-0.2515	-2.5995	2.485	-1.5405	
4.323	0.5627	0.6665	0.3804	-2.4817	2.3585	-1.543	
4.348	0.9724	-0.7637	0.3406	-2.5883	2.4534	-1.5468	
4.374	0.8381	0.2239	0.6008	-2.5289	2.3844	-1.5474	
4.399	0.8682	0.2576	-0.3003	-2.5827	2.4317	-1.546	
4.425	1.0159	-0.1206	0.0789	-2.5751	2.4158	-1.5491	
4.451	0.9868	0.0378	-0.0166	-2.5142	2.3463	-1.5478	
4.477	0.9612	0.085	0.0459	-2.5193	2.343	-1.5494	
4.503	0.9514	0.0686	-0.0144	-2.3896	2.2041	-1.5488	
4.528	1.0112	-0.0203	-0.0491	-2.4751	2.2789	-1.5455	
4.554	0.9387	0.0325	0.0427	-2.4589	2.2539	-1.5474	
4.58	0.8232	-0.073	0.562	-2.4464	2.2375	-1.5457	
4.597	0.1099	-0.5918	1.3005	-2.4247	2.2069	-1.5456	
4.623	0.6919	-0.4048	-0.2952	-2.4542	2.2281	-1.5458	
4.649	1.4602	0.6968	0.1938	-2.3206	2.0898	-1.5444	
4.675	1.0156	0.1323	0.1765	-2.4556	2.2168	-1.5451	
4.7	1.6211	-0.0154	-1.8411	-2.4936	2.2521	-1.5426	
4.726	0.8462	0.2537	-0.1104	-2.4569	2.2085	-1.5415	
4.752	0.9202	0.0979	-0.04	-2.5192	2.2664	-1.538	
4.778	0.9941	0.0508	-0.0291	-2.5221	2.2649	-1.5352	
4.804	0.9773	-0.0227	-0.009	-2.622	2.3617	-1.5392	
4.829	0.9941	0.0049	-0.3564	-2.5878	2.3266	-1.5383	
4.855	0.9143	-0.0635	0.0188	-2.5758	2.3135	-1.5373	
4.872	0.9578	0.0442	0.6423	-2.5192	2.2545	-1.5336	
4.898	0.9971	0.9219	0.0413	-2.4974	2.2217	-1.5329	
4.924	0.884	0.1018	0.7825	-2.5552	2.2678	-1.5362	
4.949	0.623	-0.8057	-0.1089	-2.6337	2.3414	-1.5389	
4.975	0.73	-1.1199	0.71	-2.5965	2.2998	-1.5375	
5.001	0.7634	-1.168	-0.5886	-2.6049	2.3091	-1.5368	
5.027	1.0598	-0.3069	-0.6914	-2.6972	2.3979	-1.5374	
5.054	1.0923	0.0596	0.1094	-2.661	2.3616	-1.5348	
5.079	1.2185	0.5105	-0.0974	-2.6413	2.3461	-1.5356	
5.097	1.092	1.0435	-2.1235	-2.7105	2.41	-1.5377	
5.122	0.7268	-1.9136	-1.301	-3.0137	2.7142	-1.5412	
5.149	0.7793	1.7231	-1.5417	-3.1159	2.8114	-1.5401	
5.176	1.0835	0.3318	-2.3315	-3.1291	2.8334	-1.5397	
5.201	1.6802	0.592	-2.5737	3.0198	2.9664	-1.5379	
5.227	1.3052	3.7485	-0.6289	3.1098	2.8679	-1.5349	
5.252	1.0681	4.5149	-0.8357	-3.0342	2.7353	-1.5353	
5.278	0.8643	0.3179	0.1772	-2.8783	2.5845	-1.5347	
5.305	0.9458	0.0269	-0.231	-2.9602	2.6716	-1.5344	
5.33	0.946	0.1895	0.1277	-2.8779	2.5916	-1.5339	
5.356	1.0557	0.074	0.063	-2.9518	2.6676	-1.5369	
5.372	0.9529	0.0273	-0.0054	-2.9632	2.6811	-1.5381	
5.399	1.0005	0.0662	-0.0149	-3.016	2.7383	-1.5394	
5.424	0.5652	0.5068	-0.3679	-3.092	2.8178	-1.5394	
5.45	1.0684	-0.1406	-0.0649	3.1005	2.9143	-1.5392	
5.476	0.8979	0.6492	-1.1296	-3.1049	2.8442	-1.539	
5.501	1.1201	0.3149	-0.114	-3.0221	2.7682	-1.5411	
5.527	0.8379	-0.6824	-0.521	-3.0662	2.8236	-1.5427	
5.552	0.9998	0.887	-0.4351	-2.898	2.6631	-1.5394	
5.578	1.2178	-0.1177	0.0686	-2.986	2.7596	-1.541	
5.605	0.9348	0.0442	0.0413	-2.9495	2.7309	-1.5418	
5.63	1.0085	0.0159	0.002	-2.8762	2.6665	-1.5454	
5.648	0.9495	-0.0115	-0.0425	-3.0048	2.8009	-1.5446	
5.673	0.9756	0.0229	-0.0303	-2.98	2.784	-1.5432	
5.699	0.9822	-0.0217	-0.0454	-3.017	2.829	-1.5431	
5.724	1.3677	-0.8083	-1.2148	-3.0351	2.8634	-1.5415	
5.751	0.7512	-0.0417	-0.3979	-2.9522	2.7872	-1.5423	
5.777	1.7539	0.563	0.8613	-2.9314	2.7743	-1.5416	
5.802	0.894	0.1558	0.6011	-2.9173	2.7661	-1.5395	
5.828	0.97	0.0005	0.1167	-2.9124	2.7655	-1.54	
5.854	1.5823	-0.4082	0.6289	-3.0085	2.8661	-1.5414	
5.88	0.8052	0.374	0.22	-2.9344	2.7937	-1.5406	
5.906	0.9756	0.2876	-0.0227	-2.8636	2.7268	-1.5421	
5.922	0.8523	0.1228	-0.0461	-2.8116	2.6776	-1.5423	
5.949	1.0703	0.0398	0.0232	-2.7181	2.5862	-1.5432	
5.974	1.071	0.0737	0.0105	-2.6043	2.4728	-1.5409	
6	0.9573	0.5757	-1.739	-2.6206	2.4952	-1.5408	
6.025	1.1421	0.9402	-0.293	-2.5784	2.4481	-1.5388	
6.051	0.4302	1.7112	0.6218	-2.7681	2.6326	-1.5401	
6.077	0.4993	1.0332	-0.1082	-2.7387	2.6045	-1.5414	
6.102	0.6155	0.9563	0.3586	-2.6416	2.5059	-1.5395	
6.129	0.8992	-0.0645	0.6072	-2.6586	2.5275	-1.5407	
6.154	1.2605	0.5735	-1.2336	-2.6378	2.5116	-1.5408	
6.172	1.3704	-0.4177	0.5847	-2.6963	2.5632	-1.5441	
6.198	1.002	0.2524	-0.376	-2.668	2.5343	-1.542	
6.224	0.9932	-0.1702	0.1204	-2.7108	2.5759	-1.5421	
