L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.36099	5.31868	-0.00223348	-5.58242	-9.56593	10.5926	4.43956	-0.00312687	-5.56044	-11.2692	104.91	-24.21	80.7	0	212.51	193.68	-83.39	0	
9.4489	5.31868	-0.00223348	-5.49451	-9.56593	10.6805	4.52747	-0.00312687	-5.47253	-11.2692	104.91	-29.59	91.46	0	212.51	204.44	-75.32	0	
9.4489	5.40659	-0.00223348	-5.58242	-9.65385	10.5926	4.43956	-0.00312687	-5.47253	-11.2692	94.15	-29.59	78.01	0	207.13	196.37	-80.7	0	
9.36099	5.40659	-0.00223348	-5.49451	-9.56593	10.5926	4.43956	-0.00312687	-5.47253	-11.2692	91.46	-26.9	83.39	-2.69	199.06	209.82	-78.01	0	
9.36099	5.31868	-0.00223348	-5.58242	-9.56593	10.6805	4.43956	-0.00312687	-5.47253	-11.2692	91.46	-29.59	83.39	-2.69	177.54	199.06	-80.7	0	
9.36099	5.31868	-0.00223348	-5.58242	-9.56593	10.5926	4.52747	-0.00312687	-5.56044	-11.2692	40.35	-16.14	83.39	-2.69	185.61	207.13	-75.32	0	
9.36099	5.40659	-0.00223348	-5.58242	-9.56593	10.6805	4.43956	-0.00312687	-5.56044	-11.2692	59.18	-24.21	88.77	-5.38	190.99	215.2	-78.01	0	
9.36099	5.31868	-0.00223348	-5.58242	-9.56593	10.5926	4.43956	-0.00312687	-5.47253	-11.3571	0	-26.9	88.77	-5.38	172.16	207.13	-75.32	0	
9.36099	5.40659	-0.00223348	-5.58242	-9.56593	10.6805	4.43956	-0.00312687	-5.47253	-11.2692	0	-24.21	80.7	0	182.92	223.27	-78.01	0	
9.36099	5.31868	-0.00223348	-5.49451	-9.74176	10.6805	4.52747	-0.00312687	-5.47253	-11.2692	0	-32.28	78.01	51.11	137.19	220.58	-78.01	-2.69	
9.36099	5.31868	-0.00223348	-5.49451	-9.3022	10.5926	4.43956	-0.00312687	-5.56044	-11.1813	0	-29.59	67.25	0	115.67	234.03	-78.01	-2.69	
9.36099	5.31868	-0.00223348	-5.58242	-9.12637	10.5926	4.43956	-0.00312687	-5.47253	-11.0055	0	-24.21	91.46	-2.69	118.36	231.34	-75.32	-8.07	
9.36099	5.40659	-0.00223348	-5.49451	-9.21429	10.6805	4.52747	-0.00312687	-5.47253	-10.9176	-32.28	-24.21	72.63	-16.14	13.45	234.03	-78.01	-16.14	
9.27308	5.31868	-0.00223348	-5.58242	-9.3022	10.5926	4.52747	-0.00312687	-5.47253	-10.8297	-43.04	-26.9	37.66	-18.83	18.83	223.27	-78.01	0	
9.09725	5.40659	-0.00223348	-5.58242	-8.68681	10.5047	4.43956	-0.00312687	-5.56044	-10.7418	-10.76	-29.59	53.8	-5.38	18.83	220.58	-75.32	8.07	
8.92143	5.40659	-0.00223348	-5.58242	-8.77473	10.4168	4.52747	-0.00312687	-5.47253	-10.5659	-88.77	-24.21	56.49	-2.69	0	225.96	-86.08	-8.07	
8.83352	5.40659	-0.00223348	-5.58242	-8.68681	10.3289	4.52747	-0.00312687	-5.47253	-10.3901	-112.98	-18.83	64.56	0	5.38	223.27	-40.35	0	
8.7456	5.40659	-0.00175242	-5.58242	-8.68681	10.1531	4.52747	-0.00285198	-5.47253	-10.2143	-99.53	-18.83	61.87	-10.76	0	231.34	-45.73	-5.38	
8.56978	5.40659	-0.000687223	-5.58242	-8.07143	10.0652	4.52747	-0.00261145	-5.47253	-9.95055	-96.84	-13.45	61.87	10.76	-13.45	217.89	-59.18	-29.59	
8.30604	5.40659	-0.000687223	-5.58242	-7.8956	9.80143	4.52747	-0.00213039	-5.47253	-9.5989	-112.98	-16.14	56.49	-2.69	-18.83	231.34	-75.32	0	
8.04231	5.40659	-0.00058414	-5.58242	-7.45604	9.53769	4.52747	-0.00113392	-5.56044	-9.33516	-107.6	-13.45	56.49	26.9	-32.28	209.82	-75.32	18.83	
7.77857	5.40659	-0.000549779	-5.58242	-7.36813	9.27396	4.61538	-0.000481056	-5.56044	-9.15934	-83.39	-10.76	61.87	0	-56.49	217.89	-67.25	-18.83	
7.51484	5.40659	-0.000549779	-5.58242	-7.1044	9.09813	4.52747	-0.000343612	-5.56044	-8.80769	-134.5	-8.07	56.49	0	-75.32	201.75	-75.32	-10.76	
7.16319	5.40659	-0.000549779	-5.58242	-6.66484	8.65857	4.61538	-0.000206167	-5.56044	-8.45604	-142.57	-10.76	61.87	0	-91.46	199.06	-69.94	2.69	
6.89945	5.40659	-0.000446695	-5.58242	-6.13736	8.39484	4.61538	-0.000137445	-5.56044	-8.01648	-201.75	-10.76	64.56	0	-118.36	193.68	-59.18	-13.45	
6.37198	5.49451	0.000274889	-5.58242	-5.87363	7.86736	4.61538	-0.000103084	-5.56044	-7.31319	-177.54	-10.76	69.94	0	-121.05	196.37	-69.94	-5.38	
5.84451	5.49451	0.00058414	-5.58242	-4.90659	7.25198	4.61538	-6.87223e-05	-5.56044	-6.78571	-196.37	-13.45	59.18	0	-134.5	196.37	-69.94	-26.9	
5.22912	5.49451	0.001237	-5.58242	-4.37912	6.63659	4.61538	0.000618501	-5.56044	-6.17033	-182.92	-5.38	64.56	16.14	-121.05	174.85	-78.01	-2.69	
4.43791	5.58242	0.00134009	-5.58242	-3.76374	6.02121	4.61538	0.00116828	-5.56044	-5.46703	-180.23	-5.38	69.94	56.49	-123.74	169.47	-69.94	-16.14	
3.82253	5.49451	0.00137445	-5.58242	-2.88462	5.31791	4.7033	0.00175242	-5.56044	-4.67582	-174.85	-2.69	59.18	-10.76	-134.5	177.54	-64.56	-24.21	
3.03132	5.58242	0.00140881	-5.58242	-2.26923	4.61462	4.7033	0.00216475	-5.56044	-4.06044	-177.54	0	53.8	-2.69	-158.71	174.85	-64.56	0	
2.32802	5.58242	0.00144317	-5.58242	-1.56593	3.82341	4.79121	0.00254273	-5.56044	-3.18132	-177.54	0	53.8	0	-115.67	172.16	-69.94	-5.38	
1.53681	5.58242	0.00144317	-5.58242	-0.862637	3.12011	4.79121	0.00261145	-5.56044	-2.56593	-199.06	0	51.11	-10.76	-121.05	172.16	-26.9	-8.07	
0.833516	5.58242	0.00147753	-5.58242	0.0164835	2.3289	4.79121	0.00261145	-5.56044	-1.77473	-212.51	0	59.18	-5.38	-142.57	172.16	-29.59	-5.38	
0.0423077	5.58242	0.00147753	-5.58242	0.807692	1.53769	4.79121	0.00261145	-5.56044	-0.895604	-207.13	0	53.8	-2.69	-147.95	172.16	-29.59	-10.76	
-0.748901	5.58242	0.00147753	-5.58242	1.68681	0.746484	4.79121	0.00261145	-5.56044	-0.0164835	-196.37	0	64.56	0	-145.26	172.16	-29.59	-2.69	
-1.54011	5.58242	0.00147753	-5.58242	2.47802	-0.0447253	4.79121	0.00261145	-5.56044	0.774725	-193.68	2.69	59.18	-2.69	-158.71	172.16	-29.59	-13.45	
-2.33132	5.58242	0.00151189	-5.58242	3.18132	-0.748022	4.79121	0.00261145	-5.56044	1.47802	-193.68	2.69	51.11	-2.69	-172.16	169.47	-29.59	0	
-3.12253	5.58242	0.001237	-5.49451	3.70879	-1.71505	4.79121	0.00261145	-5.56044	2.35714	-158.71	5.38	86.08	37.66	-174.85	166.78	-72.63	0	
-3.91374	5.58242	0.001237	-5.58242	4.67582	-2.41835	4.79121	0.00261145	-5.56044	3.06044	-188.3	2.69	48.42	-2.69	-190.99	166.78	-83.39	16.14	
-4.70495	5.67033	0.00127136	-5.58242	5.55495	-3.12165	4.79121	0.00219911	-5.47253	4.02747	-182.92	5.38	59.18	0	-172.16	166.78	-40.35	-13.45	
-5.40824	5.58242	0.000721585	-5.58242	5.73077	-3.73703	4.87912	0.00213039	-5.56044	4.55495	-164.09	13.45	59.18	0	-166.78	137.19	-45.73	8.07	
-6.02363	5.67033	0.000721585	-5.58242	6.96154	-4.35242	4.87912	0.00213039	-5.47253	5.08242	-204.44	5.38	53.8	-2.69	-199.06	129.12	-78.01	21.52	
-6.72692	5.58242	0.000687223	-5.58242	7.48901	-5.05571	4.87912	0.00109956	-5.47253	5.87363	-177.54	26.9	51.11	-5.38	-145.26	129.12	-10.76	-10.76	
-7.2544	5.58242	0.00058414	-5.58242	8.01648	-5.49527	4.87912	0.00058414	-5.47253	6.31319	-199.06	18.83	56.49	-2.69	-182.92	134.5	-32.28	10.76	
-7.60604	5.58242	-0.000721585	-5.31868	8.19231	-6.02275	4.87912	0.000652862	-5.47253	6.84066	-150.64	10.76	53.8	80.7	-164.09	131.81	-34.97	29.59	
-8.22143	5.58242	-0.00103084	-5.58242	8.71978	-6.46231	4.87912	0.000652862	-5.47253	7.1044	-142.57	10.76	59.18	0	-142.57	129.12	-34.97	-2.69	
-8.39725	5.58242	-0.00103084	-5.58242	8.98352	-6.72604	4.87912	0.000652862	-5.47253	7.36813	-193.68	5.38	67.25	-5.38	-126.43	129.12	-34.97	0	
-8.57308	5.58242	-0.00103084	-5.58242	9.33516	-6.98978	4.87912	0.000652862	-5.47253	7.63187	-223.27	26.9	64.56	5.38	-134.5	131.81	-29.59	13.45	
-8.7489	5.58242	-0.00103084	-5.58242	9.5989	-7.25352	4.87912	0.000652862	-5.47253	7.80769	-236.72	5.38	78.01	5.38	-166.78	129.12	-29.59	8.07	
-8.83681	5.67033	-0.00240528	-5.31868	9.51099	-7.51725	4.87912	0.000618501	-5.47253	7.98352	-174.85	0	37.66	56.49	-118.36	123.74	-29.59	24.21	
-9.27637	5.58242	-0.00302378	-5.49451	10.0385	-7.8689	4.87912	0.00058414	-5.47253	8.24725	-201.75	8.07	64.56	-8.07	-96.84	129.12	-34.97	10.76	
-9.4522	5.58242	-0.00295506	-5.49451	9.95055	-8.04473	4.87912	-0.000687223	-5.47253	8.51099	-199.06	16.14	61.87	16.14	-112.98	131.81	-13.45	-8.07	
-9.54011	5.58242	-0.00295506	-5.49451	10.3022	-8.04473	4.87912	-0.000549779	-5.47253	8.51099	-217.89	8.07	61.87	0	-118.36	129.12	-29.59	2.69	
-9.54011	5.58242	-0.00295506	-5.49451	10.3022	-8.13264	4.87912	-0.000549779	-5.47253	8.77473	-190.99	8.07	56.49	0	-121.05	129.12	-29.59	0	
-9.54011	5.58242	-0.0029207	-5.49451	10.3022	-8.22055	4.87912	-0.000549779	-5.47253	8.68681	-199.06	13.45	59.18	0	-112.98	129.12	-29.59	0	
-9.54011	5.58242	-0.0029207	-5.40659	10.0385	-8.30846	4.87912	-0.000549779	-5.47253	8.68681	-169.47	8.07	64.56	-8.07	-112.98	129.12	-29.59	-2.69	
-9.54011	5.58242	-0.0029207	-5.49451	10.2143	-8.30846	4.87912	-0.000549779	-5.47253	8.68681	-166.78	18.83	61.87	24.21	-118.36	145.26	-29.59	-2.69	
-9.62802	5.58242	-0.0029207	-5.49451	10.2143	-8.30846	4.87912	-0.000549779	-5.47253	8.68681	-145.26	13.45	53.8	16.14	-78.01	134.5	-26.9	5.38	
-9.62802	5.58242	-0.0029207	-5.49451	9.95055	-8.30846	4.87912	-0.000549779	-5.47253	8.68681	-104.91	8.07	64.56	32.28	-21.52	129.12	-29.59	32.28	
-9.62802	5.58242	-0.0029207	-5.49451	9.86264	-8.22055	4.87912	-0.000549779	-5.38462	8.5989	-59.18	18.83	64.56	-5.38	-16.14	129.12	-16.14	21.52	
-9.62802	5.58242	-0.00240528	-5.40659	9.51099	-8.22055	4.87912	-0.000412334	-5.47253	8.42308	-24.21	8.07	26.9	0	-21.52	134.5	-13.45	32.28	
-9.4522	5.58242	-0.00144317	-5.58242	9.42308	-8.13264	4.87912	-0.000412334	-5.47253	8.33516	-40.35	13.45	40.35	0	-29.59	129.12	-24.21	53.8	
-9.27637	5.58242	-0.00089339	-5.58242	9.33516	-8.04473	4.87912	-0.000412334	-5.47253	8.15934	-26.9	18.83	51.11	8.07	2.69	129.12	-24.21	59.18	
