time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-0.000177942	0.00106267	0.201823	-4.97208e-05	-1.63695e-05	-4.19764e-05	-4.94048e-05	0.0792395	-4.19463e-05	0.0275655	-0.0146205	0.255198	0	0	0	0	0	0	0	0.000842813	0	0	0.0339771	0	
0.05	-0.000177931	0.00109432	0.201823	-4.97226e-05	-1.62966e-05	-4.19794e-05	-4.94066e-05	0.0792396	-4.19496e-05	0.0275654	-0.0145758	0.255196	-6.77724e-06	0.00178589	-7.30785e-05	-0.00027109	0.0714356	-0.00292314	0	0.00170554	0	0	0.0351766	0	
0.075	-0.000177913	0.0011479	0.201823	-4.97257e-05	-1.61732e-05	-4.19844e-05	-4.94097e-05	0.0792397	-4.19551e-05	0.0275651	-0.0145002	0.255193	-1.14623e-05	0.00302325	-0.000123597	-0.000187401	0.0494944	-0.00202076	0	0.00260857	0	0	0.0372073	0	
0.1	-0.000177886	0.00122467	0.201823	-4.97301e-05	-1.59964e-05	-4.19915e-05	-4.94141e-05	0.0792399	-4.19629e-05	0.0275647	-0.014392	0.255189	-1.64006e-05	0.00433191	-0.000176849	-0.000197534	0.0523465	-0.00213008	0	0.00357323	0	0	0.0401172	0	
0.125	-0.000177851	0.00132645	0.201823	-4.97359e-05	-1.57619e-05	-4.2001e-05	-4.942e-05	0.0792401	-4.19732e-05	0.0275641	-0.0142484	0.255183	-2.16996e-05	0.00574273	-0.000233993	-0.000211962	0.0564327	-0.00228573	0	0.00462232	0	0	0.0439749	0	
0.15	-0.000177806	0.00145564	0.201824	-4.97433e-05	-1.54644e-05	-4.20129e-05	-4.94274e-05	0.0792404	-4.19863e-05	0.0275634	-0.0140662	0.255175	-2.74727e-05	0.00728895	-0.00029625	-0.000230921	0.0618488	-0.00249028	0	0.00578062	0	0	0.0488717	0	
0.175	-0.000177751	0.0016153	0.201824	-4.97524e-05	-1.50967e-05	-4.20276e-05	-4.94365e-05	0.0792408	-4.20024e-05	0.0275626	-0.013841	0.255166	-3.38404e-05	0.00900699	-0.000364924	-0.00025471	0.0687216	-0.00274697	0	0.00707552	0	0	0.0549232	0	
0.2	-0.000177684	0.00180921	0.201824	-4.97635e-05	-1.46502e-05	-4.20453e-05	-4.94477e-05	0.0792413	-4.20218e-05	0.0275616	-0.0135676	0.255155	-4.09324e-05	0.0109373	-0.000441413	-0.00028368	0.0772122	-0.00305959	0	0.00853759	0	0	0.0622724	0	
0.225	-0.000177605	0.00204193	0.201825	-4.97767e-05	-1.41144e-05	-4.20663e-05	-4.9461e-05	0.0792418	-4.20449e-05	0.0275603	-0.0132394	0.255142	-4.8888e-05	0.0131253	-0.000527223	-0.000318222	0.0875191	-0.00343238	0	0.0102014	0	0	0.071093	0	
0.25	-0.000177511	0.00231897	0.201825	-4.97925e-05	-1.34766e-05	-4.20912e-05	-4.94769e-05	0.0792424	-4.20722e-05	0.0275589	-0.0128489	0.255126	-5.78567e-05	0.0156224	-0.000623969	-0.000358748	0.0998832	-0.00386984	0	0.0121062	0	0	0.0815935	0	
0.275	-0.0001774	0.00264689	0.201826	-4.98112e-05	-1.27218e-05	-4.21202e-05	-4.94956e-05	0.0792432	-4.21042e-05	0.0275572	-0.0123867	0.255108	-6.79982e-05	0.0184872	-0.000733377	-0.00040566	0.114593	-0.00437632	0	0.0142971	0	0	0.0940218	0	
0.3	-0.000177271	0.00303342	0.201826	-4.98331e-05	-1.18322e-05	-4.2154e-05	-4.95177e-05	0.0792441	-4.21414e-05	0.0275552	-0.011842	0.255087	-7.94807e-05	0.0217869	-0.000857267	-0.0004593	0.131991	-0.00495561	0	0.0168258	0	0	0.108672	0	
0.325	-0.000177121	0.00348771	0.201827	-4.98588e-05	-1.07869e-05	-4.2193e-05	-4.95435e-05	0.0792451	-4.21845e-05	0.0275529	-0.011202	0.255062	-9.24778e-05	0.025599	-0.00099752	-0.000519887	0.152481	-0.00561012	0	0.0197521	0	0	0.125889	0	
0.35	-0.000176947	0.00402049	0.201828	-4.98889e-05	-9.56121e-06	-4.22378e-05	-4.95738e-05	0.0792463	-4.2234e-05	0.0275502	-0.0104517	0.255033	-0.000107163	0.0300125	-0.00115602	-0.000587405	0.176541	-0.00633982	0	0.023145	0	0	0.146081	0	
