time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.00819075	10.9988	6.06088	0.0385224	-6.02464	-10.9701	0.00677269	12.9865	6.01667	0.0366097	-5.98014	-12.9578	
0.05	0.00819753	10.9892	6.06108	0.0385326	-6.02485	-10.9605	0.00677945	12.9771	6.0169	0.0366214	-5.98038	-12.9483	
0.075	0.008209	10.973	6.06142	0.0385499	-6.02519	-10.9443	0.0067909	12.9611	6.01729	0.0366413	-5.98077	-12.9324	
0.1	0.00822544	10.9498	6.06191	0.0385747	-6.02568	-10.9211	0.0068073	12.9383	6.01785	0.0366697	-5.98134	-12.9096	
0.125	0.00824724	10.9191	6.06256	0.0386075	-6.02633	-10.8903	0.00682905	12.908	6.0186	0.0367073	-5.98209	-12.8793	
0.15	0.0082749	10.88	6.06338	0.038649	-6.02715	-10.8513	0.00685666	12.8696	6.01954	0.0367549	-5.98304	-12.8409	
0.175	0.00830909	10.8317	6.06438	0.0387001	-6.02816	-10.803	0.00689078	12.822	6.0207	0.0368135	-5.9842	-12.7933	
0.2	0.00835061	10.773	6.0656	0.0387619	-6.02939	-10.7443	0.00693221	12.7643	6.02211	0.0368844	-5.98562	-12.7356	
0.225	0.00840045	10.7026	6.06705	0.0388355	-6.03085	-10.6738	0.00698194	12.695	6.02378	0.0369691	-5.98731	-12.6662	
0.25	0.00845977	10.6187	6.06877	0.0389226	-6.03258	-10.5899	0.00704115	12.6124	6.02577	0.0370693	-5.98931	-12.5836	
0.275	0.00852999	10.5193	6.07078	0.0390248	-6.03461	-10.4906	0.00711123	12.5145	6.02811	0.037187	-5.99166	-12.4858	
0.3	0.00861277	10.4021	6.07314	0.0391441	-6.03698	-10.3733	0.00719383	12.3991	6.03085	0.0373247	-5.99441	-12.3704	
0.325	0.00871005	10.2642	6.07588	0.0392827	-6.03973	-10.2355	0.00729092	12.2633	6.03403	0.0374848	-5.99762	-12.2346	
0.35	0.00882415	10.1023	6.07905	0.0394429	-6.04292	-10.0736	0.00740479	12.1039	6.03773	0.0376703	-6.00134	-12.0752	
0.375	0.00895776	9.91259	6.0827	0.0396273	-6.04659	-9.88387	0.00753814	11.917	6.04201	0.0378845	-6.00565	-11.8883	
0.4	0.00911403	9.69041	6.08689	0.0398388	-6.05081	-9.66169	0.00769411	11.6981	6.04694	0.0381307	-6.0106	-11.6694	
0.425	0.00929666	9.43038	6.09168	0.0400799	-6.05563	-9.40167	0.00787641	11.4418	6.05259	0.0384127	-6.01629	-11.4131	
0.45	0.00950998	9.1262	6.09713	0.0403536	-6.06111	-9.09748	0.00808934	11.1419	6.05906	0.038734	-6.0228	-11.1131	
0.475	0.00975903	8.77044	6.10327	0.040662	-6.06729	-8.74173	0.00833794	10.7909	6.06641	0.0390984	-6.03019	-10.7622	
