Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	0.0034	0.1904	0.9897	0.6837	0.0453	-0.002	
0.059	0.05	-0.3064	0.9814	0.6844	0.043	-0.0034	
0.091	0.0408	0.1812	0.9883	0.6843	0.0476	-0.0067	
0.133	-0.0422	0.2222	0.9695	0.685	0.0473	-0.0049	
0.166	-0.0481	-0.2705	1.0837	0.6854	0.0464	-0.0061	
0.208	-0.137	-0.0156	0.939	0.6867	0.0408	-0.0044	
0.241	0.1067	0.0161	1.0164	0.6858	0.0431	-0.0075	
0.283	0.1575	-0.606	1.0249	0.6873	0.0433	-0.0063	
0.317	-0.0413	0.0222	0.9124	0.6876	0.0407	-0.0041	
0.358	0.0835	-0.0359	1.0308	0.687	0.0405	-0.0049	
0.4	-0.009	-0.2273	1.0251	0.6876	0.042	-0.0055	
0.432	0.1028	-0.0605	1.0122	0.688	0.0393	-0.0061	
0.474	-0.0188	0.0144	0.9526	0.6887	0.0352	0.0005	
0.508	-0.073	-0.1414	0.9937	0.6893	0.0315	-0.0017	
0.549	0.0115	-0.1267	0.9907	0.6895	0.0259	0.0008	
0.575	0.053	-0.092	1.0305	0.6897	0.0241	0.0014	
0.575	0.053	-0.092	1.0305	0.6897	0.0241	0.0014	
2.911	-0.062	0.8477	1.3596	0.7042	0.0158	0.0035	
2.945	0.0244	0.2004	0.9075	0.7047	0.0156	0.0032	
2.971	-0.1321	-0.7354	0.8655	0.707	0.0135	0.0038	
2.995	0.3877	1.2637	1.2146	0.702	0.0211	0.0017	
3.021	0.322	-0.1226	0.5042	0.7023	0.0124	0.0013	
3.047	-0.1941	-0.998	1.6746	0.7037	0.0063	-0.0018	
3.072	-0.0376	0.355	0.8201	0.7048	0.0121	-0.0032	
3.098	0.1294	0.5295	2.5879	0.7013	0.0184	-0.0059	
3.123	0.1421	0.3386	-0.085	0.704	0.028	-0.0065	
3.149	-0.1306	0.7551	2.271	0.7025	0.0303	-0.003	
3.175	0.2024	0.7322	0.7778	0.7045	0.0318	-0.0063	
3.2	0.0784	0.1768	0.9456	0.7048	0.0333	-0.0045	
3.226	0.189	0.0486	0.0103	0.7051	0.0261	-0.0053	
3.243	-0.9204	0.96	3.3411	0.7095	0.0243	-0.0039	
3.269	-0.2388	-0.6389	1.5688	0.7069	0.0128	-0.0079	
3.294	0.0313	-0.813	0.8162	0.7074	0.0071	-0.0088	
3.32	-0.2234	-0.6592	1.1724	0.7096	0.0031	-0.0086	
3.346	-0.0029	-0.1802	0.3923	0.7133	-0.0042	-0.0104	
3.371	0.0732	-0.4973	0.9255	0.7119	-0.006	-0.012	
3.397	0.1206	-1.5747	0.5562	0.7086	-0.0127	-0.0186	
3.422	0.2161	-0.4146	0.929	0.7092	-0.0153	-0.0194	
3.449	0.1313	-0.095	1.1211	0.7087	-0.0146	-0.0206	
3.475	0.0244	-0.4243	2.1238	0.7141	-0.0178	-0.0228	
3.5	0.2434	0.1328	1.0703	0.7136	-0.0211	-0.022	
3.526	-0.0967	-0.6519	1.0703	0.7145	-0.023	-0.0228	
3.551	0.3269	-2.8276	0.2371	0.7179	-0.0104	-0.0259	
3.577	-0.2605	-0.8726	1.1567	0.714	-0.0127	-0.0261	
3.595	0.7778	-4.6233	-0.9045	0.7232	-0.0086	-0.0253	
3.62	0.0991	0.7542	0.9814	0.7228	0.003	-0.0244	
3.646	0.1074	-0.0127	0.5386	0.7226	-0.0089	-0.0244	
3.67	-0.7539	-0.7043	2.5234	0.7277	-0.0135	-0.0215	
3.696	-0.0122	3.1296	0.4863	0.7249	-0.007	-0.0315	
3.721	-0.2512	1.6929	0.6914	0.7281	-0.0147	-0.0384	
3.747	-0.7097	-0.5391	2.8601	0.7348	-0.0166	-0.0329	
3.773	0.1404	-0.0481	-1.7334	0.7313	-0.0205	-0.0336	
3.798	0.2361	-0.46	0.22	0.7314	-0.0253	-0.0425	
3.824	0.0303	0.0547	1.1357	0.7286	-0.0207	-0.0407	
3.848	0.3704	0.0232	2.075	0.7299	-0.0233	-0.0389	
3.874	0.1672	-0.2588	0.6653	0.7296	-0.0242	-0.0402	
3.9	-0.0347	0.4875	1.1936	0.7262	-0.0239	-0.0426	
3.925	0.2009	1.03	0.9165	0.7277	-0.0211	-0.0417	
3.95	0.1606	-0.0667	1.0469	0.727	-0.0164	-0.0428	
3.975	0.1443	-0.0264	1.1619	0.7315	-0.0078	-0.0394	
4.001	-0.5139	1.7524	1.7954	0.7288	-0.0069	-0.0333	
4.026	-0.323	0.2395	0.6221	0.7307	-0.0105	-0.0306	
4.051	-0.0554	0.5938	0.3281	0.731	-0.0019	-0.034	
4.077	-0.2791	1.0679	1.3755	0.7271	-0.0019	-0.0322	
4.094	-0.1287	-0.3625	1.3066	0.7291	-0.0066	-0.0307	
4.12	0.7476	-1.6758	0.7229	0.7289	-0.0158	-0.0326	
4.145	0.0518	0.4634	1.9365	0.7333	-0.0185	-0.032	
4.171	-0.2515	-1.8623	1.1487	0.7288	-0.0226	-0.0317	
4.197	0.6394	0.8843	-0.064	0.7306	-0.0087	-0.0362	
4.222	-0.3811	0.6743	3.2424	0.7335	-0.017	-0.0356	
4.248	0.0427	-1.6616	1.1038	0.7392	-0.0196	-0.0316	
4.273	0.125	0.4612	0.823	0.7387	-0.0177	-0.0295	
4.299	-0.2739	-2.9033	3.7153	0.7462	-0.0167	-0.0302	
4.325	-0.0222	0.3633	1.2432	0.7384	-0.0131	-0.0303	
4.35	-0.2563	0.4639	0.6824	0.7391	-0.007	-0.0233	
4.376	-0.0999	0.7017	0.8721	0.7401	-0.0045	-0.0212	
4.401	0.1414	3.7385	0.0862	0.7307	0.004	-0.0181	
4.427	-0.0996	1.0896	1.6284	0.7362	0.0102	-0.0181	
4.453	-0.0818	0.8496	0.9707	0.7308	0.0149	-0.0256	
4.47	0.0977	-0.5354	0.3188	0.7311	0.009	-0.0248	
4.496	-0.1157	2.082	0.8857	0.7315	0.0257	-0.023	
4.521	-0.0132	3.8735	0.5806	0.7311	0.0305	-0.0227	
4.547	-0.0605	-1.2085	-0.4585	0.7302	0.0254	-0.0198	
4.572	0.2117	0.176	0.0811	0.7346	0.0324	-0.0223	
4.599	-0.1733	0.3069	1.1846	0.7338	0.0355	-0.0203	
4.625	0.1936	3.0928	0.9001	0.729	0.0307	-0.02	
4.65	0.0627	-0.6387	0.5249	0.7299	0.0119	-0.0244	
4.676	0.4441	-1.4429	-0.2302	0.7316	0.0076	-0.0238	
4.701	-0.0288	0.6187	0.3667	0.7325	0.002	-0.0235	
4.727	-0.0403	-0.9849	1.4624	0.7334	-0.0027	-0.0217	
4.744	0.8567	-0.5037	-1.0234	0.7423	-0.0039	-0.0251	
4.77	0.1348	-0.894	1.2485	0.7309	-0.0026	-0.0307	
4.796	-0.0815	-0.0471	1.2842	0.7316	0.0036	-0.0282	
4.821	0.0239	1.1746	0.8306	0.7305	0.0108	-0.0277	
4.847	-0.1362	0.5352	1.585	0.7288	0.0092	-0.0244	
4.872	0.0723	0.4463	1.4573	0.7292	0.0139	-0.027	
4.898	0.7739	1.6433	0.2561	0.7274	0.0092	-0.0274	
4.924	0.2502	0.363	2.4014	0.7309	-0.0068	-0.031	
4.949	-0.2612	1.9924	2.4839	0.7337	-0.0041	-0.0254	
