L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
11.0313	6.1978	-3.43612e-05	-6.02198	-11.0604	12.8784	5.84615	0.000309251	-5.91209	-12.9396	-538	279.76	-199.06	-833.9	454.61	255.55	0	201.75	
11.1192	6.1978	-3.43612e-05	-6.02198	-11.0604	12.8784	5.84615	0.000309251	-5.91209	-12.8516	-578.35	277.07	-220.58	-758.58	505.72	196.37	0	83.39	
11.0313	6.1978	-3.43612e-05	-6.02198	-11.0604	12.7904	5.84615	0.000309251	-5.91209	-12.8516	-634.84	277.07	-164.09	-712.85	446.54	269	0	34.97	
11.0313	6.1978	-3.43612e-05	-6.02198	-11.0604	12.7904	5.84615	0.000309251	-5.91209	-12.8516	-492.27	277.07	-134.5	-715.54	441.16	204.44	0	29.59	
11.0313	6.1978	-3.43612e-05	-6.02198	-11.0604	12.7904	5.84615	0.000309251	-5.91209	-12.8516	-825.83	274.38	-156.02	-710.16	511.1	239.41	0	185.61	
11.0313	6.1978	-3.43612e-05	-6.02198	-11.0604	12.7025	5.84615	0.000309251	-5.91209	-12.6758	-801.62	266.31	-193.68	-1016.82	414.26	274.38	0	0	
11.0313	6.1978	-3.43612e-05	-6.10989	-11.0604	12.7025	5.84615	0.000309251	-5.91209	-12.7637	-788.17	266.31	-255.55	-1014.13	446.54	263.62	0	37.66	
10.9434	6.1978	-3.43612e-05	-6.10989	-11.0604	12.6146	5.84615	0.000309251	-5.91209	-12.6758	-815.07	266.31	-212.51	-626.77	419.64	277.07	0	69.94	
10.9434	6.1978	-3.43612e-05	-6.02198	-10.9725	12.6146	5.84615	0.000309251	-5.91209	-12.5879	-790.86	266.31	-75.32	-1022.2	441.16	215.2	0	180.23	
10.8555	6.1978	-3.43612e-05	-6.10989	-10.9725	12.5267	5.93407	0.000309251	-5.91209	-12.5	-820.45	260.93	-164.09	-1293.89	285.14	277.07	0	110.29	
10.7676	6.1978	-3.43612e-05	-6.02198	-10.7967	12.4388	5.93407	0.000309251	-5.91209	-12.5	-823.14	263.62	-193.68	-1264.3	188.3	282.45	0	56.49	
10.6797	6.1978	-3.43612e-05	-6.10989	-10.7967	12.4388	5.84615	0.000274889	-5.91209	-12.3242	-890.39	260.93	-137.19	-1369.21	91.46	279.76	51.11	0	
10.5038	6.1978	-3.43612e-05	-6.10989	-10.6209	12.263	5.93407	0.000274889	-5.91209	-12.3242	-825.83	255.55	-78.01	-1245.47	139.88	279.76	0	363.15	
10.4159	6.1978	-3.43612e-05	-6.10989	-10.533	12.1751	5.93407	0.000274889	-5.91209	-12.0604	-858.11	260.93	-129.12	-1320.79	112.98	271.69	21.52	-769.34	
10.2401	6.1978	-3.43612e-05	-6.10989	-10.3571	11.9992	5.93407	0.000274889	-5.91209	-12.0604	-844.66	260.93	-228.65	-1312.72	99.53	282.45	-34.97	379.29	
10.0643	6.1978	-3.43612e-05	-6.10989	-10.1813	11.8234	5.93407	0.000274889	-6	-11.8846	-984.54	263.62	-91.46	-1024.89	75.32	271.69	72.63	91.46	
9.80055	6.1978	-3.43612e-05	-6.02198	-10.0055	11.6476	5.93407	0.000274889	-6	-11.6209	-812.38	266.31	-166.78	-1197.05	99.53	277.07	67.25	59.18	
9.53681	6.1978	0.00202731	-6.02198	-9.74176	11.3838	5.93407	0.00206167	-6	-11.3571	-960.33	258.24	-91.46	-1328.86	110.29	274.38	21.52	188.3	
9.27308	6.1978	0.00209603	-6.02198	-9.3022	11.1201	5.93407	0.00243964	-5.91209	-11.0055	-885.01	287.83	-94.15	-1423.01	45.73	271.69	69.94	10.76	
8.92143	6.1978	0.00216475	-6.02198	-8.95055	10.6805	5.93407	0.002474	-6	-10.6538	-911.91	250.17	-94.15	-1275.06	139.88	317.42	8.07	352.39	
8.48187	6.1978	0.00309251	-6.10989	-8.5989	10.3289	5.93407	0.00288634	-6	-10.3022	-785.48	244.79	-188.3	-1194.36	381.98	247.48	21.52	24.21	
8.48187	6.1978	0.00316123	-6.02198	-8.51099	10.241	5.93407	0.00371101	-5.91209	-10.1264	-796.24	80.7	-34.97	-1127.11	161.4	274.38	0	67.25	
8.13022	6.28571	0.00319559	-6.10989	-8.07143	9.80143	5.93407	0.00422642	-5.91209	-9.77473	-1059.86	260.93	-123.74	-987.23	193.68	277.07	-53.8	161.4	
7.51484	6.28571	0.00343612	-6.10989	-7.54396	9.18604	5.93407	0.00419206	-6	-9.15934	-1164.77	126.43	-86.08	-973.78	110.29	277.07	0	-115.67	
6.89945	6.28571	0.00412334	-6.10989	-7.01648	8.65857	5.93407	0.0046044	-5.91209	-8.63187	-554.14	255.55	-137.19	-1014.13	274.38	271.69	48.42	126.43	
6.28407	6.28571	0.00429515	-6.10989	-6.22527	8.04319	5.93407	0.00498237	-5.91209	-7.92857	-1076	182.92	-260.93	-893.08	102.22	355.08	72.63	53.8	
5.58077	6.28571	0.00511981	-6.10989	-5.60989	7.25198	6.02198	0.00570395	-6	-7.22527	-960.33	255.55	-228.65	-1175.53	330.87	263.62	212.51	-123.74	
