Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	0.9319	-0.0132	-0.0686	2.186	2.8772	-1.5282	
0.052	1.0154	0.1934	-0.04	2.2408	2.8221	-1.5284	
0.086	0.95	-0.0371	-0.0398	2.1736	2.8892	-1.5291	
0.129	0.9797	0.0491	-0.0286	2.1713	2.8912	-1.5292	
0.164	1.032	0.0725	-0.0564	2.1918	2.8704	-1.5294	
0.198	0.9939	0.1123	-0.0676	2.1877	2.8752	-1.529	
0.241	0.9973	-0.0793	-0.0447	2.102	2.9611	-1.5278	
0.274	0.9602	0.0085	0.0107	2.1589	2.9038	-1.528	
0.309	0.9783	0.0537	-0.0808	2.2333	2.8291	-1.5257	
0.352	0.9368	-0.0525	-0.0652	2.2593	2.8031	-1.5252	
0.386	0.9973	0.0212	-0.009	2.3724	2.6896	-1.5257	
0.421	1.0042	-0.0522	-0.0569	2.297	2.7647	-1.5244	
0.455	0.9954	0.0266	-0.0156	2.2687	2.793	-1.5263	
0.498	0.9609	0.0317	-0.0212	2.313	2.7487	-1.5279	
0.531	0.9607	0.0356	-0.1177	2.2741	2.7873	-1.5281	
0.557	1.0178	0.0007	-0.0637	2.2093	2.8519	-1.5248	
0.557	1.0178	0.0007	-0.0637	2.2093	2.8519	-1.5248	
2.912	0.9761	-0.0696	0.0688	2.1682	2.8953	-1.5203	
2.947	0.6011	-0.6658	-0.4238	2.1953	2.8697	-1.5207	
2.973	0.7146	0.5076	-1.1101	2.1935	2.876	-1.5209	
2.998	0.8684	-0.2842	0.4805	2.1911	2.8799	-1.5211	
3.024	1.0251	-0.3105	-0.4299	2.2114	2.8569	-1.5188	
3.05	0.8542	0.4158	0.012	2.177	2.8958	-1.5168	
3.075	0.1816	1.2024	-0.0811	2.2336	2.8444	-1.5144	
3.101	0.9883	-0.1072	-0.1326	2.1944	2.8874	-1.5161	
3.126	0.2886	-0.1079	0.51	2.2189	2.8637	-1.5161	
3.152	0.9758	0.5151	0.5847	2.2113	2.876	-1.5167	
3.178	0.7896	0.4084	0.22	2.2257	2.8616	-1.5189	
3.203	1.4507	-0.7268	-0.7017	2.2153	2.8781	-1.5174	
3.221	0.7329	0.5688	-0.8521	2.2848	2.8101	-1.5157	
3.246	1.667	-1.1777	0.1057	2.1633	2.9297	-1.5136	
3.273	0.9785	0.4722	-0.0608	2.235	2.8633	-1.514	
3.298	0.9438	0.0759	-0.1809	2.2917	2.8106	-1.5096	
3.324	1.0134	0.095	-0.0852	2.312	2.7936	-1.5047	
3.35	0.8164	0.4246	0.0769	2.3908	2.7156	-1.5038	
3.375	1.0146	0.1711	-0.2156	2.3331	2.7742	-1.5026	
3.401	1.1099	-0.4963	-0.0723	2.2144	2.8939	-1.5043	
3.426	1.0242	0.4329	0.0725	2.2421	2.8677	-1.5057	
3.452	1.0491	1.5803	0.8804	2.2236	2.886	-1.5081	
3.478	0.4026	-0.761	-0.3096	2.1288	2.9804	-1.5093	
3.504	1.8081	-1.8877	0.7939	2.0909	3.0183	-1.5062	
3.53	1.2576	0.3975	0.1621	2.1104	2.999	-1.507	
3.546	0.948	-0.1582	-0.0254	2.0303	3.0787	-1.5069	
3.573	-0.5146	2.4924	-0.9077	2.1106	3.0011	-1.5071	
3.598	0.9702	-0.3013	-0.0527	2.12	2.9951	-1.5078	
3.624	-0.1748	-2.2217	0.833	2.0047	3.1068	-1.5078	
3.65	1.1086	0.2073	0.8699	2.0026	3.1092	-1.5081	
3.675	1.043	0.9709	0.2686	1.9919	3.1248	-1.5103	
3.701	0.8508	-0.5764	-0.0564	1.9709	-3.1335	-1.5112	
3.726	0.9373	0.0701	-0.1973	2.0694	3.0521	-1.5098	
3.752	1.0398	-0.4373	-1.1904	2.074	3.0543	-1.5074	
3.778	1.2107	0.3213	-0.2822	2.1143	3.0125	-1.5064	
