L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.71264	-42.5036	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	-8.07	336.25	83.39	0	207.13	56.49	-147.95	34.97	
9.71264	-42.5036	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	-5.38	320.11	72.63	0	277.07	51.11	-29.59	26.9	
9.71264	-42.5036	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	34.97	328.18	104.91	0	379.29	53.8	-145.26	26.9	
9.62473	-42.4157	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	-24.21	406.19	110.29	0	231.34	51.11	-83.39	0	
9.62473	-42.5036	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	-24.21	438.47	102.22	0	333.56	51.11	-150.64	0	
9.62473	-42.4157	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	45.73	309.35	88.77	0	344.32	53.8	-37.66	0	
9.53681	-42.5036	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	-37.66	212.51	110.29	0	174.85	56.49	-150.64	0	
9.53681	-42.4157	-0.00144317	-5.58242	-9.53846	11.2813	5.23077	-0.00243964	-5.58626	-11.2176	118.36	190.99	96.84	0	121.05	53.8	-99.53	0	
9.53681	-42.4157	-0.00144317	-5.58242	-9.53846	11.1934	5.23077	-0.00243964	-5.58626	-11.2176	-10.76	190.99	96.84	0	99.53	43.04	-78.01	0	
9.4489	-42.4157	-0.00144317	-5.58242	-9.53846	11.1055	5.31868	-0.00243964	-5.58626	-11.1297	34.97	190.99	104.91	0	231.34	110.29	-29.59	10.76	
9.36099	-42.4157	-0.00146035	-5.58242	-9.36264	11.1055	5.31868	-0.00243964	-5.58626	-11.1297	64.56	190.99	78.01	-13.45	139.88	75.32	-26.9	2.69	
9.27308	-42.4157	-0.00146035	-5.58242	-9.27473	11.0176	5.31868	-0.00243964	-5.58626	-11.0418	10.76	193.68	102.22	-21.52	236.72	96.84	-26.9	8.07	
9.18516	-42.4157	-0.00146035	-5.58242	-9.18681	10.9297	5.23077	-0.00243964	-5.58626	-10.9538	217.89	188.3	104.91	-16.14	196.37	129.12	-26.9	2.69	
9.00934	-42.4157	-0.00146035	-5.58242	-9.0989	10.7538	5.23077	-0.00243964	-5.49835	-10.8659	-72.63	190.99	56.49	0	-242.1	158.71	-80.7	16.14	
8.92143	-42.4157	-0.00146035	-5.58242	-8.92308	10.6659	5.31868	-0.00243964	-5.58626	-10.6901	34.97	190.99	53.8	-16.14	110.29	161.4	-21.52	2.69	
8.7456	-42.4157	-0.00146035	-5.58242	-8.83516	10.4022	5.23077	-0.00243964	-5.58626	-10.5143	2.69	164.09	59.18	16.14	102.22	78.01	-88.77	10.76	
8.48187	-42.4157	-0.00146035	-5.58242	-8.57143	10.2264	5.31868	-0.00243964	-5.58626	-10.3385	0	190.99	61.87	-10.76	-37.66	104.91	-94.15	5.38	
8.30604	-42.4157	-0.0010652	-5.58242	-8.48352	10.0505	5.31868	-0.00254273	-5.58626	-10.1626	16.14	188.3	69.94	16.14	16.14	142.57	-147.95	5.38	
8.04231	-42.4157	-0.000687223	-5.67033	-8.04396	9.78681	5.31868	-0.00211321	-5.58626	-9.8989	-18.83	185.61	80.7	10.76	-2.69	69.94	-83.39	13.45	
7.69066	-42.4157	-0.000446695	-5.58242	-7.78022	9.43516	5.31868	-0.00186409	-5.58626	-9.63516	45.73	188.3	67.25	8.07	225.96	88.77	-26.9	2.69	
7.33901	-42.4157	-6.87223e-05	-5.58242	-7.51648	8.9956	5.31868	-0.001237	-5.58626	-9.10769	-37.66	188.3	34.97	18.83	-24.21	88.77	-45.73	13.45	
7.33901	-42.4157	-9.44932e-05	-5.58242	-7.42857	9.17143	5.31868	-0.00140881	-5.58626	-9.10769	-32.28	190.99	69.94	0	-102.22	72.63	-145.26	0	
