Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.9482	-0.0249	-0.2559	2.4681	-3.0317	-1.2995	
0.052	0.9441	-0.0322	-0.2612	2.4645	-3.0281	-1.2984	
0.087	0.9324	-0.0369	-0.2568	2.447	-3.0103	-1.298	
0.122	0.9531	-0.0425	-0.272	2.4504	-3.014	-1.2945	
0.157	0.9453	-0.0198	-0.2876	2.4625	-3.0268	-1.2932	
0.192	0.9919	-0.0256	-0.2646	2.4563	-3.0206	-1.2941	
0.225	0.9434	-0.0286	-0.2537	2.4556	-3.0202	-1.2931	
0.26	0.9333	-0.0364	-0.2512	2.4567	-3.0217	-1.2962	
0.295	0.9236	-0.0405	-0.2478	2.4496	-3.0146	-1.2986	
0.33	0.9614	-0.0347	-0.2778	2.4594	-3.0247	-1.2966	
0.365	0.9639	-0.0105	-0.2744	2.474	-3.0396	-1.2954	
0.4	0.9587	-0.0344	-0.2573	2.4543	-3.0193	-1.2942	
0.434	0.9431	-0.0352	-0.2517	2.4556	-3.0208	-1.2945	
0.469	0.936	-0.0283	-0.2664	2.4629	-3.0287	-1.2925	
0.504	0.9651	-0.0276	-0.2959	2.4631	-3.029	-1.2911	
0.53	0.9587	-0.0166	-0.2473	2.4654	-3.0316	-1.2943	
0.53	0.9587	-0.0166	-0.2473	2.4654	-3.0316	-1.2943	
2.899	0.9253	-0.1121	-0.2444	2.463	-3.0433	-1.2984	
2.943	0.8967	0.0217	-0.207	2.4863	-3.0684	-1.2952	
2.977	0.9038	-0.0654	-0.2483	2.4935	-3.0749	-1.2938	
2.994	0.8677	0.1477	-0.2637	2.5009	-3.0841	-1.2921	
3.02	0.9182	-0.0452	-0.2771	2.5067	-3.0908	-1.2927	
3.047	0.9365	0.0078	-0.1431	2.5208	-3.1074	-1.2931	
3.072	0.9214	0.1133	-0.1697	2.5343	-3.1197	-1.2955	
3.098	0.8667	-0.1086	-0.1152	2.53	-3.114	-1.2946	
3.123	0.8782	-0.0369	-0.1033	2.533	-3.1128	-1.2951	
3.15	0.8542	0.0542	0.0413	2.5461	-3.1224	-1.2959	
3.167	1.0784	-0.0461	-0.3838	2.5553	-3.1288	-1.2925	
3.193	0.9429	-0.1348	-0.2068	2.587	3.1267	-1.2934	
3.22	0.9319	-0.1772	-0.1614	2.595	3.1248	-1.2934	
3.245	0.8726	0.0686	-0.2168	2.6071	3.1178	-1.2931	
3.272	0.978	-0.012	-0.22	2.6192	3.1079	-1.2927	
3.297	0.9102	0.0667	-0.2493	2.6421	3.0841	-1.292	
3.323	0.9607	0.1157	-0.1299	2.6559	3.0664	-1.2937	
3.35	0.8899	0.0754	-0.3616	2.6577	3.0615	-1.2887	
3.375	0.9626	0.061	-0.3293	2.6647	3.0552	-1.2862	
3.393	0.9312	0.0776	-0.3616	2.6712	3.0498	-1.2862	
3.418	0.9131	-0.0547	-0.3088	2.6722	3.0512	-1.2877	
3.445	0.946	-0.0518	-0.3247	2.6683	3.0597	-1.2891	
3.471	0.9165	-0.1401	-0.3796	2.67	3.062	-1.2898	
3.497	0.9629	-0.0449	-0.4192	2.6862	3.05	-1.2895	
3.523	0.936	-0.208	-0.4446	2.6914	3.0491	-1.288	
3.548	0.9763	-0.1941	-0.6729	2.689	3.0524	-1.2864	
3.574	1.0503	-0.0972	-0.8765	2.6875	3.0585	-1.2855	
3.6	1.0864	-0.0447	-0.688	2.6912	3.0575	-1.2842	
3.626	1.0303	-0.0679	-0.553	2.6945	3.0552	-1.2828	
3.643	1.0195	0.0203	-0.3196	2.6956	3.0558	-1.282	
3.669	1.0398	0.0823	-0.3572	2.7058	3.0449	-1.2813	
3.695	0.9087	0.0469	-0.4768	2.7091	3.0444	-1.2799	
3.72	0.9189	0.0325	-0.3264	2.6967	3.0569	-1.2784	
3.746	0.9351	-0.0737	-0.3325	2.6898	3.0654	-1.277	
3.773	0.939	0.0049	-0.2129	2.6903	3.0637	-1.2787	
3.798	0.9495	0.0371	-0.3162	2.6951	3.0595	-1.2774	
3.824	0.9607	0.0444	-0.2896	2.7003	3.0542	-1.2794	
3.85	0.9646	0.0173	-0.2625	2.702	3.0537	-1.2808	
3.876	1.0098	0.0559	-0.2043	2.7039	3.0506	-1.2817	
3.893	1.0415	0.033	-0.272	2.7081	3.0465	-1.2816	
3.919	0.9709	0.0518	-0.3049	2.7214	3.0324	-1.2799	
3.946	0.9065	0.0432	-0.3086	2.729	3.0251	-1.2806	
3.971	0.9722	0.0037	-0.2771	2.7152	3.0402	-1.2838	
3.998	0.9866	0.0454	-0.2263	2.7215	3.0342	-1.2852	
4.023	0.9202	0.0295	-0.272	2.7241	3.0307	-1.2828	
4.049	0.9482	0.0498	-0.2766	2.7407	3.0139	-1.2821	
4.076	0.9116	0.0291	-0.2773	2.742	3.0121	-1.2792	
4.093	0.9346	0.0393	-0.2947	2.7463	3.008	-1.2763	
4.119	0.9414	0.0227	-0.2717	2.7364	3.0177	-1.2802	
4.145	0.906	0.0339	-0.2881	2.7369	3.0175	-1.2815	
4.171	0.9316	0.0349	-0.2942	2.7391	3.0154	-1.2801	
4.197	0.9683	0.0359	-0.2827	2.74	3.0145	-1.2787	
4.223	0.9246	0.0061	-0.2542	2.7298	3.0246	-1.2822	
4.249	0.9575	0.05	-0.3074	2.7315	3.0228	-1.2837	
4.275	0.9219	0.0129	-0.2588	2.7273	3.0267	-1.2837	
4.301	0.946	0.0298	-0.2756	2.7202	3.0342	-1.2855	
4.318	0.9604	0.0217	-0.2791	2.7131	3.0415	-1.2869	
4.344	0.9316	0.0444	-0.2583	2.7255	3.0288	-1.286	
4.371	0.9209	0.0146	-0.2708	2.7107	3.0438	-1.2872	
4.396	0.9673	0.0278	-0.2322	2.7125	3.042	-1.2886	
4.423	0.9326	0.0339	-0.2822	2.7209	3.0333	-1.2845	
4.448	0.938	0.0234	-0.2744	2.7221	3.0321	-1.2826	
4.474	0.9067	0.0278	-0.2686	2.7185	3.0356	-1.2818	
4.501	0.9314	0.0093	-0.2813	2.712	3.0419	-1.284	
4.518	0.928	0.0313	-0.2681	2.7227	3.0312	-1.286	
4.544	0.947	0.042	-0.2871	2.7356	3.0177	-1.2851	
4.569	0.9458	0.0461	-0.2344	2.7426	3.0106	-1.2837	
4.596	0.9443	0.0322	-0.2683	2.7417	3.0113	-1.2849	
4.621	0.9226	0.0356	-0.2954	2.7476	3.0055	-1.2829	
4.648	0.9507	0.0386	-0.2688	2.7466	3.0065	-1.2847	
4.674	0.9321	0.0354	-0.2866	2.7471	3.0058	-1.2805	
4.7	0.9631	0.043	-0.2764	2.746	3.007	-1.2834	
4.726	0.9517	0.0266	-0.2681	2.7417	3.0112	-1.2847	
4.752	0.9558	0.0168	-0.2673	2.7318	3.0211	-1.2865	
4.769	0.9624	0.0166	-0.2351	2.7288	3.024	-1.2892	
4.796	0.9521	0.0317	-0.2527	2.7238	3.0295	-1.293	
4.821	0.9341	0.0466	-0.313	2.7236	3.0301	-1.2931	
4.848	0.9729	0.0371	-0.2937	2.7315	3.0223	-1.2904	
4.873	0.9653	0.0256	-0.2358	2.7233	3.0309	-1.2907	
4.899	0.9548	0.0293	-0.2651	2.7245	3.0295	-1.2921	
4.926	0.9226	0.0359	-0.2666	2.7329	3.0207	-1.2907	
4.951	0.9473	0.0156	-0.2915	2.7291	3.0246	-1.2895	
4.969	0.9265	0.0225	-0.2871	2.7269	3.0268	-1.2895	
4.995	0.9685	0.0288	-0.2683	2.7261	3.0278	-1.2937	
5.021	0.9663	0.0547	-0.2949	2.7271	3.0269	-1.2928	
5.046	0.9475	0.0322	-0.3044	2.7208	3.0335	-1.292	
5.073	0.959	0.0283	-0.2642	2.7216	3.0327	-1.2933	
5.099	0.9482	0.0396	-0.2742	2.7336	3.0204	-1.2898	
5.125	0.9309	0.0393	-0.2925	2.7407	3.0129	-1.2858	
5.151	0.9336	0.0278	-0.282	2.7432	3.0102	-1.2832	
5.178	0.9473	0.0229	-0.2637	2.7474	3.0057	-1.2827	
5.195	0.9724	0.0349	-0.2959	2.743	3.0102	-1.2827	
5.221	0.9702	0.0315	-0.2722	2.7375	3.0158	-1.2852	
5.246	0.9514	0.0386	-0.2766	2.7383	3.0148	-1.2859	
5.273	0.9282	0.04	-0.2856	2.736	3.0171	-1.285	
5.298	0.9785	0.03	-0.2637	2.7372	3.0158	-1.2864	
5.325	0.9626	0.02	-0.2522	2.7271	3.0263	-1.2901	
5.351	0.9341	0.0249	-0.2354	2.7249	3.0285	-1.2916	
5.376	0.9553	0.0244	-0.2874	2.7241	3.0294	-1.2903	
5.394	0.9236	0.03	-0.2546	2.7244	3.0289	-1.2932	
5.42	0.9548	0.0427	-0.3057	2.7265	3.0269	-1.2917	
5.446	0.9724	0.0515	-0.2615	2.7398	3.0131	-1.2912	
5.472	0.947	0.0208	-0.2783	2.7283	3.0244	-1.2906	
5.498	0.9524	0.0349	-0.2959	2.7296	3.0231	-1.289	
5.524	0.9512	0.0298	-0.2642	2.7283	3.0244	-1.2879	
5.55	0.9478	0.0317	-0.2659	2.7337	3.0188	-1.2866	
5.576	0.9692	0.0461	-0.272	2.7429	3.0095	-1.2849	
5.602	0.9478	0.0403	-0.2734	2.7465	3.0054	-1.2857	
5.62	0.9631	0.0339	-0.2642	2.7449	3.0068	-1.2857	
5.645	0.9297	0.043	-0.2878	2.7453	3.0064	-1.2817	
5.671	0.9304	0.0212	-0.241	2.7431	3.0083	-1.2831	
5.698	0.9492	0.0432	-0.2554	2.7503	3.0006	-1.2825	
5.723	0.9775	0.0266	-0.2842	2.7344	3.0167	-1.2848	
5.75	0.9492	0.0037	-0.2427	2.7265	3.0247	-1.2888	
5.776	0.9631	0.0288	-0.2346	2.7263	3.0252	-1.2902	
5.802	0.9751	0.032	-0.2629	2.7311	3.02	-1.2918	
5.828	0.9619	0.0159	-0.2505	2.7219	3.0297	-1.2954	
5.845	0.948	0.0266	-0.2681	2.7167	3.0347	-1.2958	
5.871	0.9346	0.0425	-0.2891	2.7272	3.0238	-1.2925	
5.897	0.9451	0.0142	-0.2549	2.712	3.0394	-1.2951	
5.923	0.988	0.03	-0.2493	2.7052	3.0462	-1.2989	
5.949	0.957	0.0244	-0.2642	2.7036	3.0476	-1.3009	
5.975	0.9377	0.0459	-0.2964	2.7051	3.0459	-1.2995	
6.001	0.916	0.0466	-0.3218	2.7145	3.0366	-1.2954	
6.027	0.9802	0.05	-0.2795	2.7261	3.0247	-1.2944	
6.045	0.9451	0.0356	-0.3069	2.7242	3.0263	-1.2944	
6.07	0.9863	0.0466	-0.2776	2.727	3.0233	-1.2947	
6.096	0.95	0.0415	-0.2847	2.7289	3.0216	-1.2903	
6.123	0.9407	0.0222	-0.2546	2.7324	3.0181	-1.2892	
6.148	0.9414	0.0322	-0.2583	2.7275	3.0232	-1.2897	
6.175	0.9307	0.0203	-0.2786	2.7263	3.0244	-1.2886	
6.201	0.9297	0.0298	-0.2761	2.7226	3.028	-1.2872	
6.226	0.9468	0.0398	-0.2864	2.7223	3.0284	-1.2886	
6.253	0.9558	0.0198	-0.2615	2.7266	3.0241	-1.2874	
6.27	0.9414	0.0308	-0.2874	2.7227	3.0283	-1.2873	
6.296	0.9653	0.0293	-0.2439	2.7236	3.0272	-1.2887	
6.322	0.9287	0.0317	-0.2742	2.7237	3.0268	-1.2871	
6.348	0.9375	0.0247	-0.2732	2.7172	3.0336	-1.2868	
6.375	0.958	0.03	-0.2522	2.7151	3.0357	-1.2884	
6.4	0.9258	0.0344	-0.3049	2.7193	3.0313	-1.2865	
6.426	0.9224	0.02	-0.2573	2.7169	3.0336	-1.2878	
6.452	0.9709	0.0269	-0.2581	2.7129	3.0376	-1.2919	
6.478	0.9915	0.0356	-0.2644	2.7118	3.0387	-1.2959	
