time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.025	-3.52078e-05	0.000941041	0.227291	-2.40478e-05	-1.08496e-05	2.29518e-05	-2.38878e-05	0.0792523	2.2972e-05	0.029852	-0.0172339	0.307882	0	0	0	0	0	0	0	0.000842813	0	0	0.0339771	0	0	0	0	0	0.079271	0	
0.05	-3.52062e-05	0.000972798	0.227291	-2.40487e-05	-1.08099e-05	2.29505e-05	-2.38887e-05	0.0792523	2.29705e-05	0.0298519	-0.0171871	0.307881	-5.31814e-06	0.00186851	-6.08885e-05	-0.000212726	0.0747403	-0.00243554	0	0.00170554	0	0	0.0351766	0	0	0	0	0	0.079271	0	
0.075	-3.52037e-05	0.00102656	0.227291	-2.40503e-05	-1.07426e-05	2.29482e-05	-2.38903e-05	0.0792524	2.2968e-05	0.0298516	-0.0171081	0.307878	-8.99417e-06	0.00316314	-0.000102977	-0.000147041	0.0517851	-0.00168353	0	0.00260857	0	0	0.0372073	0	0	0	0	0	0.079271	0	
0.1	-3.52e-05	0.0011036	0.227291	-2.40526e-05	-1.06462e-05	2.2945e-05	-2.38925e-05	0.0792525	2.29645e-05	0.0298513	-0.0169948	0.307875	-1.28685e-05	0.0045324	-0.000147336	-0.000154971	0.0547708	-0.00177437	0	0.00357323	0	0	0.0401172	0	0	0	0	0	0.079271	0	
0.125	-3.51951e-05	0.00120573	0.227291	-2.40555e-05	-1.05183e-05	2.29407e-05	-2.38956e-05	0.0792526	2.29597e-05	0.0298509	-0.0168445	0.30787	-1.70249e-05	0.00600862	-0.000194928	-0.000166259	0.0590486	-0.00190367	0	0.00462232	0	0	0.0439749	0	0	0	0	0	0.079271	0	
0.15	-3.5189e-05	0.00133537	0.227291	-2.40593e-05	-1.03561e-05	2.29353e-05	-2.38994e-05	0.0792528	2.29538e-05	0.0298504	-0.0166539	0.307864	-2.15521e-05	0.00762659	-0.000246766	-0.000181088	0.064719	-0.00207354	0	0.00578062	0	0	0.0488717	0	0	0	0	0	0.079271	0	
0.175	-3.51814e-05	0.00149558	0.227291	-2.4064e-05	-1.01556e-05	2.29287e-05	-2.39041e-05	0.079253	2.29464e-05	0.0298497	-0.0164183	0.307856	-2.65443e-05	0.00942448	-0.000303932	-0.000199687	0.0719152	-0.00228661	0	0.00707552	0	0	0.0549232	0	0	0	0	0	0.079271	0	
0.2	-3.51722e-05	0.00169015	0.227291	-2.40696e-05	-9.91208e-06	2.29207e-05	-2.39098e-05	0.0792532	2.29376e-05	0.0298489	-0.0161321	0.307847	-3.21024e-05	0.0114446	-0.000367581	-0.000222323	0.0808062	-0.00254597	0	0.00853759	0	0	0.0622724	0	0	0	0	0	0.079271	0	
0.225	-3.51613e-05	0.00192368	0.227291	-2.40764e-05	-9.61986e-06	2.29112e-05	-2.39167e-05	0.0792535	2.29271e-05	0.0298479	-0.0157888	0.307836	-3.83348e-05	0.0137346	-0.000438957	-0.000249296	0.0916006	-0.00285505	0	0.0102014	0	0	0.071093	0	0	0	0	0	0.079271	0	
0.25	-3.51483e-05	0.00220167	0.227291	-2.40845e-05	-9.27202e-06	2.29e-05	-2.39248e-05	0.0792539	2.29146e-05	0.0298468	-0.0153801	0.307823	-4.53577e-05	0.0163484	-0.000519393	-0.000280915	0.104551	-0.00321743	0	0.0121062	0	0	0.0815935	0	0	0	0	0	0.079271	0	
