time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.00486436	9.62805	5.46447	-0.0136834	-5.4453	-9.61279	0.00423929	11.295	5.43532	-0.0153578	-5.41604	-11.2797	
0.05	0.0048675	9.61965	5.46461	-0.0136741	-5.44544	-9.60439	0.00424242	11.2867	5.43548	-0.0153472	-5.4162	-11.2714	
0.075	0.0048728	9.60543	5.46484	-0.0136584	-5.44567	-9.59017	0.00424771	11.2726	5.43575	-0.0153293	-5.41647	-11.2574	
0.1	0.0048804	9.58506	5.46518	-0.013636	-5.44601	-9.5698	0.0042553	11.2525	5.43613	-0.0153037	-5.41686	-11.2372	
0.125	0.00489048	9.55805	5.46562	-0.0136064	-5.44645	-9.54279	0.00426536	11.2258	5.43664	-0.0152698	-5.41737	-11.2105	
0.15	0.00490327	9.52376	5.46618	-0.0135688	-5.44701	-9.5085	0.00427813	11.1919	5.43729	-0.0152268	-5.41802	-11.1766	
0.175	0.00491907	9.48137	5.46687	-0.0135226	-5.4477	-9.46611	0.00429391	11.15	5.43808	-0.015174	-5.41881	-11.1347	
0.2	0.00493827	9.42987	5.4677	-0.0134668	-5.44854	-9.41461	0.00431308	11.0991	5.43905	-0.01511	-5.41978	-11.0838	
0.225	0.00496131	9.36805	5.46869	-0.0134001	-5.44954	-9.35279	0.00433608	11.038	5.44019	-0.0150336	-5.42093	-11.0227	
0.25	0.00498873	9.29442	5.46987	-0.0133214	-5.45071	-9.27916	0.00436347	10.9652	5.44155	-0.0149433	-5.4223	-10.9499	
0.275	0.0050212	9.20724	5.47124	-0.013229	-5.4521	-9.19198	0.00439588	10.879	5.44315	-0.0148371	-5.4239	-10.8637	
0.3	0.00505946	9.10441	5.47285	-0.0131211	-5.45371	-9.08915	0.00443409	10.7773	5.44502	-0.014713	-5.42578	-10.7621	
0.325	0.00510444	8.98349	5.47472	-0.0129958	-5.45559	-8.96823	0.004479	10.6577	5.4472	-0.0145687	-5.42797	-10.6425	
0.35	0.00515719	8.84158	5.47689	-0.012851	-5.45776	-8.82632	0.00453167	10.5174	5.44973	-0.0144015	-5.4305	-10.5021	
0.375	0.00521895	8.67527	5.47938	-0.0126843	-5.46026	-8.66001	0.00459335	10.3529	5.45265	-0.0142085	-5.43343	-10.3376	
0.4	0.0052912	8.48057	5.48224	-0.0124932	-5.46313	-8.46531	0.0046655	10.1602	5.45601	-0.0139867	-5.43681	-10.1449	
0.425	0.00537563	8.25279	5.48551	-0.0122753	-5.46641	-8.23753	0.00474981	9.93478	5.45986	-0.0137327	-5.44067	-9.91952	
0.45	0.00547425	7.98642	5.48921	-0.0120281	-5.47013	-7.97116	0.0048483	9.67109	5.46427	-0.0134434	-5.44509	-9.65583	
0.475	0.00558938	7.67502	5.4934	-0.0117495	-5.47433	-7.65976	0.00496329	9.36273	5.46926	-0.0131155	-5.45011	-9.34747	
0.5	0.00572376	7.31104	5.49808	-0.0114381	-5.47903	-7.29578	0.00509749	9.00217	5.47491	-0.0127464	-5.45577	-8.98691	
0	0.00572376	7.31104	5.49808	-0.0114381	-5.47903	-7.29578	0.00509749	9.00217	5.47491	-0.0127464	-5.45577	-8.98691	
0.025	0.00587968	6.888	5.50324	-0.0110953	-5.48421	-6.87274	0.00525323	8.58292	5.4812	-0.0123364	-5.46209	-8.56766	
0.05	0.00605627	6.408	5.50874	-0.0107311	-5.48973	-6.39274	0.00542962	8.107	5.48798	-0.011896	-5.46889	-8.09174	
0.075	0.00625181	5.87548	5.51438	-0.0103578	-5.49539	-5.86022	0.00562497	7.5787	5.49506	-0.011438	-5.476	-7.56344	
0.1	0.00646459	5.29494	5.51999	-0.00998754	-5.50101	-5.27968	0.00583754	7.00241	5.50226	-0.0109752	-5.48322	-6.98715	
0.125	0.00669285	4.67099	5.52538	-0.00963196	-5.50643	-4.65573	0.0060656	6.38261	5.50937	-0.01052	-5.49036	-6.36735	
0.15	0.00693485	4.00836	5.53038	-0.00930222	-5.51145	-3.9931	0.00630741	5.72391	5.51622	-0.0100844	-5.49723	-5.70865	
0.175	0.0071888	3.31188	5.53484	-0.0090086	-5.51592	-3.29662	0.00656119	5.03102	5.52263	-0.00967931	-5.50367	-5.01576	
0.2	0.00745293	2.58648	5.53862	-0.00876029	-5.51971	-2.57123	0.00682518	4.3088	5.52845	-0.00931477	-5.50951	-4.29354	
0.225	0.00772544	1.83725	5.54158	-0.00856521	-5.52268	-1.82199	0.00709757	3.5622	5.53354	-0.00899951	-5.51462	-3.54694	
0.25	0.00800453	1.06931	5.54362	-0.00842986	-5.52473	-1.05405	0.00737656	2.79632	5.53778	-0.00874085	-5.51887	-2.78106	
0.275	0.00828836	0.287934	5.54468	-0.00835917	-5.52579	-0.272675	0.00766033	2.01633	5.54108	-0.00854457	-5.52218	-2.00107	
0.3	0.0085751	-0.501577	5.54469	-0.00835636	-5.5258	0.516836	0.00794705	1.22751	5.54337	-0.00841477	-5.52447	-1.21225	
0.325	0.00797667	-1.29478	5.54306	-0.00842546	-5.52606	1.30852	0.00823491	0.435085	5.54455	-0.00835426	-5.52566	-0.419825	
0.35	0.00823501	-2.0845	5.54094	-0.00856114	-5.52393	2.09823	0.00852198	-0.355317	5.54471	-0.00836274	-5.52582	0.370576	
0.375	0.00849095	-2.86614	5.5378	-0.00876357	-5.52078	2.87987	0.00792578	-1.13914	5.54331	-0.00844134	-5.52631	1.15288	
0.4	0.00874283	-3.63443	5.53351	-0.00903012	-5.51648	3.64816	0.00817776	-1.90956	5.54123	-0.00858417	-5.52422	1.92329	
0.425	0.00898887	-4.38373	5.52855	-0.0093525	-5.5115	4.39746	0.00842393	-2.66157	5.53841	-0.00878592	-5.52139	2.6753	
0.45	0.00922739	-5.10881	5.52285	-0.00972452	-5.50578	5.12254	0.00866261	-3.38989	5.53476	-0.00904125	-5.51773	3.40362	
0.475	0.00945668	-5.80436	5.51654	-0.0101372	-5.49945	5.81809	0.00889207	-4.08911	5.53042	-0.00934204	-5.51337	4.10285	
0.5	0.009675	-6.46514	5.50979	-0.0105802	-5.49268	6.47887	0.00911058	-4.7539	5.52552	-0.00967877	-5.50846	4.76763	
0.525	0.0098806	-7.08597	5.50278	-0.0110418	-5.48564	7.0997	0.00931638	-5.37894	5.52023	-0.0100407	-5.50315	5.39267	
0.55	0.0100717	-7.66173	5.49569	-0.0115096	-5.47853	7.67546	0.00950772	-5.95899	5.51473	-0.010416	-5.49763	5.97273	
0.575	0.0102467	-8.18735	5.48874	-0.0119701	-5.47156	8.20108	0.00968284	-6.48886	5.50921	-0.0107923	-5.4921	6.50259	
0.6	0.0104036	-8.6578	5.48212	-0.0124096	-5.46492	8.67153	0.00983995	-6.96337	5.50387	-0.0111564	-5.48674	6.97711	
0	0.0104036	-8.6578	5.48212	-0.0124096	-5.46492	8.67153	0.00983995	-6.96337	5.50387	-0.0111564	-5.48674	6.97711	
0.025	0.0105233	-9.01591	5.47683	-0.0127618	-5.45961	9.02964	0.00995995	-7.32519	5.49953	-0.0114515	-5.48239	7.33892	
0.05	0.0106228	-9.31322	5.47226	-0.0130668	-5.45502	9.32695	0.0100606	-7.62836	5.49572	-0.0117112	-5.47856	7.64209	
0.075	0.0107037	-9.55426	5.46841	-0.0133245	-5.45116	9.568	0.0101442	-7.87973	5.49241	-0.0119363	-5.47524	7.89346	
0.1	0.010767	-9.74293	5.46528	-0.013535	-5.44802	9.75666	0.0102126	-8.08503	5.48957	-0.0121281	-5.4724	8.09876	
0.125	0.010814	-9.88281	5.46285	-0.0136994	-5.44558	9.89654	0.0102672	-8.24903	5.4872	-0.0122882	-5.47001	8.26277	
0.15	0.0108458	-9.97748	5.46109	-0.0138195	-5.44381	9.99122	0.0103094	-8.37574	5.48525	-0.0124183	-5.46806	8.38948	
0.175	0.0108637	-10.0307	5.45996	-0.0138977	-5.44269	10.0444	0.0103404	-8.46848	5.48371	-0.0125197	-5.46652	8.48222	
0.2	0.0108689	-10.0462	5.45942	-0.0139371	-5.44214	10.0599	0.0103609	-8.52997	5.48257	-0.0125936	-5.46537	8.54371	
0.225	0.0108628	-10.0281	5.45941	-0.0139409	-5.44214	10.0418	0.0103717	-8.56236	5.48181	-0.012641	-5.46461	8.5761	
0.25	0.0108467	-9.98012	5.45989	-0.0139124	-5.44262	9.99386	0.0103733	-8.56725	5.48143	-0.0126624	-5.46423	8.58098	
0.275	0.0108217	-9.90588	5.4608	-0.013855	-5.44353	9.91962	0.0103661	-8.54563	5.48142	-0.012658	-5.46423	8.55936	
0.3	0.0107889	-9.80824	5.46209	-0.0137712	-5.44483	9.82198	0.0103502	-8.49786	5.48181	-0.0126276	-5.46461	8.51159	
0.325	0.0107489	-9.68916	5.46375	-0.0136629	-5.4465	9.70289	0.0103254	-8.42361	5.48259	-0.0125705	-5.4654	8.43734	
0.35	0.010702	-9.54936	5.46576	-0.0135307	-5.44851	9.56309	0.0102914	-8.32177	5.48378	-0.0124858	-5.4666	8.3355	
0.375	0.0106479	-9.38805	5.46812	-0.0133744	-5.45088	9.40178	0.0102476	-8.19037	5.48541	-0.0123724	-5.46823	8.2041	
