Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.0166	0	0.9802	2.2001	0.0168	-0.0124	
0.052	0.0361	0.2141	1.0017	2.2003	0.0164	-0.0129	
0.086	-0.0015	0.1047	1.0129	2.2004	0.0168	-0.0141	
0.121	0.0405	-0.0579	0.9631	2.201	0.017	-0.0148	
0.156	0.0449	0.126	0.9768	2.201	0.0187	-0.0155	
0.19	0.0552	0.1592	0.9734	2.2008	0.0192	-0.0176	
0.225	0.0254	0.1465	0.9714	2.201	0.0192	-0.0203	
0.26	0.0564	0.1177	1.0029	2.201	0.0195	-0.021	
0.294	0.0159	0.0146	1.0315	2.2011	0.0193	-0.0192	
0.328	0.0435	0.156	0.9504	2.2014	0.0234	-0.0174	
0.363	-0.0027	0.105	1.0017	2.2015	0.0224	-0.0192	
0.398	0.0225	0.0835	1.0027	2.2017	0.0218	-0.0195	
0.433	0.043	0.0508	1.0273	2.2018	0.0197	-0.0178	
0.466	0.0334	0.0112	1.0042	2.202	0.0165	-0.0187	
0.509	0.0549	0.052	1.0085	2.2022	0.0166	-0.0166	
0.527	-0.0159	-0.0391	0.9993	2.2024	0.0126	-0.0152	
0.527	-0.0159	-0.0391	0.9993	2.2024	0.0126	-0.0152	
2.902	0.1926	-0.479	1.0193	2.2115	0.0254	-0.009	
2.945	0.0583	0.1003	0.8684	2.2106	0.0329	-0.0146	
2.971	-0.0735	-0.1851	0.9526	2.2099	0.0335	-0.0182	
2.997	0.0242	-0.4695	0.928	2.2098	0.0329	-0.0219	
3.023	0.0999	-0.0439	0.9089	2.2122	0.03	-0.024	
3.049	-0.0911	-0.6411	1.0842	2.2124	0.0196	-0.0248	
3.076	-0.0596	-0.6599	1.0659	2.2139	0.0185	-0.024	
3.101	-0.187	-0.0061	0.8379	2.215	0.021	-0.022	
3.119	0.2153	0.3472	1.1362	2.2145	0.0245	-0.0209	
3.144	0.0786	0.415	0.8289	2.2156	0.0301	-0.0225	
3.171	0.0732	0.2773	1.26	2.2165	0.0309	-0.0244	
3.196	-0.0562	-0.0398	1.1418	2.2158	0.0268	-0.0259	
3.222	0.0938	-0.676	0.9246	2.2164	0.0225	-0.0285	
3.249	0.0278	-0.2097	1.1226	2.2178	0.0143	-0.0291	
3.274	0.0649	-0.3425	0.9341	2.2191	0.0108	-0.0274	
3.3	-0.0928	-0.2454	0.8132	2.2216	0.0026	-0.0249	
3.325	-0.1023	0.1365	0.8386	2.2222	0.0032	-0.0224	
3.351	-0.0405	-0.3335	0.9304	2.2234	-0.0065	-0.0244	
3.368	0.0034	-0.4561	1.0557	2.2238	-0.0089	-0.0253	
3.394	0.0884	-0.053	1.0542	2.2241	-0.0138	-0.028	
3.421	-0.0166	-0.7312	0.8938	2.2258	-0.0163	-0.0283	
3.446	0.1726	-0.3784	0.8447	2.2265	-0.0167	-0.0282	
3.472	-0.0759	-0.436	0.8784	2.2277	-0.0161	-0.0255	
3.498	-0.0364	-0.5378	1.2083	2.2299	-0.0149	-0.0261	
3.524	-0.0146	-0.3115	1.0168	2.2292	-0.014	-0.0244	
