L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.71429	-42.3278	-0.0136757	-5.49451	-9.61758	11.1934	5.40659	-0.0153423	-5.41044	-11.3055	-710.16	158.71	-252.86	-782.79	554.14	-2.69	0	-129.12	
9.71429	-42.3278	-0.0136757	-5.49451	-9.61758	11.1934	5.40659	-0.0153423	-5.41044	-11.2176	-1038.34	156.02	-277.07	-809.69	583.73	96.84	0	-231.34	
9.71429	-42.3278	-0.0136757	-5.49451	-9.61758	11.1934	5.40659	-0.0153423	-5.41044	-11.2176	-1043.72	156.02	-279.76	-812.38	543.38	0	0	-115.67	
9.62637	-42.3278	-0.0136757	-5.49451	-9.61758	11.1055	5.40659	-0.0153423	-5.41044	-11.2176	-989.92	156.02	-279.76	-815.07	546.07	32.28	0	-112.98	
9.62637	-42.3278	-0.0136757	-5.49451	-9.61758	11.1055	5.40659	-0.0153423	-5.41044	-11.1297	-774.72	158.71	-279.76	-817.76	556.83	0	0	-145.26	
9.62637	-42.3278	-0.0136757	-5.49451	-9.61758	11.1055	5.40659	-0.0153423	-5.41044	-11.1297	-1086.76	153.33	-274.38	-989.92	470.75	0	0	-252.86	
9.53846	-42.3278	-0.0136757	-5.49451	-9.61758	11.0176	5.40659	-0.0153423	-5.41044	-11.2176	-702.09	156.02	-277.07	-1035.65	551.45	16.14	0	-188.3	
9.53846	-42.3278	-0.0136757	-5.49451	-9.52967	11.0176	5.40659	-0.0153423	-5.41044	-11.0418	-543.38	150.64	-271.69	-1127.11	548.76	26.9	0	-223.27	
9.45055	-42.3278	-0.0136757	-5.49451	-9.52967	10.9297	5.40659	-0.0153423	-5.41044	-10.9538	-691.33	147.95	-266.31	-1414.94	543.38	13.45	0	-131.81	
9.45055	-42.3278	-0.0136757	-5.49451	-9.44176	10.9297	5.40659	-0.0153423	-5.41044	-10.8659	-831.21	153.33	-271.69	-1170.15	527.24	0	0	-207.13	
9.36264	-42.3278	-0.0136757	-5.49451	-9.44176	10.8418	5.40659	-0.0153423	-5.41044	-10.8659	-667.12	147.95	-263.62	-1431.08	529.93	0	0	-118.36	
9.27473	-42.3278	-0.0136757	-5.49451	-9.44176	10.7538	5.40659	-0.0153423	-5.41044	-10.778	-1027.58	147.95	-269	-1016.82	521.86	0	13.45	-80.7	
9.18681	-42.3278	-0.0136757	-5.49451	-9.26593	10.6659	5.40659	-0.0153423	-5.41044	-10.6901	-1024.89	112.98	-263.62	-1374.59	489.58	0	0	34.97	
9.01099	-42.3278	-0.0136757	-5.49451	-9.09011	10.4901	5.40659	-0.0153423	-5.41044	-10.6022	-1027.58	147.95	-250.17	-1143.25	258.24	0	0	-118.36	
9.01099	-42.3278	-0.0136757	-5.49451	-8.91429	10.4022	5.49451	-0.0153423	-5.41044	-10.4264	-898.46	153.33	-231.34	-1145.94	325.49	2.69	0	-94.15	
8.83516	-42.3278	-0.0136757	-5.49451	-8.82637	10.2264	5.40659	-0.0153423	-5.41044	-10.2505	-616.01	153.33	-266.31	-1291.2	486.89	45.73	0	-225.96	
8.57143	-42.3278	-0.0136757	-5.49451	-8.65055	10.0505	5.40659	-0.0153423	-5.41044	-10.0747	-1089.45	153.33	-271.69	-1272.37	591.8	-2.69	0	-384.67	
8.3956	-42.3278	-0.0123614	-5.49451	-8.47473	9.87473	5.40659	-0.013985	-5.41044	-9.8989	-527.24	147.95	-260.93	-1374.59	381.98	0	0	13.45	
8.13187	-42.3278	-0.011992	-5.49451	-8.21099	9.61099	5.40659	-0.0134868	-5.41044	-9.63516	-1119.04	147.95	-263.62	-1334.24	239.41	0	51.11	-247.48	
7.78022	-42.3278	-0.0116656	-5.49451	-7.77143	9.25934	5.40659	-0.013126	-5.41044	-9.1956	-874.25	147.95	-260.93	-1468.74	605.25	0	64.56	-112.98	
7.42857	-42.3278	-0.0113821	-5.49451	-7.50769	8.90769	5.40659	-0.0128167	-5.41044	-8.93187	-995.3	150.64	-269	-1299.27	624.08	137.19	0	-134.5	
7.42857	-42.3278	-0.0114509	-5.49451	-7.41978	8.81978	5.40659	-0.0126277	-5.41044	-8.84396	-1129.8	147.95	-266.31	-1097.52	104.91	43.04	37.66	-102.22	
