Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.0037	-0.0166	0.9727	0.4229	0.018	-0.0093	
0.051	0.0132	-0.022	0.9827	0.423	0.0127	-0.0097	
0.085	-0.0081	0.0051	1.0571	0.4234	0.0079	-0.0092	
0.12	0.0322	0.0239	1.0149	0.4233	0.0146	-0.012	
0.162	-0.0054	0.1245	1.0173	0.4241	0.0127	-0.0108	
0.197	-0.0002	-0.0691	1.0103	0.4235	0.0106	-0.0094	
0.231	0.0107	0.1003	1.0203	0.4245	0.015	-0.0068	
0.264	0.0039	-0.0015	0.9763	0.424	0.0136	-0.0066	
0.299	0.0115	-0.0027	1.0449	0.4248	0.0103	-0.006	
0.333	0.0076	0.031	0.9265	0.4244	0.0134	-0.0068	
0.376	0.0178	0.0425	0.9934	0.4251	0.0118	-0.0116	
0.41	0.03	0.0229	1.0134	0.4248	0.0167	-0.0165	
0.444	0.0166	0.0405	0.9873	0.4253	0.0153	-0.0204	
0.478	0.0107	0.0308	1.0049	0.4254	0.0222	-0.0188	
0.52	0.0085	0.0027	0.9983	0.4258	0.0148	-0.0161	
0.546	0.0139	0.0305	1.0168	0.426	0.0191	-0.0131	
0.546	0.0139	0.0305	1.0168	0.426	0.0191	-0.0131	
2.91	0.0913	0.0857	0.6567	0.4372	0.0247	-0.0241	
2.944	0.0085	0.3325	1.5127	0.4386	0.0314	-0.0243	
2.97	-0.0769	0.0364	1.7588	0.4362	0.0314	-0.0241	
2.995	-0.0271	0.5632	1.9282	0.4343	0.0367	-0.0277	
3.021	-0.0571	0.1531	1.3599	0.4357	0.0377	-0.0279	
3.047	0.1011	0.23	1.8171	0.4352	0.0353	-0.031	
3.072	-0.2383	-0.6873	2.7932	0.435	0.0356	-0.0296	
3.098	0.0095	-0.2014	2.4053	0.4361	0.038	-0.0354	
3.122	-0.0354	0.3167	2.6499	0.4362	0.0415	-0.0356	
3.148	0.1646	0.3923	1.7986	0.4367	0.0442	-0.0387	
3.174	-0.0493	0.0129	2.1292	0.4376	0.0401	-0.0376	
3.199	-0.1975	-0.3618	1.7415	0.4372	0.0374	-0.0349	
3.225	-0.0654	-0.2424	1.1743	0.439	0.0367	-0.0338	
3.25	0.1567	-0.1436	1.1672	0.4391	0.0298	-0.0338	
3.276	0.1248	-0.3892	0.8186	0.4397	0.0207	-0.0357	
3.293	-0.1404	0.064	1.4192	0.4403	0.0222	-0.0348	
3.319	0.0869	0.0479	0.9473	0.4395	0.0208	-0.0396	
3.345	0.0723	0.0442	1.0815	0.4412	0.0149	-0.041	
3.37	-0.0405	0.0085	1.0234	0.4421	0.011	-0.0373	
3.396	0.03	-0.0125	0.7615	0.443	0.0093	-0.0359	
3.421	0.2114	0.0896	0.4692	0.4432	0.0104	-0.0358	
3.447	-0.0188	0.0737	0.7129	0.4441	0.013	-0.0308	
3.473	0.0684	-0.0183	0.3254	0.4449	0.0146	-0.0314	
3.498	0.0178	0.3154	0.6074	0.4457	0.0147	-0.0307	
3.524	-0.3416	-0.2847	1.4719	0.4464	0.0086	-0.0291	
3.549	-0.0156	-0.0874	0.4214	0.4461	0.0085	-0.0307	
3.575	-0.0024	0.3372	0.791	0.446	0.0064	-0.0301	
3.601	-0.1189	-0.0081	1.2778	0.4474	0.0022	-0.0287	
3.626	-0.1216	0.3015	0.7522	0.4477	0.0047	-0.0277	
3.651	0.0171	-0.0247	0.8203	0.4489	-0.009	-0.026	
3.676	0.0273	-0.0464	0.7141	0.4539	-0.021	-0.0299	
3.702	0.0974	0.0085	0.6091	0.4535	-0.0282	-0.0337	
3.719	-0.0488	-0.2588	0.6177	0.4549	-0.033	-0.0332	
3.745	0.0405	-0.4319	0.7446	0.4546	-0.0304	-0.0309	
3.771	0.1316	-0.2251	0.6118	0.4558	-0.0221	-0.0276	
3.796	0.0256	0.3059	0.6379	0.4564	-0.011	-0.0263	
3.822	0.1296	-0.0479	0.8	0.4548	-0.0084	-0.0308	
3.847	0.0935	-0.084	0.814	0.4545	-0.0088	-0.0309	
3.873	0.0156	0.251	0.7996	0.4549	-0.0001	-0.0286	
3.899	-0.0781	0.0701	1.6208	0.4544	0.0018	-0.0273	
3.924	-0.3279	-0.0142	1.7888	0.4545	0.0011	-0.0258	
3.95	-0.001	0.1343	0.7222	0.456	-0.0044	-0.0236	
3.975	0.053	0.2871	1.0706	0.4565	-0.0077	-0.0235	
4.001	0.05	-0.1108	0.5557	0.457	-0.0175	-0.0236	
4.027	0.0791	-0.156	1.05	0.4587	-0.0227	-0.025	
4.044	-0.3062	-0.2705	1.7393	0.4592	-0.023	-0.026	
4.07	-0.1082	0.0527	1.5093	0.4603	-0.0226	-0.0292	
4.095	-0.0608	-0.075	1.3013	0.4589	-0.0233	-0.0305	
4.121	0.1094	-0.1824	1.2297	0.4592	-0.0239	-0.0356	
4.146	-0.2756	-0.3188	1.9253	0.46	-0.0229	-0.0371	
4.171	-0.0664	-0.2498	1.1621	0.4593	-0.0221	-0.037	
4.197	-0.002	-0.0239	1.9373	0.459	-0.0137	-0.0414	
4.222	-0.0742	0.3301	1.7632	0.4595	-0.0061	-0.0393	
4.247	0.0645	0.2351	1.3975	0.4564	-0.0066	-0.0382	
4.272	-0.1589	-0.49	1.8076	0.4545	-0.0107	-0.0324	
4.298	-0.1145	-0.4451	2.0229	0.4574	-0.0172	-0.0297	
4.324	-0.0627	-0.4141	2.1433	0.4587	-0.0187	-0.0275	
4.349	-0.0181	-0.0813	1.5952	0.4591	-0.0212	-0.0207	
4.376	-0.0439	0.0713	1.0781	0.4584	-0.0193	-0.0168	
4.401	0.093	-0.0793	0.9604	0.4577	-0.0228	-0.0207	
4.427	0.1233	0.0708	1.2695	0.4565	-0.0191	-0.0246	
4.453	0.0413	0.1458	0.8745	0.4568	-0.0103	-0.0248	
4.469	0.0459	0.2002	0.8428	0.4564	-0.0065	-0.025	
4.495	0.1296	0.0376	1.0913	0.455	-0.0032	-0.0294	
4.52	-0.0156	-0.0354	0.8596	0.4545	-0.0013	-0.0242	
4.547	0.1135	0.0916	0.2468	0.454	0.0011	-0.025	
4.572	0.1812	0.0237	0.3357	0.4536	0.0012	-0.027	
4.598	0.0339	-0.2388	0.5432	0.4528	-0.0007	-0.0269	
4.624	0.0649	-0.0129	0.3198	0.452	-0.0039	-0.0278	
4.649	0.0725	0.2251	0.4016	0.4503	-0.0049	-0.0305	
4.674	-0.0886	0.0784	1.1643	0.4527	-0.0032	-0.0322	
4.699	-0.1597	-0.0232	1.0146	0.4521	-0.0042	-0.0333	
4.725	-0.0195	0.0093	0.5039	0.4521	-0.0055	-0.0334	
4.751	-0.0432	0.0964	1.052	0.4522	-0.0002	-0.0329	
4.776	-0.0447	0.2346	0.9224	0.4535	0.0117	-0.0346	
4.802	0.0603	0.1853	1.269	0.4525	0.0211	-0.034	
4.827	-0.021	0.3245	0.9333	0.4518	0.0299	-0.0326	
4.853	-0.0752	0.5627	1.7917	0.4519	0.0371	-0.0359	
4.869	-0.0029	-0.0786	0.9355	0.4501	0.0321	-0.0357	
4.895	-0.1208	-0.1826	1.4121	0.4512	0.028	-0.0323	
4.92	0.2686	-0.0486	0.197	0.4449	0.0096	-0.0354	
4.946	0.1226	-0.0266	1.2097	0.4433	-0.0137	-0.0365	
4.973	-0.3494	0.5693	3.3438	0.4448	-0.0374	-0.033	
4.998	-0.0576	-0.448	0.0417	0.4493	-0.0535	-0.0274	
5.024	-0.1406	-0.5906	0.8618	0.4509	-0.0644	-0.0241	
5.05	0.1125	-0.2258	1.1133	0.4526	-0.0712	-0.0187	
5.075	0.2249	-0.2556	-0.8254	0.4562	-0.0773	-0.0107	
5.102	0.0117	0.3562	0.0896	0.4572	-0.0609	-0.0074	
5.127	0.2207	1.0186	0.2236	0.4571	-0.0727	-0.0074	
5.153	0.9888	0.5603	-3.2737	0.4583	-0.0611	-0.0073	
5.17	-0.7944	-1.2476	1.0637	0.4545	-0.0868	-0.0141	
5.196	0.2102	-1.8643	2.7729	0.4494	-0.1221	-0.0301	
5.222	0.168	-0.4758	0.3398	0.4423	-0.1232	-0.0437	
5.247	-0.0867	0.436	1.3708	0.432	-0.113	-0.0539	
5.272	-0.103	-1.6284	1.5073	0.4317	-0.0932	-0.0453	
5.297	0.0315	-0.1482	-0.176	0.4423	-0.0558	-0.0333	
5.323	0.2419	1.9624	0.8379	0.4421	0.0137	-0.044	
5.349	0.0322	0.6121	1.082	0.4415	0.0497	-0.0493	
5.374	0.1013	0.364	0.8899	0.4431	0.096	-0.0496	
5.399	0.146	0.5847	0.8455	0.4425	0.127	-0.0496	
5.424	-0.05	0.2842	1.6255	0.4412	0.148	-0.0462	
5.45	0.1631	0.4297	1.1375	0.4419	0.1596	-0.0437	
5.476	-0.0823	0.2849	1.7148	0.444	0.1606	-0.0395	
5.501	0.0713	0.2402	1.4316	0.4453	0.1559	-0.0379	
5.527	0.2126	0.4441	1.0322	0.4444	0.1469	-0.0328	
5.552	0.0918	0.3772	1.0359	0.4455	0.1431	-0.0265	
5.578	-0.1575	0.4495	1.311	0.4501	0.139	-0.0198	
5.595	-0.0562	0.363	0.9487	0.4515	0.1345	-0.0164	
5.621	-0.176	0.4004	1.2793	0.4522	0.1148	-0.0089	
5.647	-0.114	0.1177	0.6179	0.4517	0.0817	-0.003	
5.672	-0.1653	0.033	0.8027	0.451	0.0283	0.0013	
5.698	-0.2209	-2.075	1.7231	0.4398	-0.0481	-0.0059	
5.723	0.1196	-1.5623	1.5244	0.4334	-0.1244	-0.0275	
5.749	-0.0107	-0.3813	0.1189	0.4393	-0.1804	-0.0259	
5.775	-0.1523	-0.7029	0.4692	0.4368	-0.2148	-0.0321	
5.8	0.2129	-0.9648	1.2292	0.4368	-0.2305	-0.0452	
5.826	0.1548	-0.3789	0.6377	0.4375	-0.2206	-0.0517	
5.851	0.2178	-0.4133	0.5408	0.4365	-0.1939	-0.0555	
5.877	0.1062	-0.4851	0.8716	0.4411	-0.1541	-0.0563	
5.903	0.1042	0.0283	0.9624	0.4457	-0.0957	-0.0579	
5.927	0.2246	-0.1133	2.0051	0.4488	-0.0355	-0.0543	
5.953	0.1663	-0.2664	0.4792	0.4516	0.0145	-0.0472	
5.977	0.145	0.6221	0.8555	0.451	0.0494	-0.0382	
6.003	-0.2913	0.6914	1.3279	0.4544	0.0633	-0.0224	
6.028	-0.1504	0.7825	1.5513	0.4563	0.0533	-0.0065	
6.054	0.1306	0.0137	-0.4639	0.4534	0.0237	0.0004	
6.071	-0.2314	-0.1843	1.2734	0.4522	0.0069	0.0058	
