Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.0073	0.0054	0.9802	0.7909	0.0195	-0.0105	
0.052	-0.0134	-0.0544	1.064	0.7908	0.0185	-0.0079	
0.086	-0.0652	-0.0879	1.1526	0.7915	0.0124	-0.0082	
0.12	0.0247	0.0623	1.0061	0.7916	0.0153	-0.0059	
0.154	0.002	-0.0034	1.03	0.7916	0.0095	-0.0083	
0.197	0.0315	0.0378	0.9878	0.7917	0.0121	-0.0125	
0.231	-0.0032	0.0027	0.9812	0.7922	0.0109	-0.0074	
0.266	0.0068	0.0522	1.063	0.7925	0.0173	-0.0092	
0.299	-0.136	-0.0559	1.3086	0.7924	0.0169	-0.0069	
0.334	0.011	0.0103	1.0957	0.793	0.0144	-0.0096	
0.376	0.0042	-0.0107	0.9773	0.793	0.0116	-0.0092	
0.411	0.0059	0.0403	1.0029	0.7934	0.008	-0.009	
0.445	0.01	0.0354	0.9814	0.7936	0.0112	-0.0088	
0.479	-0.0027	0.0769	1.0593	0.7936	0.0126	-0.0081	
0.513	0.0264	0.0249	0.9836	0.7936	0.016	-0.01	
0.539	-0.0024	-0.0532	1.0295	0.7938	0.0142	-0.0103	
0.539	-0.0024	-0.0532	1.0295	0.7938	0.0142	-0.0103	
2.912	0.105	-0.1016	0.29	0.8051	0.0162	-0.0121	
2.945	-0.1736	0.0728	2.2693	0.8057	0.0197	-0.0109	
2.971	-0.041	-0.1135	1.6865	0.805	0.0199	-0.0123	
2.997	-0.0789	0.3853	1.7522	0.8062	0.026	-0.0161	
3.021	0.2329	0.2646	0.8374	0.8065	0.027	-0.0203	
3.047	0.1609	0.1729	1.2334	0.8069	0.0235	-0.0226	
3.072	-0.2634	-0.3469	1.8145	0.8048	0.0171	-0.0201	
3.098	0.1052	0.2883	1.2598	0.8066	0.0257	-0.0251	
3.124	0.1619	0.2837	1.5205	0.8068	0.0323	-0.0299	
3.149	-0.1338	0.2512	2.179	0.8057	0.0347	-0.0311	
3.175	0.0945	0.436	1.7878	0.8051	0.0315	-0.0322	
3.2	-0.1924	0.1914	2.165	0.8041	0.0292	-0.0297	
3.226	0.0093	0.4917	1.4431	0.8035	0.0343	-0.03	
3.252	0.1311	0.2451	1.0911	0.8024	0.0308	-0.0316	
3.277	0.0139	-0.0261	1.1353	0.8026	0.0251	-0.0302	
3.303	0.0627	-0.0034	0.6523	0.8036	0.0209	-0.03	
3.328	0.041	-0.2263	1.1309	0.8043	0.0086	-0.0304	
3.346	0.04	-0.1726	1.147	0.8055	0.0044	-0.0317	
3.371	0.0217	0.093	0.698	0.8063	0.0031	-0.0309	
3.397	0.0474	0.21	0.7839	0.807	0.0012	-0.0309	
3.423	0.0132	-0.1672	0.7925	0.8081	-0.0016	-0.0312	
3.448	0.0776	-0.0056	0.4595	0.809	-0.0053	-0.0336	
3.474	0.0066	-0.0977	0.5803	0.812	-0.0086	-0.0328	
3.499	0.0203	0.219	0.6333	0.8125	-0.004	-0.0319	
