L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.80055	5.40659	-0.00224207	-5.31868	-9.71429	11.2813	5.23077	-0.0040718	-5.20879	-11.4176	-637.53	164.09	-336.25	-807	659.05	78.01	-102.22	-147.95	
9.80055	5.40659	-0.00224207	-5.31868	-9.71429	11.2813	5.23077	-0.0040718	-5.20879	-11.3297	-634.84	204.44	-349.7	-809.69	640.22	102.22	-91.46	-96.84	
9.80055	5.40659	-0.00224207	-5.31868	-9.71429	11.2813	5.23077	-0.0040718	-5.20879	-11.3297	-876.94	164.09	-314.73	-801.62	645.6	78.01	-137.19	-126.43	
9.80055	5.40659	-0.00224207	-5.31868	-9.71429	11.1934	5.23077	-0.0040718	-5.20879	-11.3297	-728.99	164.09	-314.73	-804.31	699.4	51.11	-112.98	-96.84	
9.71264	5.40659	-0.00224207	-5.31868	-9.71429	11.2813	5.23077	-0.0040718	-5.20879	-11.4176	-785.48	161.4	-320.11	-850.04	731.68	43.04	-88.77	-177.54	
9.71264	5.40659	-0.00224207	-5.31868	-9.71429	11.1934	5.23077	-0.0040718	-5.20879	-11.2418	-997.99	161.4	-357.77	-968.4	626.77	26.9	-134.5	-94.15	
9.62473	5.40659	-0.00224207	-5.31868	-9.62637	11.1934	5.23077	-0.0040718	-5.20879	-11.2418	-957.64	158.71	-309.35	-938.81	653.67	99.53	-99.53	-201.75	
9.71264	5.40659	-0.00224207	-5.31868	-9.71429	11.1055	5.23077	-0.0040718	-5.20879	-11.1538	-715.54	158.71	-303.97	-1097.52	667.12	69.94	-91.46	-231.34	
9.62473	5.40659	-0.00224207	-5.31868	-9.62637	11.1055	5.23077	-0.0040718	-5.20879	-11.2418	-858.11	156.02	-301.28	-1108.28	632.15	-10.76	-94.15	-80.7	
9.62473	5.40659	-0.00224207	-5.31868	-9.53846	11.1055	5.31868	-0.0040718	-5.20879	-11.1538	-650.98	150.64	-295.9	-1334.24	648.29	118.36	-96.84	-110.29	
9.4489	5.40659	-0.00224207	-5.31868	-9.45055	11.0176	5.31868	-0.0040718	-5.20879	-11.0659	-745.13	153.33	-295.9	-1323.48	906.53	88.77	-88.77	-91.46	
9.36099	5.40659	-0.00224207	-5.31868	-9.36264	10.9297	5.31868	-0.0040718	-5.20879	-10.978	-1398.8	150.64	-306.66	-1320.79	618.7	45.73	-83.39	8.07	
9.27308	5.40659	-0.00224207	-5.31868	-9.27473	10.8418	5.31868	-0.0040718	-5.20879	-10.8901	-1008.75	156.02	-352.39	-1261.61	1078.69	8.07	-45.73	-64.56	
9.18516	5.40659	-0.00224207	-5.31868	-9.27473	10.6659	5.31868	-0.0040718	-5.20879	-10.7143	-476.13	147.95	-497.65	-1406.87	247.48	40.35	-99.53	-180.23	
9.09725	5.40659	-0.00224207	-5.31868	-9.0989	10.578	5.31868	-0.0040718	-5.20879	-10.7143	-957.64	145.26	-500.34	-1490.26	659.05	24.21	-96.84	-56.49	
8.92143	5.40659	-0.00224207	-5.31868	-8.92308	10.4022	5.31868	-0.0040718	-5.20879	-10.4505	-971.09	156.02	-516.48	-1388.04	605.25	18.83	-80.7	-196.37	
8.65769	5.40659	-0.00224207	-5.31868	-8.74725	10.1385	5.31868	-0.0040718	-5.20879	-10.2747	-965.71	161.4	-505.72	-1535.99	422.33	107.6	-123.74	-53.8	
8.48187	5.40659	-0.000824668	-5.31868	-8.48352	10.0505	5.31868	-0.00245682	-5.20879	-10.011	-944.19	147.95	-492.27	-1560.2	527.24	91.46	-88.77	-40.35	
8.21813	5.40659	-0.00057555	-5.31868	-8.13187	9.6989	5.31868	-0.00219911	-5.2967	-9.74725	-1032.96	145.26	-497.65	-1369.21	352.39	18.83	-67.25	-317.42	
7.86648	5.40659	-0.000317841	-5.31868	-7.95604	9.34725	5.31868	-0.00190704	-5.2967	-9.30769	-739.75	145.26	-494.96	-1377.28	626.77	48.42	-78.01	-112.98	
7.51484	5.40659	-8.59029e-06	-5.31868	-7.6044	8.9956	5.31868	-0.00153766	-5.2967	-9.04396	-949.57	177.54	-511.1	-1285.82	809.69	110.29	-94.15	-147.95	
7.51484	5.40659	-5.15418e-05	-5.31868	-7.51648	8.90769	5.31868	-0.00146035	-5.2967	-8.95604	-957.64	150.64	-476.13	-1076	602.56	121.05	-107.6	-10.76	
7.07527	5.40659	0.000154625	-5.40659	-6.98901	8.46813	5.31868	-0.00111674	-5.2967	-8.51648	-984.54	153.33	-433.09	-1283.13	338.94	107.6	-91.46	-252.86	
6.63571	5.40659	0.000635682	-5.31868	-6.63736	8.2044	5.31868	-0.00059273	-5.2967	-8.16484	-1116.35	153.33	-492.27	-1199.74	505.72	110.29	-112.98	-215.2	
6.10824	5.40659	0.000962113	-5.31868	-6.02198	7.58901	5.31868	-0.000249118	-5.2967	-7.63736	-992.61	147.95	-403.5	-1339.62	352.39	107.6	-88.77	-169.47	
5.49286	5.40659	0.00140022	-5.40659	-5.40659	6.88571	5.31868	0.000197577	-5.2967	-6.93407	-903.84	174.85	-376.6	-1517.16	392.74	43.04	-121.05	-142.57	
4.87747	5.49451	0.0017696	-5.31868	-4.79121	6.35824	5.23077	0.000652862	-5.2967	-6.40659	-866.18	123.74	-422.33	-1264.3	110.29	24.21	-96.84	0	
4.17418	5.49451	0.00207026	-5.40659	-4.26374	5.65495	5.31868	0.0010652	-5.2967	-5.79121	-965.71	96.84	-457.3	-1151.32	416.95	56.49	-88.77	-112.98	
3.47088	5.49451	0.00237092	-5.40659	-3.47253	4.95165	5.23077	0.00147753	-5.2967	-5	-535.31	139.88	-476.13	-1084.07	427.71	158.71	-80.7	91.46	
2.67967	5.40659	0.00257709	-5.40659	-2.59341	4.24835	5.23077	0.00187268	-5.2967	-4.20879	-422.33	91.46	-392.74	-1145.94	312.04	199.06	-99.53	110.29	
1.97637	5.49451	0.00268876	-5.40659	-1.89011	3.45714	5.31868	0.00223348	-5.2967	-3.41758	-785.48	80.7	-387.36	-1027.58	400.81	110.29	-94.15	-86.08	
1.18516	5.49451	0.00275748	-5.31868	-1.01099	2.75385	5.40659	0.00252555	-5.2967	-2.62637	-664.43	156.02	-411.57	-1019.51	309.35	209.82	-126.43	-40.35	
0.306044	5.49451	0.00281762	-5.40659	-0.21978	2.05055	5.40659	0.00276607	-5.2967	-1.92308	-554.14	166.78	-387.36	-578.35	416.95	80.7	61.87	250.17	
