L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.71264	7.69231	-0.00236233	-5.58242	-9.53846	11.3692	5.31868	-0.00403744	-5.2967	-11.3297	-8.07	-5.38	91.46	0	107.6	-1014.13	-5.38	10.76	
9.71264	7.69231	-0.00236233	-5.58242	-9.53846	11.3692	5.31868	-0.00402885	-5.2967	-11.2418	-8.07	-5.38	102.22	0	228.65	-1008.75	-5.38	0	
9.71264	7.69231	-0.00236233	-5.58242	-9.53846	11.3692	5.31868	-0.00402885	-5.2967	-11.2418	64.56	-5.38	99.53	0	290.52	-1030.27	-5.38	0	
9.62473	7.69231	-0.00235374	-5.67033	-9.53846	11.3692	5.31868	-0.00402885	-5.2967	-11.2418	-8.07	-5.38	72.63	0	161.4	-1006.06	-5.38	0	
9.62473	7.69231	-0.00235374	-5.58242	-9.53846	11.3692	5.31868	-0.00402885	-5.2967	-11.2418	-121.05	-5.38	102.22	0	201.75	-1019.51	-5.38	0	
9.62473	7.69231	-0.00235374	-5.58242	-9.53846	11.3692	5.31868	-0.00402026	-5.2967	-11.2418	13.45	-5.38	94.15	0	416.95	-1049.1	-5.38	0	
9.53681	7.69231	-0.00234515	-5.58242	-9.53846	11.2813	5.31868	-0.00402026	-5.2967	-11.2418	-29.59	-5.38	86.08	0	107.6	-1014.13	-5.38	0	
9.53681	7.69231	-0.00234515	-5.58242	-9.53846	11.1934	5.31868	-0.00402026	-5.2967	-11.2418	-18.83	-5.38	86.08	0	306.66	-1016.82	-5.38	0	
9.4489	7.78022	-0.00234515	-5.67033	-9.45055	11.1934	5.31868	-0.00402026	-5.2967	-11.2418	-26.9	-5.38	107.6	-2.69	158.71	-823.14	-5.38	0	
9.4489	7.69231	-0.00234515	-5.67033	-9.45055	11.1934	5.31868	-0.00402026	-5.2967	-11.1538	5.38	-5.38	99.53	0	215.2	-809.69	-5.38	2.69	
9.36099	7.69231	-0.00234515	-5.58242	-9.36264	11.1055	5.31868	-0.00402026	-5.2967	-11.1538	29.59	-5.38	75.32	-10.76	201.75	-798.93	-5.38	13.45	
9.27308	7.78022	-0.00234515	-5.58242	-9.27473	11.0176	5.31868	-0.00402026	-5.2967	-10.978	-115.67	-5.38	99.53	-5.38	220.58	-801.62	-2.69	13.45	
