Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.9583	-0.0767	-0.1836	2.0174	-2.7573	-1.3693	
0.053	0.9409	-0.0664	-0.1533	2.0195	-2.7594	-1.3666	
0.087	0.9592	-0.0754	-0.1816	2.0113	-2.7515	-1.3682	
0.122	0.9653	-0.0686	-0.1992	2.0217	-2.7622	-1.3666	
0.157	0.9585	-0.0742	-0.2014	2.0215	-2.7622	-1.3693	
0.192	0.9856	-0.0925	-0.1746	2.0144	-2.7548	-1.3686	
0.227	0.9678	-0.0708	-0.1936	2.0079	-2.7483	-1.3674	
0.261	0.9587	-0.0698	-0.1868	2.0167	-2.7575	-1.3657	
0.296	0.9609	-0.0823	-0.1738	2.0069	-2.7475	-1.3675	
0.331	0.9597	-0.0789	-0.1697	2.006	-2.7469	-1.3709	
0.366	0.958	-0.0696	-0.1912	2.0103	-2.7515	-1.3735	
0.401	0.9507	-0.0713	-0.1826	2.0117	-2.7529	-1.3694	
0.436	0.9585	-0.0757	-0.157	2.0176	-2.7593	-1.3742	
0.47	0.9587	-0.0647	-0.1831	2.0181	-2.7599	-1.3744	
0.505	0.9575	-0.0762	-0.1873	2.0221	-2.764	-1.3701	
0.531	0.9749	-0.0786	-0.1729	2.0119	-2.7538	-1.3734	
0.531	0.9749	-0.0786	-0.1729	2.0119	-2.7538	-1.3734	
2.905	0.9783	-0.0562	-0.1904	1.9999	-2.7483	-1.374	
2.948	0.9485	-0.0508	-0.0798	1.9907	-2.7402	-1.3749	
2.975	0.9424	-0.0696	-0.0652	1.9948	-2.744	-1.3771	
3.001	0.988	0.0034	-0.1841	2.0121	-2.76	-1.3781	
3.026	1.012	-0.0876	-0.1831	2.0048	-2.7545	-1.3783	
3.052	0.9736	-0.0581	-0.4568	2.0173	-2.7644	-1.377	
3.077	1.0073	0.0181	-0.2935	2.0403	-2.7849	-1.3771	
3.095	0.9351	-0.1003	-0.1248	2.0429	-2.7869	-1.3772	
3.12	0.8735	-0.1028	-0.0725	2.0619	-2.8033	-1.3764	
3.147	1.019	-0.0566	-0.1697	2.0813	-2.8197	-1.3785	
3.173	0.9695	-0.0249	-0.0237	2.0988	-2.8358	-1.3823	
3.199	0.8789	-0.0154	0.2498	2.0998	-2.8362	-1.3818	
3.225	0.8882	-0.064	-0.0903	2.1104	-2.8465	-1.383	
3.251	0.7695	-0.3628	-0.231	2.1013	-2.8345	-1.3813	
3.277	1.04	-0.0698	-0.3674	2.1121	-2.839	-1.3771	
3.303	0.9585	-0.1167	-0.321	2.1136	-2.8358	-1.3778	
3.32	0.991	0.0313	-0.0332	2.1289	-2.8484	-1.379	
3.347	0.9988	-0.0718	-0.2554	2.1459	-2.8618	-1.3772	
3.372	0.9346	-0.1865	-0.2815	2.131	-2.8428	-1.3747	
3.399	0.9678	0.0449	-0.2166	2.1422	-2.8498	-1.3766	
3.425	0.9299	-0.1077	-0.1279	2.1429	-2.849	-1.3772	
3.451	1.0017	-0.104	-0.2993	2.1351	-2.8392	-1.3759	
3.477	0.96	-0.1113	-0.2185	2.1289	-2.8307	-1.3741	
3.503	0.9155	-0.0142	-0.0947	2.1355	-2.8347	-1.3753	
3.529	0.9202	-0.0254	-0.0605	2.1374	-2.8361	-1.3766	
3.546	1.145	-0.0273	-0.2136	2.158	-2.8556	-1.3771	
3.572	1.1394	-0.0244	-0.4395	2.1698	-2.8661	-1.3772	
3.598	1.1143	-0.0039	-0.4497	2.1643	-2.859	-1.3751	
3.623	1.1184	-0.0254	-0.3447	2.1673	-2.8618	-1.3741	
3.65	0.9082	-0.0696	-0.1104	2.1513	-2.8461	-1.3769	
3.676	1.0042	-0.0525	-0.2612	2.1294	-2.8227	-1.375	
3.701	0.9578	-0.0369	-0.0754	2.1336	-2.8273	-1.3786	
3.728	0.9453	-0.0457	-0.199	2.1352	-2.8292	-1.377	
3.753	0.9121	-0.1226	-0.28	2.1404	-2.8338	-1.373	
3.771	1.022	-0.0518	-0.1653	2.1497	-2.8426	-1.3734	
3.796	1.0242	-0.0674	-0.2229	2.1381	-2.8304	-1.3703	
3.823	0.9885	-0.0552	-0.2214	2.15	-2.8425	-1.3714	
3.849	0.9663	0.0046	-0.1841	2.1567	-2.8497	-1.3713	
3.875	0.9922	-0.0581	-0.1479	2.1493	-2.8423	-1.3718	
3.901	0.9648	-0.0479	-0.1267	2.1563	-2.8495	-1.3761	
3.927	0.9658	-0.0632	-0.1711	2.1422	-2.8357	-1.379	
3.953	0.938	-0.0601	-0.2239	2.1278	-2.8213	-1.3786	
3.97	0.9375	-0.0178	-0.2146	2.1389	-2.833	-1.3766	
3.997	0.9392	0.0613	-0.0972	2.1429	-2.838	-1.3775	
4.023	0.9475	-0.011	-0.1663	2.1391	-2.8351	-1.3774	
4.049	0.9937	-0.0325	-0.1694	2.1298	-2.8265	-1.3779	
4.075	0.9446	0.0144	-0.2693	2.1314	-2.8286	-1.3739	
4.1	0.9487	-0.0378	-0.2244	2.1244	-2.8222	-1.3715	
4.127	0.9993	0.0071	-0.2295	2.1223	-2.8211	-1.3703	
4.153	1.0886	-0.0479	-0.1919	2.1034	-2.8044	-1.3721	
4.178	0.9912	-0.019	-0.2102	2.122	-2.8231	-1.3733	
