time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0	0.00503408	9.17266	5.49393	-0.0170022	-5.47478	-9.1574	0.00503412	9.17256	5.50061	-0.0166187	-5.48146	-9.1573	
0.025	0.00504245	9.15018	5.4986	-0.016594	-5.47945	-9.13492	0.00506325	9.09427	5.52529	-0.0150698	-5.50615	-9.07901	
0.05	0.00506867	9.07971	5.50522	-0.0159958	-5.48608	-9.06445	0.00517707	8.78812	5.56454	-0.0126395	-5.54542	-8.77286	
0.075	0.00512487	8.92858	5.51232	-0.0153202	-5.49319	-8.91332	0.00544196	8.07378	5.61452	-0.00960246	-5.59543	-8.05852	
0.1	0.0052184	8.6768	5.51825	-0.014703	-5.49913	-8.66154	0.00589948	6.83442	5.66811	-0.00641679	-5.64908	-6.81916	
0.125	0.00534431	8.33733	5.52175	-0.0142705	-5.50265	-8.32207	0.00652217	5.13803	5.71482	-0.00370171	-5.69585	-5.12277	
0.15	0.0054825	7.96413	5.52247	-0.0140922	-5.50339	-7.94887	0.00719528	3.29465	5.74439	-0.002021	-5.72547	-3.27939	
0.175	0.00560592	7.63025	5.52091	-0.0141565	-5.50185	-7.61499	0.00776472	1.72986	5.7523	-0.00159411	-5.7334	-1.7146	
0.2	0.00569751	7.38216	5.51775	-0.0144119	-5.49869	-7.3669	0.00813374	0.714262	5.74055	-0.00228891	-5.72166	-0.699003	
0.225	0.00576039	7.21167	5.51323	-0.0148222	-5.49418	-7.19641	0.00831773	0.207564	5.71344	-0.00386981	-5.69456	-0.192304	
0.25	0.00581013	7.0767	5.50747	-0.0153611	-5.48843	-7.06144	0.00839986	-0.0187842	5.67538	-0.00610666	-5.6565	0.0340436	
0.275	0.00586006	6.94115	5.50097	-0.0159738	-5.48193	-6.92589	0.00845107	-0.160063	5.63172	-0.00870857	-5.61283	0.175322	
0.3	0.00591596	6.7893	5.4947	-0.0165692	-5.47568	-6.77404	0.00850195	-0.300428	5.5888	-0.0113046	-5.56991	0.315687	
0.325	0.00597948	6.61668	5.48985	-0.0170446	-5.47083	-6.60142	0.00856035	-0.461456	5.55289	-0.013506	-5.534	0.476715	
0.35	0.00605155	6.42063	5.48729	-0.0173109	-5.46827	-6.40537	0.00776587	-0.650657	5.5284	-0.0149831	-5.5114	0.66439	
0.375	0.0061334	6.19785	5.48803	-0.017306	-5.46902	-6.18259	0.00783834	-0.87242	5.51986	-0.0155073	-5.50286	0.886154	
0.4	0.0062273	5.94205	5.49063	-0.0171474	-5.47163	-5.92679	0.00792297	-1.13127	5.51946	-0.0155226	-5.50246	1.145	
0.425	0.00633338	5.65282	5.49344	-0.0169769	-5.47445	-5.63756	0.00801855	-1.42357	5.51887	-0.0155488	-5.50186	1.4373	
0.45	0.00645005	5.33436	5.49637	-0.0168	-5.4774	-5.3191	0.00812367	-1.74496	5.51806	-0.0155883	-5.50105	1.75869	
0.475	0.00657565	4.99119	5.49935	-0.0166222	-5.48039	-4.97593	0.00823681	-2.09075	5.517	-0.0156434	-5.49999	2.10449	
0.5	0.00670838	4.62818	5.5023	-0.0164483	-5.48334	-4.61292	0.00835634	-2.45594	5.51566	-0.0157159	-5.49865	2.46967	
0.525	0.0068463	4.25057	5.50513	-0.016283	-5.48619	-4.23531	0.00848053	-2.83515	5.51405	-0.0158067	-5.49703	2.84888	
0.55	0.00698738	3.86397	5.50779	-0.0161302	-5.48886	-3.84871	0.00860753	-3.22271	5.51215	-0.0159158	-5.49513	3.23645	
0.575	0.00712945	3.47431	5.51023	-0.0159928	-5.4913	-3.45905	0.00873539	-3.61263	5.51	-0.0160423	-5.49297	3.62636	
