time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0	-3.85847e-05	0.00246551	0.227271	-2.36776e-05	-7.44936e-06	2.61585e-05	-2.36776e-05	0.0699982	2.61585e-05	0.03033	-0.0132372	0.311619	0	0	0	0	0	0	0	0.00227275	0	0	0.0916237	0	0	0	0	0	0.0700056	0	
0.025	-3.85819e-05	0.00255116	0.227271	-2.36799e-05	-7.35011e-06	2.61536e-05	-2.36791e-05	0.0700421	2.61536e-05	0.0303297	-0.0131204	0.311613	-1.10346e-05	0.00466943	-0.000230037	-0.000441383	0.186777	-0.00920148	0	0.00459921	0	0	0.0948584	0	0	0	0	0	0.0700495	0	
0.05	-3.85786e-05	0.00269622	0.227271	-2.36835e-05	-7.19495e-06	2.61423e-05	-2.36802e-05	0.0701829	2.61422e-05	0.0303293	-0.012938	0.3116	-1.66489e-05	0.00729909	-0.000530444	-0.000224574	0.105186	-0.0120163	0	0.00703434	0	0	0.100334	0	0	0	0	0	0.0701902	0	
0.075	-3.85758e-05	0.00290413	0.227271	-2.36882e-05	-6.99228e-06	2.61216e-05	-2.36798e-05	0.070486	2.61212e-05	0.0303288	-0.0126996	0.311576	-2.07586e-05	0.00953305	-0.000975805	-0.000164388	0.0893583	-0.0178145	0	0.00963567	0	0	0.108181	0	0	0	0	0	0.0704934	0	
0.1	-3.85742e-05	0.00317983	0.227271	-2.3694e-05	-6.74297e-06	2.60895e-05	-2.36771e-05	0.0709878	2.60888e-05	0.0303282	-0.0124065	0.311538	-2.44188e-05	0.0117256	-0.00150591	-0.000146408	0.0877004	-0.0212043	0	0.0124647	0	0	0.118584	0	0	0	0	0	0.0709954	0	
0.125	-3.85726e-05	0.0035298	0.227271	-2.37012e-05	-6.43181e-06	2.60476e-05	-2.36731e-05	0.0716522	2.60464e-05	0.0303274	-0.0120407	0.311489	-2.9996e-05	0.0146336	-0.00196819	-0.000223086	0.11632	-0.0184909	0	0.0155882	0	0	0.131789	0	0	0	0	0	0.07166	0	
0.15	-3.85683e-05	0.00396223	0.227271	-2.37106e-05	-6.02449e-06	2.60012e-05	-2.36706e-05	0.0723553	2.59994e-05	0.0303264	-0.0115617	0.311434	-4.04375e-05	0.019157	-0.00218042	-0.000417662	0.180937	-0.00848955	0	0.01908	0	0	0.148107	0	0	0	0	0	0.0723633	0	
0.175	-3.85576e-05	0.00448722	0.227271	-2.37232e-05	-5.47728e-06	2.59576e-05	-2.36733e-05	0.0729375	2.5955e-05	0.030325	-0.0109183	0.311383	-5.71629e-05	0.0257374	-0.00207024	-0.000669016	0.263216	0.00440733	0	0.0230227	0	0	0.167926	0	0	0	0	0	0.0729454	0	
0.2	-3.85382e-05	0.00511712	0.227271	-2.37396e-05	-4.75574e-06	2.59209e-05	-2.36836e-05	0.0733008	2.59173e-05	0.030323	-0.0100698	0.311338	-7.8236e-05	0.0339389	-0.00176801	-0.000842921	0.328061	0.0120892	0	0.0275094	0	0	0.191712	0	0	0	0	0	0.0733083	0	
0.225	-3.85102e-05	0.00586681	0.227271	-2.37601e-05	-3.84473e-06	2.58903e-05	-2.37014e-05	0.0734632	2.58854e-05	0.0303205	-0.00899855	0.311301	-9.97551e-05	0.0428511	-0.00151469	-0.000860765	0.356489	0.0101327	0	0.032646	0	0	0.220027	0	0	0	0	0	0.07347	0	
