time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-0.000366687	0.00217243	0.227073	-0.000366687	0.00217243	0.227073	0	0	0	0.0298415	-0.0134105	0.311502	0	0	0	0	0	0	0	0	0	0	0	0	
0.05	-0.000365708	0.00216984	0.227083	-0.000365708	0.00216984	0.227083	0	0	0	0.0298423	-0.0134118	0.31151	3.23761e-05	-5.25413e-05	0.000338024	0.00129504	-0.00210165	0.013521	3.91398e-05	-0.000103723	0.000387352	0.00156559	-0.00414891	0.0154941	
0.075	-0.000365412	0.00189306	0.227126	-0.000365412	0.00189306	0.227126	0	0	0	0.0298431	-0.0138911	0.311498	3.23761e-05	-0.0191711	-0.000499863	-1.66533e-14	-0.764743	-0.0335155	1.18321e-05	-0.011071	0.00171253	-0.00109231	-0.43869	0.0530072	
0.1	-0.000365413	0.00224358	0.227123	-0.000365413	0.00224358	0.227123	0	0	0	0.0298431	-0.0134131	0.311519	1.38778e-16	0.0191186	0.000837887	-0.00129504	1.53159	0.05351	-8.68743e-09	0.0140207	-0.000126967	-0.000473633	1.00367	-0.07358	
0.125	-0.000365412	0.00224257	0.227122	-0.000365412	0.00224257	0.227122	0	0	0	0.0298431	-0.0134131	0.311519	0	0	0	-5.55112e-15	-0.764743	-0.0335155	8.68743e-09	-4.06118e-05	-2.17946e-05	6.94995e-07	-0.562454	0.00420692	
0.15	-0.000365573	0.00264041	0.227205	-0.000365573	0.00264041	0.227205	0	0	0	0.029843	-0.0129352	0.311593	-4.3372e-06	0.0191182	0.00295664	-0.000173488	0.764728	0.118266	-6.40285e-06	0.0159137	0.00329886	-0.000256461	0.638172	0.132826	
0.175	-0.000443937	0.00271143	0.227262	-0.000443937	0.00271143	0.227262	0	0	0	0.029843	-0.0129352	0.311593	0	0	0	0.000173488	-0.764728	-0.118266	-0.00313458	0.0028408	0.00227989	-0.125127	-0.522915	-0.0407586	
0.2	-0.000366255	0.00271519	0.22723	-0.000366255	0.00271519	0.22723	0	0	0	0.0298422	-0.0129339	0.311584	-3.23761e-05	5.20226e-05	-0.000338104	-0.00129504	0.0020809	-0.0135242	0.00310729	0.000150207	-0.00125378	0.249674	-0.107624	-0.141347	
0.225	-0.00036751	0.00343903	0.227351	-0.00036751	0.00343903	0.227351	0	0	0	0.0298412	-0.0119764	0.311721	-4.10535e-05	0.0382998	0.00548685	-0.000347097	1.52991	0.232998	-5.02193e-05	0.0289538	0.00482186	-0.1263	1.15214	0.243026	
0.25	-0.000367671	0.00383824	0.227432	-0.000367671	0.00383824	0.227432	0	0	0	0.0298411	-0.0114981	0.311793	-4.34021e-06	0.0191306	0.00286845	0.00146853	-0.766771	-0.104736	-6.43494e-06	0.0159685	0.00324724	0.00175138	-0.519413	-0.0629847	
