Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	0.0278	-0.0811	1.0554	3.1194	0.0171	-0.0362	
0.052	0.0601	-0.0964	1.0007	3.1199	0.0178	-0.0362	
0.087	0.0393	-0.0024	0.9868	3.1208	0.0124	-0.0384	
0.122	0.0002	0.0051	1.0413	3.1215	0.0096	-0.0366	
0.157	0.0251	0.0261	0.9856	3.1224	0.0102	-0.0337	
0.19	0.041	0.0247	0.9568	3.1231	0.0141	-0.0349	
0.225	0.0229	0.0554	1.0291	3.1233	0.017	-0.0378	
0.26	0.0859	0.0454	1.0188	3.1237	0.0193	-0.0383	
0.295	0.0613	-0.0439	1.0435	3.1245	0.0222	-0.0404	
0.33	0.0813	-0.0957	1.123	3.1253	0.0214	-0.0401	
0.364	0.0103	-0.0151	0.9238	3.1262	0.0246	-0.0393	
0.399	0.0142	-0.032	0.9836	3.1266	0.0235	-0.0397	
0.433	0.0354	0.0032	0.9834	3.1277	0.0205	-0.0392	
0.477	-0.0356	0.0649	0.9893	3.1287	0.0173	-0.0392	
0.512	0.0515	0.0593	1.0273	3.1297	0.0127	-0.0394	
0.528	0.0398	-0.021	1.0034	3.1301	0.0086	-0.0387	
0.528	0.0398	-0.021	1.0034	3.1301	0.0086	-0.0387	
2.402	-0.0918	-0.439	0.5051	-3.1141	0.0306	-0.0307	
2.437	0.1638	0.3518	1.1135	-3.1124	0.0325	-0.0327	
2.472	0.2231	-0.0435	1.1514	-3.11	0.0283	-0.0344	
2.498	-0.0234	-0.2239	1.3267	-3.1086	0.0225	-0.0312	
2.524	-0.2625	-0.3132	0.9761	-3.1066	0.0152	-0.0279	
2.541	0.0334	0.3044	1.03	-3.1049	0.0156	-0.0277	
2.567	-0.0642	-0.3489	1.2258	-3.1023	0.0088	-0.0262	
2.594	0.0771	-0.3303	1.0078	-3.1009	-0.0038	-0.0262	
2.619	0.0801	-0.5447	1.0027	-3.0978	-0.0145	-0.0264	
2.646	-0.0994	-0.4705	1.344	-3.0984	-0.0242	-0.0267	
2.671	-0.1064	-0.4658	1.6624	-3.0971	-0.0344	-0.0284	
2.697	0.093	-0.4304	1.1714	-3.0943	-0.0414	-0.0309	
2.724	0.084	-0.1929	1.1375	-3.0909	-0.0417	-0.0348	
2.749	0.0217	-0.344	0.988	-3.0904	-0.0422	-0.0367	
2.776	0.1851	0.2493	0.927	-3.0919	-0.0404	-0.0413	
2.792	-0.0879	-0.2451	1.1113	-3.0917	-0.0421	-0.0414	
2.819	0.1868	-0.4099	1.3569	-3.0905	-0.0423	-0.0453	
2.845	0.4004	0.0527	0.7871	-3.0909	-0.0357	-0.0511	
2.871	0.6184	0.8289	0.8032	-3.0916	-0.0338	-0.0565	
2.897	0.6711	1.3508	0.7129	-3.0913	-0.0195	-0.0605	
2.922	0.0168	1.6321	1.3235	-3.091	-0.0117	-0.06	
2.948	-0.7302	0.9917	1.1628	-3.0916	-0.0037	-0.0573	
2.975	-0.1755	-0.0552	0.2021	-3.0938	-0.0022	-0.0552	
3	0.9687	-0.8823	1.3875	-3.092	0.0025	-0.0543	
3.018	0.083	-0.8645	-1.7612	-3.0866	0.0021	-0.0513	
3.043	-0.3938	1.4504	0.7954	-3.0842	-0.0007	-0.0457	
3.069	-0.2161	-0.5166	-0.0564	-3.0828	-0.0054	-0.0436	
3.095	-0.2585	0.9255	0.0288	-3.0791	-0.0116	-0.04	
3.121	-0.2051	-1.3281	-0.2781	-3.0784	-0.0187	-0.0336	
3.148	0.1755	-0.5249	0.3301	-3.077	-0.0258	-0.032	
3.173	-0.1992	-0.1494	0.3501	-3.0779	-0.0356	-0.0268	
3.199	-0.3384	-0.0459	1.0471	-3.0742	-0.0498	-0.0227	
3.216	-0.0144	-0.532	1.637	-3.0734	-0.0576	-0.0228	
3.243	-0.3586	0.5884	1.1519	-3.0723	-0.0602	-0.0243	
3.268	-0.177	0.6221	1.5281	-3.0723	-0.0669	-0.0263	
3.294	0.925	-0.2373	2.1626	-3.073	-0.0744	-0.0311	
3.321	-0.2756	0.6887	0.8247	-3.0715	-0.0707	-0.0324	
3.346	-0.8274	0.1785	0.3125	-3.0743	-0.0644	-0.037	
3.373	0.0557	-0.252	1.3086	-3.0732	-0.0524	-0.0438	
3.398	0.1101	0.5322	0.8235	-3.0784	-0.0365	-0.0483	
3.424	0.27	0.0771	0.7639	-3.0796	-0.0231	-0.0559	
3.451	0.3135	0.6973	0.97	-3.0823	-0.0044	-0.0599	
3.468	-0.0273	0.3276	0.7385	-3.0832	0.0061	-0.0593	
3.494	0.1343	-0.1658	0.7876	-3.0825	0.0202	-0.0594	
3.519	0.1667	0.5918	0.8674	-3.0818	0.0385	-0.0531	
3.545	0.0078	1.0283	0.8809	-3.0819	0.0531	-0.0456	
3.572	-0.0881	0.0645	0.7131	-3.0828	0.0661	-0.0373	
3.597	0.8376	-0.5024	1.531	-3.0894	0.0713	-0.0382	
3.623	-0.5215	1.2666	0.8062	-3.0944	0.0809	-0.0295	
3.649	0.2532	-2.7703	1.5325	-3.0963	0.0781	-0.0261	
3.675	-0.3582	-1.6001	-0.9014	-3.0997	0.0812	-0.0206	
3.701	-0.967	1.1416	1.9556	-3.1029	0.0892	-0.0089	
3.718	-0.0801	-1.8906	0.6152	-3.0977	0.0861	-0.0038	
3.744	-0.9624	0.8875	0.1597	-3.0905	0.0831	0.002	
3.77	-0.0562	2.0576	0.8313	-3.0884	0.0871	0.0005	
3.796	0.4263	3.2786	1.2004	-3.0924	0.0849	0.0047	
3.821	0.1611	-2.5784	1.8853	-3.0888	0.0698	0.0064	
3.847	-0.5425	3.394	-0.2852	-3.0891	0.0565	0.0043	
