R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
7.6044	5.61154	-0.0156086	-5.49451	-7.6044	7.41319	5.49451	-0.0156515	-5.41044	-7.44945	-516.48	91.46	-312.04	-823.14	519.17	-2.69	-2.69	-21.52	
7.6044	5.61154	-0.0156257	-5.49451	-7.69231	7.41319	5.49451	-0.0156257	-5.41044	-7.53736	-529.93	64.56	-320.11	-664.43	519.17	-2.69	-2.69	-56.49	
7.6044	5.61154	-0.0156343	-5.49451	-7.6044	7.41319	5.49451	-0.0156172	-5.41044	-7.53736	-519.17	104.91	-174.85	-909.22	-13.45	0	-2.69	-2.69	
7.51648	5.52363	-0.0156343	-5.49451	-7.6044	7.32527	5.49451	-0.0156172	-5.41044	-7.44945	-680.57	131.81	-306.66	-823.14	137.19	-59.18	-2.69	-69.94	
7.42857	5.52363	-0.0156343	-5.49451	-7.51648	7.32527	5.49451	-0.0156172	-5.41044	-7.44945	-895.77	16.14	-309.35	-855.42	529.93	-2.69	53.8	-21.52	
7.16484	5.61154	-0.0156257	-5.49451	-7.34066	7.23736	5.49451	-0.0156172	-5.49835	-7.36154	-874.25	53.8	-312.04	-1205.12	898.46	-2.69	56.49	-24.21	
6.98901	5.61154	-0.0156257	-5.49451	-7.07692	7.06154	5.49451	-0.0156257	-5.41044	-7.18571	-1124.42	-2.69	-239.41	-1441.84	871.56	-2.69	118.36	-32.28	
6.72527	5.61154	-0.0156257	-5.49451	-6.81319	6.88571	5.49451	-0.0156257	-5.49835	-7.00989	-1390.73	-2.69	-279.76	-1595.17	188.3	-5.38	172.16	-139.88	
6.37363	5.61154	-0.0156257	-5.49451	-6.46154	6.53407	5.49451	-0.0156257	-5.49835	-6.65824	-1342.31	-2.69	-277.07	-1535.99	403.5	-61.87	80.7	-180.23	
5.93407	5.61154	-0.0156257	-5.58242	-6.02198	6.09451	5.49451	-0.0156257	-5.49835	-6.13077	-1223.95	-2.69	-266.31	-1683.94	379.29	-5.38	0	26.9	
5.31868	5.61154	-0.0156257	-5.58242	-5.49451	5.39121	5.49451	-0.0156257	-5.49835	-5.51538	-1194.36	-2.69	-279.76	-1864.17	419.64	-5.38	72.63	59.18	
4.7033	5.61154	-0.0156257	-5.49451	-4.79121	4.77582	5.49451	-0.0156172	-5.41044	-4.9	-1608.62	-2.69	-204.44	-1716.22	403.5	-2.69	134.5	-185.61	
4	5.61154	-0.0156257	-5.58242	-4	4.07253	5.49451	-0.0156172	-5.41044	-4.02088	-1272.37	-2.69	-277.07	-1557.51	457.3	0	8.07	-519.17	
2.94505	5.61154	-0.0156257	-5.49451	-2.94505	3.01758	5.49451	-0.0156172	-5.49835	-3.14176	-1127.11	-2.69	-193.68	-1740.43	269	-48.42	34.97	204.44	
1.97802	5.61154	-0.0156172	-5.58242	-1.97802	1.96264	5.49451	-0.0156172	-5.49835	-1.9989	-1073.31	-2.69	-158.71	-1511.78	107.6	0	61.87	-32.28	
0.835165	5.61154	-0.0156172	-5.58242	-0.835165	0.995604	5.49451	-0.0156172	-5.49835	-0.856044	-866.18	0	-164.09	-1232.02	503.03	0	24.21	69.94	
-0.307692	5.61154	-0.0156172	-5.58242	0.395604	-0.235165	5.49451	-0.0156172	-5.49835	0.198901	-761.27	0	-174.85	-1086.76	427.71	-2.69	96.84	239.41	
-1.36264	5.61154	-0.0121896	-5.58242	1.62637	-1.2022	5.40659	-0.0121467	-5.49835	1.34176	-723.61	2.69	-182.92	-594.49	287.83	-5.38	-2.69	355.08	
-2.32967	5.61154	-0.0127909	-5.58242	2.59341	-2.25714	5.49451	-0.0120865	-5.49835	2.30879	-400.81	8.07	-228.65	139.88	438.47	-8.07	-110.29	282.45	
-3.20879	5.61154	-0.0132205	-5.58242	3.2967	-2.96044	5.40659	-0.012181	-5.49835	3.18791	-876.94	2.69	-121.05	-277.07	909.22	64.56	-72.63	979.16	
-3.82418	5.61154	-0.0135125	-5.58242	4	-3.66374	5.49451	-0.0122583	-5.49835	3.8033	-489.58	5.38	-112.98	-69.94	204.44	0	-94.15	919.98	
-4.26374	5.61154	-0.0137616	-5.58242	4.43956	-4.19121	5.67033	-0.0123614	-5.49835	4.24286	-788.17	2.69	-86.08	-145.26	685.95	-69.94	-56.49	1401.49	
-4.61538	5.52363	-0.0139077	-5.58242	4.61538	-4.45495	5.58242	-0.0124645	-5.49835	4.50659	-532.62	-99.53	-37.66	287.83	648.29	-223.27	0	1170.15	
-4.7033	5.52363	-0.0139764	-5.58242	4.79121	-4.54286	5.58242	-0.0124731	-5.41044	4.77033	-538	-260.93	-277.07	1455.29	874.25	-285.14	78.01	1188.98	
-4.79121	5.52363	-0.013985	-5.67033	5.49451	-4.71868	5.58242	-0.0126879	-5.49835	4.85824	-610.63	-260.93	-338.94	-1468.74	876.94	-344.32	150.64	1519.85	
-4.79121	5.52363	-0.013796	-5.49451	5.05495	-4.71868	5.67033	-0.0129628	-5.41044	4.85824	-589.11	-269	56.49	-1431.08	914.6	-500.34	78.01	1689.32	
-4.52747	5.52363	-0.0136672	-5.49451	4.17582	-4.63077	5.58242	-0.0131174	-5.41044	4.85824	-433.09	-406.19	-158.71	1662.42	1490.26	-368.53	215.2	1780.78	
-4.35165	5.52363	-0.0134266	-5.58242	4.61538	-4.45495	5.67033	-0.0131431	-5.41044	4.50659	-188.3	-336.25	-411.57	18.83	1436.46	-414.26	220.58	1877.62	
-3.91209	5.43571	-0.0132119	-5.49451	4.17582	-4.01538	5.58242	-0.0128683	-5.41044	4.15495	-18.83	-336.25	-166.78	-1353.07	1331.55	-398.12	217.89	1923.35	
-3.38462	5.43571	-0.0131088	-5.49451	3.20879	-3.4	5.58242	-0.012748	-5.41044	3.45165	-180.23	-328.18	-357.77	1283.13	1310.03	-320.11	242.1	1514.47	
-2.76923	5.52363	-0.0127995	-5.49451	2.59341	-2.6967	5.58242	-0.0126277	-5.41044	2.83626	-247.48	-301.28	-395.43	239.41	1293.89	-290.52	258.24	1097.52	
-1.89011	5.52363	-0.0125246	-5.40659	1.97802	-1.90549	5.67033	-0.0124989	-5.41044	1.95714	-72.63	-379.29	-543.38	104.91	1100.21	-368.53	314.73	1108.28	
-1.01099	5.52363	-0.0123357	-5.40659	0.923077	-0.850549	5.58242	-0.0124559	-5.41044	0.902198	-360.46	-285.14	-551.45	494.96	949.57	-328.18	282.45	599.87	
-0.043956	5.52363	-0.0122154	-5.40659	0.043956	0.116484	5.58242	-0.0125246	-5.41044	-0.152747	-277.07	-282.45	-583.73	-516.48	852.73	-333.56	312.04	516.48	
0.923077	5.52363	-0.012224	-5.31868	-1.0989	1.08352	5.67033	-0.0125934	-5.41044	-1.38352	-446.54	-287.83	-702.09	-322.8	922.67	-328.18	271.69	88.77	
1.97802	5.52363	-0.0122412	-5.40659	-2.06593	2.05055	5.58242	-0.013083	-5.49835	-2.26264	-357.77	-282.45	-591.8	-941.5	718.23	-269	0	-234.03	
2.76923	5.52363	-0.0124216	-5.49451	-2.94505	2.84176	5.58242	-0.0133321	-5.49835	-3.05385	-231.34	-285.14	-360.46	-936.12	901.15	-287.83	-112.98	-153.33	
3.47253	5.52363	-0.0125332	-5.58242	-3.64835	3.54505	5.58242	-0.0135727	-5.49835	-3.66923	-182.92	-274.38	-309.35	-1156.7	702.09	-75.32	-164.09	-287.83	
4	5.52363	-0.0126707	-5.58242	-4.26374	4.07253	5.49451	-0.0138905	-5.49835	-4.1967	-640.22	-252.86	-56.49	-1108.28	831.21	-67.25	-69.94	-32.28	
4.43956	5.61154	-0.012748	-5.67033	-4.61538	4.51209	5.31868	-0.0140881	-5.49835	-4.46044	-728.99	-8.07	91.46	-1237.4	462.68	137.19	121.05	-876.94	
4.61538	5.69945	-0.0127909	-5.67033	-4.87912	4.68791	5.40659	-0.014131	-5.49835	-4.1967	-917.29	333.56	177.54	-1022.2	788.17	247.48	0	-1974.46	
4.87912	5.78736	-0.0130229	-5.67033	-5.14286	4.86374	5.31868	-0.0141396	-5.58626	-4.37253	-911.91	521.86	166.78	-1197.05	486.89	481.51	107.6	-871.56	
4.96703	5.78736	-0.013315	-5.67033	-5.14286	4.86374	5.31868	-0.014174	-5.41044	-4.54835	-919.98	578.35	174.85	-1334.24	476.13	478.82	-320.11	134.5	
4.96703	5.78736	-0.0133579	-5.67033	-5.14286	4.77582	5.31868	-0.0143028	-5.58626	-5.07582	-1006.06	503.03	207.13	-1622.07	433.09	497.65	-142.57	1791.54	
4.87912	5.78736	-0.0133235	-5.67033	-5.05495	4.68791	5.31868	-0.0140795	-6.02582	-5.25165	-855.42	516.48	333.56	-1926.04	225.96	476.13	347.01	1541.37	
