L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159951	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159865	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159865	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159865	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159865	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159865	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159865	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0159951	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0160037	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.015557	0	-0	0.6	0	-0.0160638	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155312	0	-0	0.6	0	-0.016081	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155312	0	-0	0.6	0	-0.016081	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155227	0	-0	0.6	0	-0.016081	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155227	0	-0	0.6	0	-0.0160896	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155227	0	-0	0.6	0	-0.0160896	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155227	0	-0	0.6	0	-0.0160896	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0155227	0	-0	0.6	0	-0.0160896	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0121896	0	-0	0.6	0	-0.012224	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0122755	0	-0	0.6	0	-0.0122669	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0125934	0	-0	0.6	0	-0.0127136	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0129284	0	-0	0.6	0	-0.012894	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0132291	0	-0	0.6	0	-0.0130315	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0132291	0	-0	0.6	0	-0.013126	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0133579	0	-0	0.6	0	-0.013315	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0134438	0	-0	0.6	0	-0.0134438	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.013461	0	-0	0.6	0	-0.0134782	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0134352	0	-0	0.6	0	-0.0134782	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0133407	0	-0	0.6	0	-0.0134009	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0131517	0	-0	0.6	0	-0.0132291	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.012894	0	-0	0.6	0	-0.0130057	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0126449	0	-0	0.6	0	-0.0127566	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0124989	0	-0	0.6	0	-0.0125418	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0124645	0	-0	0.6	0	-0.0125848	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0123099	0	-0	0.6	0	-0.0124817	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0123271	0	-0	0.6	0	-0.012559	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0124387	0	-0	0.6	0	-0.0127136	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0126449	0	-0	0.6	0	-0.0129456	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0128768	0	-0	0.6	0	-0.0131861	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0131603	0	-0	0.6	0	-0.0134009	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0133665	0	-0	0.6	0	-0.0135469	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0134868	0	-0	0.6	0	-0.0137273	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135125	0	-0	0.6	0	-0.0137359	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135641	0	-0	0.6	0	-0.0137788	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135813	0	-0	0.6	0	-0.0137874	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135469	0	-0	0.6	0	-0.0137874	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0134696	0	-0	0.6	0	-0.0136672	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0133064	0	-0	0.6	0	-0.013418	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0129971	0	-0	0.6	0	-0.0132376	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0127308	0	-0	0.6	0	-0.012937	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0125075	0	-0	0.6	0	-0.0127222	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0124044	0	-0	0.6	0	-0.0125504	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0123614	0	-0	0.6	0	-0.0124731	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0123357	0	-0	0.6	0	-0.0124387	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0123958	0	-0	0.6	0	-0.0124817	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0125934	0	-0	0.6	0	-0.0126965	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0128339	0	-0	0.6	0	-0.0128768	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0130916	0	-0	0.6	0	-0.0132291	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0133064	0	-0	0.6	0	-0.0134352	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0134438	0	-0	0.6	0	-0.01365	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135211	0	-0	0.6	0	-0.0136156	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135555	0	-0	0.6	0	-0.0136843	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135641	0	-0	0.6	0	-0.0136843	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0135469	0	-0	0.6	0	-0.0136843	-1.85	-0.9	0	0	0	0	0	0	0	0	
0	-0.85	-0.0134696	0	-0	0.6	0	-0.0136242	-1.85	-0.9	0	0	0	0	0	0	0	0	
