Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	0.1047	-0.0378	1.0684	0.0331	-0.0103	-0.0231	
0.051	0.0757	-0.3081	1.0215	0.0319	-0.0105	-0.0228	
0.086	0.0759	-0.0032	1.0176	0.0329	-0.0114	-0.0239	
0.12	0.032	0.0132	1.0249	0.0324	-0.0055	-0.026	
0.154	0.0083	0.1035	0.9612	0.0327	-0.002	-0.025	
0.189	0.0046	0.0337	1.0269	0.0323	-0	-0.0247	
0.222	0.0068	-0.1636	0.968	0.0332	-0.0039	-0.0226	
0.265	0.0698	-0.0073	1.0676	0.0335	-0.001	-0.0249	
0.299	0.0962	-0.1013	1.0259	0.0341	0.0025	-0.0262	
0.334	-0.0537	-0.0198	0.9937	0.0341	-0.0003	-0.0241	
0.368	0.0005	-0.0659	1.0046	0.0338	-0.0026	-0.0227	
0.403	-0.0085	0.052	1.0518	0.0345	0.0003	-0.0202	
0.436	0.1584	0.0718	1.0205	0.0337	0.0057	-0.0251	
0.479	0.0408	0.0313	1.0239	0.0348	0.0086	-0.0271	
0.513	0.103	-0.0376	1.0249	0.0348	0.007	-0.0305	
0.539	0.0337	0.0234	0.9771	0.0353	0.0041	-0.0313	
0.539	0.0337	0.0234	0.9771	0.0353	0.0041	-0.0313	
2.395	-0.0698	0.1113	1.0046	0.0514	0.0092	-0.022	
2.429	0.1555	-0.3093	0.8577	0.0553	-0.0095	-0.0244	
2.463	-0.0103	-2.0662	0.9727	0.0572	-0.0412	-0.0212	
2.489	-0.3823	0.9075	1.116	0.0602	-0.0428	-0.0218	
2.506	-0.2244	0.03	0.7664	0.063	-0.0489	-0.0227	
2.532	-0.5732	0.4626	0.6418	0.0665	-0.0513	-0.0238	
2.557	0.2808	-0.4229	1.3284	0.0668	-0.0613	-0.0315	
2.583	-0.0994	-0.2246	1.0862	0.0653	-0.0681	-0.0284	
2.608	-0.197	-0.5027	0.7366	0.0639	-0.0672	-0.0297	
2.634	0.377	0.0984	1.6638	0.0648	-0.0701	-0.0324	
2.661	0.0806	-0.22	0.6975	0.0653	-0.0678	-0.0368	
2.677	0.5251	-0.592	0.9724	0.0644	-0.066	-0.042	
2.703	-0.0476	0.1392	1.2371	0.0628	-0.0574	-0.0427	
2.728	-0.1418	-0.0552	1.2412	0.0598	-0.0551	-0.0444	
2.754	0.1016	0.4858	1.0916	0.0578	-0.047	-0.0492	
2.779	0.1499	-0.0793	1.1956	0.057	-0.0441	-0.0535	
2.805	0.1921	0.2908	1.178	0.0534	-0.0328	-0.0546	
2.831	0.1924	0.1069	1.1426	0.0519	-0.0227	-0.0558	
2.856	0.2217	0.4807	0.8694	0.051	-0.0078	-0.051	
2.882	0.04	0.2898	1.1421	0.05	0.0064	-0.0424	
2.907	-0.0281	0.1938	0.6294	0.0487	0.024	-0.0333	
2.933	-0.0894	0.0417	0.9927	0.0486	0.035	-0.0246	
2.959	-0.0803	0.2397	1.0759	0.0463	0.0468	-0.0179	
2.984	0.1292	-0.0276	0.9946	0.0449	0.0554	-0.0159	
3.002	-0.094	0.3521	0.8877	0.0441	0.0595	-0.0132	
3.027	0.0994	0.2354	0.5972	0.0399	0.0677	-0.0093	
3.053	-0.0654	0.4832	0.8276	0.0373	0.0683	-0.0048	
3.078	-0.1643	0.657	1.4944	0.0364	0.0712	-0.0008	
3.104	0.0522	1.113	1.0398	0.0361	0.0697	-0.0002	
3.131	-0.1201	0.4556	0.9946	0.0387	0.068	0.0029	
3.156	-0.6736	-0.2527	0.9978	0.0393	0.057	0.0026	
3.182	-0.3979	0.6938	1.2056	0.0418	0.0539	0.0012	
3.207	-0.0557	-0.0698	1.0288	0.045	0.0403	-0.0012	
3.233	-0.3218	0.5359	0.5398	0.0444	0.0318	-0.0053	
3.249	0.2395	0.2275	1.6062	0.0456	0.0244	-0.0113	
3.276	-0.1504	-0.2014	0.7922	0.0458	0.0123	-0.0176	
3.302	0.1931	-0.9282	0.9429	0.0497	-0.0126	-0.0281	
3.327	0.1472	-0.3301	0.7864	0.0503	-0.0264	-0.0348	
3.353	0.3074	-0.5935	0.9932	0.051	-0.0487	-0.04	
3.378	-0.2051	0.114	0.968	0.051	-0.0618	-0.0427	
3.404	0.009	-0.5066	1.0217	0.0535	-0.0791	-0.0493	
3.43	0.3994	-0.7588	0.4907	0.0592	-0.0931	-0.0587	
3.455	-0.5081	-0.4492	0.6545	0.0628	-0.1031	-0.0632	
