R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
7.6044	6.40275	-0.0155484	-5.75824	-7.6044	7.32527	6.10989	-0.0160209	-5.58626	-7.97692	8.07	247.48	61.87	13.45	244.79	-180.23	-29.59	61.87	
7.51648	6.40275	-0.0155484	-5.75824	-7.6044	7.32527	6.02198	-0.0160209	-5.58626	-7.97692	0	252.86	56.49	0	223.27	-177.54	-37.66	0	
7.51648	6.49066	-0.0155484	-5.75824	-7.6044	7.32527	6.02198	-0.0160209	-5.58626	-7.97692	-5.38	244.79	61.87	0	204.44	-180.23	-32.28	0	
7.51648	6.40275	-0.0155398	-5.75824	-7.6044	7.32527	6.10989	-0.0160209	-5.58626	-7.97692	-2.69	236.72	61.87	0	182.92	-182.92	-32.28	0	
7.51648	6.40275	-0.0155398	-5.75824	-7.51648	7.32527	6.02198	-0.0160209	-5.58626	-7.88901	-37.66	236.72	59.18	0	139.88	-174.85	-32.28	0	
7.51648	6.49066	-0.0155398	-5.75824	-7.25275	7.32527	6.10989	-0.0160209	-5.58626	-7.8011	-45.73	228.65	59.18	13.45	126.43	-172.16	-37.66	-5.38	
7.34066	6.40275	-0.0155398	-5.75824	-7.07692	7.23736	6.10989	-0.0160209	-5.58626	-7.62527	-115.67	220.58	61.87	5.38	64.56	-180.23	-34.97	-10.76	
7.16484	6.40275	-0.0155398	-5.75824	-6.72527	7.06154	6.10989	-0.0160209	-5.67418	-7.27363	-156.02	217.89	67.25	0	48.42	-164.09	-32.28	-2.69	
6.98901	6.40275	-0.0155312	-5.75824	-6.37363	6.70989	6.02198	-0.0160209	-5.67418	-7.00989	-190.99	231.34	61.87	5.38	32.28	-169.47	-32.28	-21.52	
6.63736	6.40275	-0.0155312	-5.75824	-6.02198	6.44615	6.10989	-0.0160209	-5.67418	-6.48242	-207.13	220.58	75.32	16.14	0	-169.47	-29.59	-16.14	
6.28571	6.40275	-0.0155312	-5.84615	-5.58242	6.00659	6.10989	-0.0160209	-5.67418	-5.95495	-231.34	217.89	75.32	16.14	-8.07	-185.61	-37.66	-29.59	
5.75824	6.40275	-0.0155312	-5.75824	-4.96703	5.56703	6.10989	-0.0160209	-5.67418	-5.42747	-252.86	223.27	64.56	8.07	-24.21	-177.54	-32.28	-43.04	
5.23077	6.49066	-0.0155227	-5.75824	-4.43956	4.86374	6.02198	-0.0160209	-5.67418	-4.72418	-269	220.58	59.18	0	-40.35	-182.92	-32.28	-37.66	
4.43956	6.49066	-0.0155227	-5.75824	-3.47253	4.16044	6.10989	-0.0160209	-5.67418	-3.84505	-277.07	215.2	61.87	0	-83.39	-180.23	-32.28	-34.97	
3.56044	6.49066	-0.0155227	-5.75824	-2.32967	3.28132	6.02198	-0.0160209	-5.67418	-2.87802	-269	220.58	61.87	-2.69	-88.77	-177.54	-29.59	-21.52	
2.50549	6.49066	-0.0155227	-5.75824	-1.36264	2.31429	6.10989	-0.0160209	-5.67418	-1.82308	-279.76	223.27	56.49	-2.69	-118.36	-174.85	-29.59	-21.52	
1.45055	6.49066	-0.0155227	-5.75824	-0.307692	1.25934	6.10989	-0.0160209	-5.67418	-0.68022	-295.9	223.27	59.18	-2.69	-153.33	-174.85	-29.59	-16.14	
0.483516	6.40275	-0.012078	-5.75824	0.747253	0.204396	6.10989	-0.0122412	-5.67418	0.286813	-285.14	231.34	61.87	0	-134.5	-172.16	-29.59	-2.69	
-0.571429	6.40275	-0.0124387	-5.75824	1.89011	-0.762637	6.10989	-0.0125246	-5.67418	1.34176	-260.93	225.96	59.18	0	-110.29	-182.92	-29.59	-5.38	
-1.53846	6.49066	-0.0127136	-5.75824	2.68132	-1.81758	6.02198	-0.0127824	-5.67418	2.30879	-260.93	231.34	59.18	0	-102.22	-177.54	-32.28	0	
-2.32967	6.40275	-0.0129198	-5.75824	3.47253	-2.60879	6.10989	-0.0130057	-5.67418	3.01209	-277.07	228.65	56.49	0	-86.08	-185.61	-29.59	0	
-2.94505	6.49066	-0.0131174	-5.75824	4.08791	-3.22418	6.10989	-0.0131346	-5.67418	3.62747	-236.72	223.27	37.66	0	-80.7	-182.92	-29.59	2.69	
