time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0	0.00560768	7.62547	5.51631	-0.0155175	-5.49725	-7.61021	0.00559822	7.65107	5.52287	-0.0151544	-5.50381	-7.63581	
0.025	0.00561817	7.59707	5.52263	-0.0150376	-5.50357	-7.58181	0.00555151	7.77752	5.54786	-0.0137013	-5.52879	-7.76226	
0.05	0.00561977	7.59275	5.53354	-0.014276	-5.51448	-7.57749	0.00538459	8.22868	5.58646	-0.0116585	-5.56737	-8.21342	
0.075	0.00559782	7.65219	5.54918	-0.0132975	-5.53011	-7.63693	0.00500897	9.24014	5.63305	-0.00954877	-5.6139	-9.22488	
0.1	0.00554588	7.79278	5.56898	-0.0122097	-5.5499	-7.77752	0.00437413	10.9368	5.67803	-0.00803773	-5.65878	-10.9215	
0.125	0.00547605	7.98161	5.59104	-0.0111639	-5.57196	-7.96635	0.00353083	13.1617	5.70952	-0.0077254	-5.6901	-13.1465	
0.15	0.00542181	8.12818	5.6121	-0.0103081	-5.59301	-8.11292	0.00265759	15.4257	5.72056	-0.00871011	-5.70093	-15.4105	
0.175	0.00542513	8.11923	5.62887	-0.00971346	-5.60978	-8.10397	0.00199004	17.1258	5.71524	-0.0103751	-5.69543	-17.1105	
0.2	0.00551313	7.88144	5.63967	-0.0093667	-5.62059	-7.86618	0.00167716	17.9128	5.70301	-0.0119399	-5.68311	-17.8976	
0.225	0.00568497	7.41629	5.64496	-0.00922442	-5.62591	-7.40103	0.0015281	17.8603	5.68788	-0.0131843	-5.66997	-17.8466	
0.25	0.00592364	6.76872	5.6469	-0.00922975	-5.62787	-6.75346	0.00193025	17.2772	5.67096	-0.0143283	-5.65113	-17.262	
0.275	0.00621599	5.97324	5.64731	-0.00930392	-5.62831	-5.95798	0.00226504	16.4296	5.65193	-0.0154888	-5.6322	-16.4144	
0.3	0.00656085	5.03204	5.64784	-0.00935396	-5.62888	-5.01678	0.00265683	15.4285	5.63582	-0.0164606	-5.61619	-15.4133	
0.325	0.00696449	3.92717	5.64947	-0.00929926	-5.63054	-3.91191	0.00309674	14.2934	5.62842	-0.0169014	-5.60889	-14.2781	
0.35	0.00743642	2.6319	5.65259	-0.00909523	-5.63368	-2.61664	0.00358909	13.0097	5.63476	-0.0165017	-5.61535	-12.9945	
