time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0	-3.83219e-05	0.00311632	0.227275	-2.37395e-05	-4.67587e-06	2.6501e-05	-2.49744e-05	0.0600123	0.000406809	0.0303182	-0.00997303	0.312014	0	0	0	0	0	0	0	0.00288829	0	0	0.116438	0	0	0	0	-1.06526e-06	0.0600084	0.000380602	
0.025	-3.81793e-05	0.00322508	0.227277	-2.37555e-05	-4.53536e-06	2.61462e-05	-3.33055e-05	0.0600782	0.00148939	0.0303068	-0.00980925	0.3116	-0.000454847	0.0065512	-0.0165353	-0.0181939	0.262048	-0.661411	0	0.00584483	0	0	0.120549	0	0	0	0	-9.37905e-06	0.0600742	0.00146447	
0.05	-3.79736e-05	0.00340928	0.227278	-2.3777e-05	-4.31972e-06	2.56077e-05	-5.99737e-05	0.0602892	0.00310957	0.0302929	-0.00955798	0.310973	-0.000556875	0.0100508	-0.0251012	-0.0040811	0.139986	-0.342638	0	0.00893947	0	0	0.127508	0	0	0	0	-3.60381e-05	0.0602853	0.00308658	
0.075	-3.77452e-05	0.00367336	0.227281	-2.3798e-05	-4.04569e-06	2.49582e-05	-0.00011739	0.0607438	0.00502069	0.0302821	-0.00923875	0.310216	-0.000431264	0.0127691	-0.030273	0.00502442	0.108729	-0.206873	0	0.0122453	0	0	0.13748	0	0	0	0	-9.34741e-05	0.0607399	0.005	
0.1	-3.75374e-05	0.00402361	0.227283	-2.38133e-05	-3.7198e-06	2.42875e-05	-0.000212434	0.0614964	0.00693179	0.0302795	-0.00885894	0.309434	-0.000104803	0.0151922	-0.0312638	0.0130585	0.0969264	-0.0396295	0	0.0158405	0	0	0.1507	0	0	0	0	-0.000188581	0.0614928	0.00691342	
0.125	-3.73849e-05	0.00446829	0.227284	-2.38205e-05	-3.32552e-06	2.36925e-05	-0.000338232	0.0624925	0.00855192	0.030287	-0.00839874	0.308741	0.000301545	0.0184082	-0.0277476	0.0162539	0.128637	0.140646	0	0.01981	0	0	0.167482	0	0	0	0	-0.000314483	0.0624894	0.00853553	
0.15	-3.73062e-05	0.00501784	0.227286	-2.38215e-05	-2.81876e-06	2.32644e-05	-0.000471347	0.0635469	0.00963442	0.0303025	-0.00780585	0.308241	0.000619692	0.0237157	-0.0199899	0.0127259	0.212304	0.310308	0	0.0242476	0	0	0.18822	0	0	0	0	-0.00044772	0.0635441	0.0096194	
0.175	-3.73038e-05	0.00568508	0.227286	-2.38209e-05	-2.14152e-06	2.30719e-05	-0.000581519	0.0644198	0.0100145	0.0303212	-0.00701166	0.308014	0.00074911	0.0317675	-0.00905203	0.00517672	0.322069	0.437516	0	0.029258	0	0	0.213405	0	0	0	0	-0.000557999	0.0644171	0.01	
0.2	-3.73736e-05	0.00648569	0.227285	-2.38221e-05	-1.24789e-06	2.31431e-05	-0.000650198	0.0649644	0.00963429	0.0303398	-0.00596188	0.308094	0.000741872	0.0419913	0.00318516	-0.000289515	0.408954	0.489488	0	0.0349598	0	0	0.243633	0	0	0	0	-0.000626748	0.0649613	0.0096194	
0.225	-3.75096e-05	0.00743859	0.227284	-2.38257e-05	-1.17883e-07	2.34577e-05	-0.000680794	0.0652078	0.00855167	0.0303582	-0.00463283	0.308456	0.000736227	0.053162	0.0144627	-0.000225779	0.446827	0.451102	0	0.0414876	0	0	0.279618	0	0	0	0	-0.000657379	0.0652038	0.00853553	
