Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.016	0.0327	-0.1406	1.0059	2.1602	-0.0105	-0.0193	
0.043	-0.0078	-0.0933	0.9895	2.1601	-0.0138	-0.0165	
0.078	-0.0063	0.0244	0.9746	2.1601	-0.0076	-0.0185	
0.112	0.0261	-0.0105	1.0054	2.1603	-0.0052	-0.0216	
0.147	0.0127	-0.0144	1.0095	2.1606	-0.0069	-0.0211	
0.181	0.0381	0.0078	1.002	2.1606	-0.0038	-0.0195	
0.215	0.0222	0.0159	0.9875	2.1609	-0.0061	-0.023	
0.25	0.0417	-0.0483	1.0269	2.1612	-0.013	-0.0236	
0.285	0.0264	0.0159	0.9712	2.1611	-0.0096	-0.0231	
0.328	0.0325	0.0056	1.0117	2.1611	-0.0042	-0.0266	
0.363	-0.001	0.0115	0.9927	2.161	0	-0.0233	
0.397	0.0139	0.051	1.011	2.1611	0.0003	-0.0223	
0.431	0.0042	-0.0491	1	2.1613	-0.0021	-0.0168	
0.466	0.0107	-0.0054	1.0168	2.1615	-0.0024	-0.0124	
0.501	0	-0.0039	1.0054	2.1618	-0.0049	-0.0095	
0.518	0.002	-0.0054	0.9858	2.1618	-0.0066	-0.0081	
0.518	0.002	-0.0054	0.9858	2.1618	-0.0066	-0.0081	
2.903	0.0225	0.0796	1.0742	2.1818	0.0219	-0.0122	
2.937	-0.1494	0.3845	1.0078	2.1827	0.014	-0.0107	
2.972	-0.031	-0.1904	1.0232	2.1866	-0.0073	-0.0107	
2.998	0.0664	-0.5872	1.3437	2.1889	-0.0206	-0.0114	
3.024	-0.0085	-0.2078	1.0132	2.1891	-0.0318	-0.013	
3.05	0.0442	-0.3857	1.0596	2.1891	-0.0428	-0.0152	
3.076	-0.0134	-0.1895	0.9407	2.1902	-0.0554	-0.0198	
3.102	0.0117	-0.0056	1.1279	2.1925	-0.058	-0.0225	
3.119	0.1499	-0.3787	0.9783	2.1928	-0.0622	-0.0261	
3.145	0.0703	0.1135	0.8147	2.1912	-0.0637	-0.0311	
3.171	0.1826	-0.2107	1.3376	2.188	-0.0654	-0.0354	
3.197	0.1514	-0.5784	1.155	2.1885	-0.0639	-0.0396	
3.224	0.2441	0.2329	1.0261	2.1888	-0.06	-0.0433	
3.249	0.1592	-0.8042	0.9465	2.1877	-0.0593	-0.0463	
3.275	-0.0176	0.4211	0.9182	2.1858	-0.054	-0.0462	
3.301	0.2075	-0.2859	0.9207	2.1854	-0.0485	-0.0441	
3.327	0.0894	0.1484	0.9407	2.1841	-0.037	-0.0421	
3.353	0.3176	-0.4312	0.959	2.1817	-0.0278	-0.0392	
3.37	0.4407	0.2556	0.9631	2.181	-0.0163	-0.0358	
3.396	0.0383	0.3179	1.1204	2.1799	0.0015	-0.0235	
3.422	0.0193	0.1003	0.885	2.1803	0.0198	-0.0118	
3.448	-0.2593	0.2771	1.3354	2.1805	0.0362	0.0013	
3.473	-0.293	0.168	0.9031	2.1819	0.0493	0.0096	
3.5	-0.1387	0.2888	1.0737	2.183	0.0598	0.013	
3.526	-0.1409	1.1375	0.7002	2.1782	0.0654	0.0165	
3.551	-0.333	-1.1333	0.342	2.1772	0.0641	0.0156	
3.569	-0.4856	-0.2605	0.9968	2.1778	0.0649	0.0178	
3.595	1.2747	-0.5225	2.0623	2.1807	0.0651	0.0178	
3.621	-0.5439	0.1477	-0.2769	2.1797	0.0719	0.0174	
3.647	0.1426	-4.1821	0.5637	2.1788	0.0731	0.0164	
3.672	0.5359	0.1018	1.3782	2.1819	0.0701	0.009	
3.699	-0.2258	1.1411	0.5259	2.1826	0.0718	0.0053	
3.724	-0.3989	0.3757	0.1377	2.1816	0.0622	-0.001	
3.75	-0.1536	0.4297	0.5049	2.1858	0.0611	-0.0091	
3.777	-0.2676	-0.3096	0.2847	2.1907	0.0494	-0.0168	
3.802	0.3833	0.4316	0.8901	2.1917	0.0385	-0.0268	
3.828	0.2366	-0.3389	1.0161	2.1948	0.0164	-0.0389	
3.845	0.0667	-1.0381	1.0864	2.1993	0.0016	-0.0432	
3.872	0.3149	-0.7847	0.8047	2.2014	-0.0207	-0.0511	
3.897	0.1047	-0.2034	0.7449	2.2022	-0.0482	-0.0542	
3.923	-0.0867	-0.3723	1.1506	2.1998	-0.0725	-0.0574	
3.949	0.3972	-0.6411	1.3315	2.1988	-0.0963	-0.0659	
3.975	0.2227	-0.7354	1.4229	2.2054	-0.1155	-0.0701	
4.001	0.0664	-0.4375	1.0061	2.2168	-0.1306	-0.0769	
4.027	0.1016	-0.9897	1.1414	2.2242	-0.1425	-0.0774	
4.053	-0.4363	-0.4341	1.2017	2.2237	-0.1487	-0.0784	
4.07	0.3845	0.6611	0.9021	2.2174	-0.1519	-0.0809	
4.096	-1.1018	0.9458	-0.0483	2.2152	-0.1584	-0.0802	
4.123	1.0093	0.3979	1.4465	2.2165	-0.1646	-0.0805	
4.148	-0.8445	-0.1365	0.6082	2.2195	-0.175	-0.081	
4.175	1.1958	0.658	1.8162	2.2214	-0.1883	-0.0803	
4.201	-1.2063	-0.1082	-0.4399	2.2218	-0.1975	-0.0806	
4.226	0.9873	0.1084	1.9172	2.2164	-0.205	-0.0792	
4.253	-1.145	0.259	0.0029	2.2166	-0.201	-0.0775	
4.278	1.2109	-0.3259	1.2222	2.2135	-0.1993	-0.0772	
4.296	0.8154	0.1196	2.072	2.2098	-0.1951	-0.0766	
4.321	-0.2187	-0.5522	0.9883	2.2043	-0.1794	-0.0743	
4.348	0.071	0.4932	1.5581	2.2015	-0.161	-0.0651	
4.374	0.281	-1.1414	0.4966	2.2021	-0.1276	-0.0619	
4.4	-0.749	-0.9329	-0.1653	2.2018	-0.0872	-0.057	
4.426	-0.1482	0.9802	-0.0195	2.2041	-0.0417	-0.0526	
4.451	0.209	0.5664	2.0505	2.2026	0.0042	-0.0474	
4.478	0.3113	-0.1045	1.0591	2.2014	0.0424	-0.0401	
4.504	-0.0571	1.0835	0.4265	2.2023	0.0855	-0.0324	
4.521	-0.1443	-0.3035	0.822	2.2	0.11	-0.0319	
4.547	-0.6177	-0.3113	0.0598	2.1971	0.1526	-0.0272	
4.572	0.7505	-0.72	1.8174	2.1927	0.1844	-0.0211	
4.599	-0.8606	2.3625	0.2554	2.1859	0.2388	-0.0116	
4.624	0.6482	-3.717	1.2542	2.1884	0.2892	-0.0052	
4.65	-0.625	2.8013	-1.0474	2.1896	0.3281	-0.0021	
4.677	-0.677	-1.0725	1.2239	2.1999	0.3541	-0.0027	
4.702	0.8013	0.1506	1.2161	2.2044	0.3766	-0.017	
4.728	-0.9988	1.4321	0.3464	2.2078	0.4027	-0.0292	
4.755	1.502	-2.3049	2.4998	2.2079	0.4297	-0.0378	
4.772	1.6018	-2.2869	0.8948	2.2044	0.4367	-0.0375	
4.798	0.1978	7.3833	1.4006	2.1999	0.4437	-0.0417	
4.823	-0.2688	-2.5027	0.1675	2.2083	0.4357	-0.0424	
4.849	1.9175	0.8452	1.2925	2.2148	0.4304	-0.0466	
4.875	-0.8865	2.0605	-0.5095	2.215	0.4296	-0.0452	
4.901	-0.6194	-1.5229	2.3687	2.2172	0.422	-0.0379	
4.927	0.1431	2.5867	0.1729	2.2165	0.3988	-0.0318	
4.953	-0.481	-0.6897	0.9197	2.2205	0.3652	-0.0258	
4.979	1.1968	1.5247	1.7214	2.221	0.3391	-0.021	
4.996	1.1165	1.2769	2.1274	2.219	0.3266	-0.015	
5.022	-0.405	1.7227	-0.3311	2.2198	0.2952	-0.0048	
5.048	0.4622	-3.908	1.791	2.2172	0.2567	0.0034	
5.074	0.2183	1.9324	-0.2297	2.219	0.2057	-0.0002	
5.1	-1.5764	1.3018	-0.1885	2.2236	0.1532	0.0027	
5.126	0.8911	0.2361	3.3596	2.2198	0.105	0.0035	
5.152	-0.3384	0.0935	-1.0479	2.2144	0.0585	-0.0004	
5.177	0.073	-5.5811	-0.7817	2.2075	0.0122	0.0017	
5.204	-0.6675	-2.7668	0.9695	2.2023	-0.0305	-0.0023	
5.221	0.0549	-0.8945	0.9092	2.1982	-0.0547	-0.0042	
5.247	0.0088	-0.7878	0.4382	2.1864	-0.0778	-0.0099	
5.273	-0.1282	-0.2979	0.844	2.1794	-0.0965	-0.0116	
5.298	-0.2085	-0.7605	1.0359	2.1862	-0.1125	-0.0118	
5.325	-0.0513	-0.0513	0.7666	2.1908	-0.1129	-0.0139	
5.35	0.1125	-0.114	1.0225	2.1897	-0.1125	-0.0226	
5.376	0.0356	-0.1875	0.9089	2.1919	-0.1127	-0.025	
5.402	0.1458	0.1018	1.1042	2.1945	-0.1013	-0.0294	
5.427	0.1091	-0.5884	1.2627	2.1934	-0.0917	-0.0323	
5.454	0.2617	0.239	1.1829	2.192	-0.071	-0.0341	
5.48	0.0471	-0.009	1.0757	2.1904	-0.0516	-0.0327	
5.497	0.0261	0.7529	1.116	2.188	-0.0366	-0.0327	
5.523	0.0205	0.2698	1.0515	2.1846	-0.0177	-0.0303	
5.549	0.1348	0.3643	1.0288	2.1836	-0.0003	-0.0294	
5.575	0.0051	0.8164	1.1116	2.1836	0.0107	-0.0265	
5.6	-0.1189	-0.0051	0.8457	2.1855	0.018	-0.0206	
5.627	0.0054	0.4045	0.9053	2.1857	0.0251	-0.0176	
5.653	0.0598	0.1963	1.134	2.1857	0.0219	-0.0151	
5.678	0.01	0.2451	0.9817	2.1864	0.0203	-0.0134	
5.705	0.1111	0.533	1.1289	2.1878	0.0105	-0.0154	
5.722	-0.1472	0.2429	0.606	2.1884	0.0002	-0.014	
5.748	0.1243	0.2012	1.0364	2.1887	-0.0168	-0.0155	
5.773	-0.0452	0.0286	1.2356	2.1899	-0.0416	-0.0141	
5.8	-0.1658	-0.2935	0.9783	2.191	-0.0654	-0.017	
5.826	0.0884	-0.1208	0.9265	2.1917	-0.0882	-0.0233	
5.851	-0.0352	0.1746	0.9165	2.1921	-0.1142	-0.0283	
5.877	0.0137	-0.2258	1.0122	2.1945	-0.1444	-0.0345	
5.902	0.1006	-0.0667	1.1289	2.195	-0.1742	-0.0406	
5.929	0.0259	0.2041	1.0596	2.1944	-0.201	-0.0417	
5.955	0.0361	-0.8625	0.9231	2.1948	-0.2317	-0.0419	
5.971	0.2373	0.0557	1.0605	2.1952	-0.2513	-0.0425	
5.998	0.1855	0.0229	0.8723	2.1965	-0.286	-0.0426	
6.023	0.0571	-0.0999	0.9009	2.1969	-0.321	-0.042	
6.049	0.0354	-0.4529	1.0723	2.1973	-0.3588	-0.0387	
6.075	0.0688	-0.1528	0.8572	2.1971	-0.3936	-0.0354	
6.101	-0.0042	-0.0544	0.949	2.1967	-0.4272	-0.031	
6.127	-0.2639	-0.4431	0.6074	2.1954	-0.4613	-0.0268	
6.153	-0.2476	-0.3652	0.8972	2.1957	-0.4912	-0.0243	
6.179	-0.1226	-0.283	0.6636	2.1972	-0.5209	-0.024	
6.204	-0.1951	-0.5061	0.8413	2.2009	-0.5491	-0.0226	
6.222	-0.1699	0.3186	0.8782	2.2051	-0.5668	-0.0234	
6.248	-0.3442	-0.1582	0.7188	2.2175	-0.6012	-0.0236	
6.274	0.0876	0.0669	0.4292	2.2338	-0.639	-0.0297	
6.3	0.0129	-0.4353	0.9299	2.2424	-0.679	-0.051	
6.325	-0.2986	-2.801	0.8201	2.249	-0.72	-0.0704	
6.351	0.3306	-0.7004	0.2471	2.2441	-0.7562	-0.1016	
6.378	0.8179	-0.9082	1.1172	2.2208	-0.7924	-0.1352	
6.403	0.2222	-1.72	0.2346	2.17	-0.8026	-0.1796	
6.429	1.6353	0.8149	1.4187	2.0845	-0.8008	-0.2281	
