L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
7.78022	5.52363	-0.0159608	-5.49451	-7.78022	8.11648	5.49451	-0.0155914	-5.41044	-8.15275	-650.98	-8.07	-478.82	-664.43	602.56	-75.32	-290.52	0	
7.78022	5.52363	-0.0159608	-5.49451	-7.78022	8.11648	5.49451	-0.0155914	-5.41044	-8.06484	-984.54	-8.07	-546.07	-968.4	581.04	-72.63	-196.37	352.39	
7.78022	5.52363	-0.0159608	-5.49451	-7.78022	8.02857	5.49451	-0.0155914	-5.49835	-7.97692	-1011.44	-8.07	-559.52	-911.91	562.21	-78.01	-242.1	303.97	
7.69231	5.52363	-0.0159608	-5.49451	-7.69231	7.94066	5.49451	-0.0155914	-5.41044	-7.97692	-995.3	-8.07	-575.66	-973.78	430.4	-75.32	-161.4	96.84	
7.51648	5.52363	-0.0159608	-5.49451	-7.51648	7.76484	5.49451	-0.0155914	-5.41044	-7.8011	-946.88	-8.07	-524.55	-1199.74	303.97	-75.32	-220.58	5.38	
7.34066	5.52363	-0.0159608	-5.58242	-7.34066	7.58901	5.49451	-0.0155914	-5.41044	-7.71319	-796.24	34.97	-564.9	-1154.01	309.35	-75.32	-147.95	-158.71	
7.16484	5.61154	-0.0159608	-5.49451	-7.16484	7.32527	5.49451	-0.0155914	-5.49835	-7.27363	-1008.75	-48.42	-333.56	-1240.09	282.45	-72.63	-164.09	-279.76	
6.72527	5.61154	-0.0159608	-5.49451	-6.9011	7.06154	5.49451	-0.0155914	-5.49835	-7.00989	-1280.44	-32.28	-430.4	-1240.09	486.89	-69.94	-96.84	-61.87	
6.37363	5.61154	-0.0159608	-5.58242	-6.37363	6.62198	5.49451	-0.0155914	-5.49835	-6.65824	-1237.4	-10.76	-336.25	-1439.15	328.18	-75.32	-142.57	-51.11	
5.93407	5.61154	-0.0159608	-5.58242	-6.02198	6.09451	5.49451	-0.0155914	-5.49835	-6.04286	-1207.81	-21.52	-435.78	-1369.21	430.4	-72.63	-115.67	-112.98	
5.31868	5.61154	-0.0159608	-5.58242	-5.40659	5.47912	5.49451	-0.0155914	-5.41044	-5.6033	-1137.87	-86.08	-330.87	-1379.97	285.14	-64.56	-59.18	102.22	
4.7033	5.61154	-0.0159608	-5.58242	-4.7033	4.95165	5.49451	-0.0155914	-5.49835	-4.81209	-1240.09	-16.14	-263.62	-1449.91	252.86	26.9	0	317.42	
3.91209	5.61154	-0.0159608	-5.58242	-3.91209	4.07253	5.49451	-0.0155914	-5.49835	-4.02088	-761.27	-24.21	-266.31	-1433.77	373.91	32.28	-118.36	-150.64	
2.94505	5.61154	-0.0159608	-5.58242	-2.94505	3.10549	5.49451	-0.0155914	-5.41044	-3.05385	-1086.76	-8.07	-260.93	-1393.42	61.87	142.57	-69.94	-37.66	
1.89011	5.61154	-0.0159608	-5.58242	-1.8022	2.05055	5.49451	-0.0155914	-5.49835	-1.9989	-971.09	-5.38	-247.48	-1253.54	298.59	40.35	-61.87	-524.55	
0.835165	5.61154	-0.0159608	-5.58242	-0.747253	1.08352	5.40659	-0.0155914	-5.49835	-0.856044	-836.59	-5.38	-169.47	-1240.09	503.03	-43.04	-94.15	201.75	
-0.307692	5.61154	-0.0159608	-5.58242	0.483516	-0.147253	5.40659	-0.0155914	-5.49835	0.286813	-610.63	137.19	-258.24	-936.12	172.16	-10.76	-150.64	-274.38	
-1.45055	5.61154	-0.0123185	-5.58242	1.62637	-1.2022	5.40659	-0.0121295	-5.49835	1.25385	-632.15	-5.38	-274.38	-524.55	336.25	126.43	-156.02	368.53	
-2.41758	5.61154	-0.0126621	-5.58242	2.59341	-2.08132	5.49451	-0.0122326	-5.49835	2.30879	-578.35	2.69	-287.83	102.22	667.12	139.88	-75.32	269	
-3.20879	5.61154	-0.0130487	-5.58242	3.38462	-2.96044	5.40659	-0.0123099	-5.49835	3.01209	-564.9	-8.07	-295.9	-225.96	804.31	-51.11	-72.63	774.72	
-3.82418	5.61154	-0.0133579	-5.58242	4	-3.57582	5.40659	-0.0124731	-5.49835	3.71538	-675.19	-8.07	-285.14	-204.44	685.95	26.9	-75.32	1229.33	
