time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.00556796	7.73297	5.51597	-0.0155968	-5.4969	-7.71771	0.00538979	8.21457	5.50949	-0.0159651	-5.49039	-8.19931	
0.05	0.0055918	7.66845	5.51682	-0.0155402	-5.49775	-7.65319	0.00541362	8.15021	5.51039	-0.0159056	-5.4913	-8.13495	
0.075	0.00563216	7.55917	5.51825	-0.0154454	-5.49919	-7.54391	0.00545397	8.04121	5.5119	-0.0158058	-5.49281	-8.02595	
0.1	0.00569	7.40249	5.52026	-0.015312	-5.5012	-7.38723	0.00551179	7.88492	5.51403	-0.0156652	-5.49495	-7.86966	
0.125	0.00576668	7.19461	5.52286	-0.0151393	-5.50382	-7.17935	0.00558844	7.67754	5.51679	-0.015483	-5.49773	-7.66228	
0.15	0.00586402	6.93045	5.52607	-0.0149271	-5.50703	-6.91519	0.00568575	7.41401	5.5202	-0.0152587	-5.50115	-7.39875	
0.175	0.00598432	6.6036	5.52987	-0.0146758	-5.51085	-6.58834	0.00580601	7.08789	5.52426	-0.0149923	-5.50522	-7.07263	
0.2	0.00613042	6.20607	5.53425	-0.0143867	-5.51524	-6.19082	0.00595208	6.69123	5.52895	-0.014685	-5.50992	-6.67597	
0.225	0.0063058	5.72818	5.53916	-0.0140633	-5.52018	-5.71292	0.00612741	6.21429	5.53424	-0.0143395	-5.51523	-6.19903	
0.25	0.00651459	5.15823	5.54452	-0.0137117	-5.52555	-5.14297	0.00633615	5.64539	5.54004	-0.0139616	-5.52106	-5.63014	
0.275	0.00676173	4.48233	5.55016	-0.0133426	-5.53121	-4.46707	0.00658324	4.97061	5.54623	-0.0135614	-5.52726	-4.95535	
0.3	0.00705308	3.68403	5.55583	-0.0129735	-5.5369	-3.66877	0.00687453	4.17343	5.55254	-0.0131554	-5.5336	-4.15817	
0.025	0.00739205	2.75353	5.56107	-0.0126339	-5.54216	-2.73827	0.00721346	3.24398	5.55853	-0.0127729	-5.53962	-3.22872	
0.05	0.00776822	1.71931	5.56518	-0.0123707	-5.54629	-1.70405	0.00758959	2.2106	5.56349	-0.0124617	-5.54459	-2.19534	
0.075	0.00816571	0.625288	5.56755	-0.0122225	-5.54866	-0.610028	0.00798706	1.11709	5.56676	-0.0122629	-5.54786	-1.10183	
0.1	0.0085664	-0.477979	5.56789	-0.0122085	-5.549	0.493239	0.00838775	0.013935	5.568	-0.0121977	-5.54911	0.00132445	
0.125	0.00805501	-1.53468	5.56553	-0.0123266	-5.54852	1.54841	0.00789422	-1.04299	5.56652	-0.0122669	-5.54951	1.05672	
0.15	0.00836433	-2.47997	5.56244	-0.0125349	-5.54542	2.4937	0.00820357	-1.98883	5.5642	-0.0124313	-5.54719	2.00256	
0.025	0.00861991	-3.26007	5.55875	-0.0127826	-5.54173	3.27381	0.00845962	-2.77093	5.56115	-0.0126433	-5.54413	2.78466	
