Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.009	0.0671	-0.0208	1.0684	0.2794	-0.0027	-0.0218	
0.044	0.0122	-0.1628	1.0122	0.2794	-0.0049	-0.0195	
0.078	0.0078	-0.0684	1.0315	0.2799	-0.006	-0.0195	
0.112	0.0435	-0.0759	1.0225	0.28	-0.0101	-0.0212	
0.147	-0.0125	0.1365	0.925	0.2799	-0.0086	-0.0193	
0.182	0.0334	0.0002	1.0286	0.2802	-0.0101	-0.0218	
0.216	0.0386	0.0273	1.0259	0.2802	-0.0076	-0.0201	
0.251	0.0422	0.04	0.9951	0.2802	-0.0043	-0.0217	
0.294	0.0117	0.0261	0.9663	0.2804	0.0021	-0.0223	
0.328	0.0037	0.0159	1.0037	0.2808	-0.0021	-0.0199	
0.363	0.0088	-0.0586	1.0015	0.2811	-0.0036	-0.0176	
0.398	0.02	-0.0129	1.0166	0.2812	-0.0089	-0.0157	
0.432	0.0452	-0.0295	1.0415	0.2813	-0.0056	-0.0143	
0.467	0.0598	0.019	1.0186	0.2811	-0.0067	-0.0157	
0.502	-0.0081	0.0198	0.9993	0.2813	-0.0069	-0.0149	
0.519	0.0244	0.0481	0.9888	0.2814	-0.0051	-0.017	
0.519	0.0244	0.0481	0.9888	0.2814	-0.0051	-0.017	
2.907	0.1462	0.1494	1.0654	0.2974	0.0102	-0.0148	
2.942	-0.0796	0.3298	1.1375	0.2992	0.0027	-0.0174	
2.977	0.0259	0.0771	1.1375	0.3003	-0.0124	-0.0216	
3.002	0.1204	0.2095	1.1738	0.3007	-0.0256	-0.0249	
3.02	0.075	-0.7021	0.8523	0.3016	-0.0356	-0.0246	
3.045	0.1057	-0.1375	1.0986	0.3017	-0.0466	-0.0271	
3.072	0.1328	-0.1841	1.0801	0.3025	-0.0572	-0.0317	
3.097	0.1704	-0.0205	1.0649	0.3057	-0.0626	-0.0365	
3.123	0.0291	-0.4805	1.0212	0.3054	-0.0683	-0.0357	
3.149	-0.0522	-0.2314	1.0398	0.3021	-0.0712	-0.0404	
3.175	0.0208	-0.094	0.9006	0.3013	-0.0736	-0.0401	
3.201	0.093	0.1487	1.0383	0.3033	-0.066	-0.0415	
3.226	0.0889	-0.0444	0.9646	0.3038	-0.0592	-0.0428	
3.252	0.0173	-0.4929	0.8884	0.2995	-0.0534	-0.0444	
3.269	0.0835	0.1191	1.1062	0.2961	-0.0481	-0.0454	
3.296	0.2029	-0.1204	0.9636	0.2949	-0.0462	-0.0466	
3.322	0.1987	0.123	0.9307	0.2952	-0.0367	-0.0468	
3.347	0.0464	-0.1355	0.8601	0.2942	-0.0287	-0.0421	
3.374	0.282	0.3975	0.96	0.293	-0.0144	-0.0347	
3.399	0.1924	0.2439	1.1006	0.2917	-0.0001	-0.0276	
3.425	-0.0706	0.5981	1.0146	0.2918	0.016	-0.0164	
3.452	-0.1865	-0.7119	1.0435	0.2931	0.0249	-0.0082	
3.477	-0.1594	0.2224	0.9543	0.2946	0.0362	-0.0014	
3.495	-0.3149	0.7607	0.8613	0.2963	0.044	0.002	
3.52	-0.2925	-0.1106	0.4824	0.2952	0.0446	0.0003	
3.547	0.155	1.1582	1.6531	0.2899	0.0497	0.0005	
3.573	-0.311	-0.8787	0.8579	0.2877	0.0484	0.0025	
3.598	-0.5481	0.1147	1.3384	0.289	0.0465	0.0035	
3.625	0.3647	0.9036	1.106	0.2921	0.0412	0.0004	
3.65	0.1294	0.6069	0.7715	0.293	0.039	-0.0002	
3.676	-0.1855	0.7747	0.8628	0.29	0.033	-0.0008	
3.703	0.0552	0.0137	1.217	0.2913	0.0245	-0.0059	
3.72	-0.396	0.3545	0.1587	0.2939	0.0187	-0.008	
3.746	0.0459	-0.3333	0.2971	0.2971	0.0098	-0.0153	
3.771	0.0393	0.5154	1.4001	0.2986	0.0032	-0.018	
3.798	0.2871	0.2795	0.7429	0.3014	-0.0111	-0.0252	
3.823	0.1348	-0.6165	1.166	0.3021	-0.0266	-0.0294	
3.85	0.2046	0.1733	1.3232	0.3005	-0.0357	-0.0343	
3.876	0.0286	-0.1089	0.9548	0.3026	-0.0496	-0.0368	
3.901	0.2175	-0.0613	0.9214	0.3035	-0.0574	-0.0428	
3.927	0.1477	0.0039	1.1667	0.3063	-0.0668	-0.0506	
3.953	-0.0361	-0.554	0.8477	0.3109	-0.0783	-0.0525	
3.971	-0.0044	-0.2439	0.9612	0.3114	-0.0835	-0.0522	
3.996	0.2222	-0.4929	0.9954	0.3103	-0.0867	-0.0543	
4.022	0.1431	-0.5044	0.7126	0.3114	-0.0863	-0.0541	
4.048	0.3867	-0.2549	1.2434	0.3137	-0.0852	-0.0561	
4.074	-0.175	-0.0374	0.9912	0.3105	-0.0843	-0.0527	
4.1	0.3113	-0.8569	1.1333	0.3095	-0.0803	-0.0522	
4.125	-0.0281	-0.1282	0.8853	0.3109	-0.079	-0.0501	
4.152	-0.0295	-0.4612	0.8977	0.3107	-0.0711	-0.0458	
4.178	-0.1946	0.2346	0.9915	0.3088	-0.0591	-0.0431	
4.195	0.0984	0.4744	1.0283	0.3066	-0.0528	-0.042	
4.221	0.0432	0.0942	0.9019	0.3056	-0.042	-0.0384	
4.246	-0.0737	0.3499	0.9841	0.3045	-0.0289	-0.0322	
4.273	-0.0295	0.415	0.8381	0.3018	-0.0173	-0.0232	
4.299	-0.1951	0.5679	0.7761	0.3018	-0.0042	-0.0143	
4.324	-0.1208	0.4666	0.9556	0.3061	0.0092	-0.0069	
4.351	-0.0288	0.0837	1.0088	0.309	0.0187	-0.0031	
4.376	-0.167	0.032	0.8821	0.311	0.022	-0.0002	
4.402	-0.2769	0.5488	0.9553	0.3117	0.027	-0.001	
4.419	0.0598	0.9465	1.239	0.3105	0.0289	-0.0036	
4.446	-0.0442	1.5459	0.7891	0.3072	0.0337	-0.0035	
4.472	-0.1152	1.1145	0.8677	0.3017	0.027	-0.0073	
4.497	-0.291	0.1887	0.9082	0.3058	0.0188	-0.0081	
4.524	-0.0732	0.1108	1.0125	0.3064	0.0188	-0.0085	
4.549	0.0806	0.074	1.114	0.308	0.0126	-0.0113	
4.575	-0.1797	-0.1733	0.9504	0.3086	0.0018	-0.014	
4.602	-0.0779	-0.1892	1.105	0.3101	-0.0067	-0.0151	
4.627	0.1221	-0.1172	0.9058	0.3113	-0.0072	-0.0152	
4.654	0.0066	-0.4429	1.0889	0.3105	-0.0135	-0.0122	
4.67	0.0554	-0.3186	1.1372	0.3106	-0.0184	-0.0142	
4.697	0.0723	0.0413	1.0393	0.3105	-0.0204	-0.0153	
4.722	-0.146	-0.3528	0.9246	0.3107	-0.0266	-0.0161	
4.749	0.0344	-0.1902	0.8718	0.3113	-0.0292	-0.0143	
4.775	0.0879	-0.3643	1.0212	0.3114	-0.0338	-0.0134	
4.8	-0.0232	0.0872	1.1924	0.3122	-0.0334	-0.0126	
4.827	0.0823	-0.1555	0.9807	0.3138	-0.0403	-0.0164	
4.853	0.0325	0.1223	1.0396	0.3145	-0.0426	-0.0181	
4.879	-0.0935	-0.3748	0.894	0.3162	-0.045	-0.0183	
4.896	0.0024	-0.1704	1.0005	0.3165	-0.0485	-0.0181	
4.922	-0.0186	-0.1287	1.0623	0.3162	-0.052	-0.0165	
4.948	-0.0151	0.0344	0.9978	0.315	-0.0481	-0.0157	
4.973	-0.0374	-0.2444	1.0544	0.3149	-0.0506	-0.0152	
5	-0.2358	0.335	1.0308	0.3145	-0.048	-0.0151	
5.026	0.1199	-0.4465	0.8608	0.3145	-0.0513	-0.0165	
5.051	-0.0815	-0.8306	1.0088	0.3137	-0.0526	-0.0144	
5.078	0.0889	0.0305	1.1714	0.3143	-0.0504	-0.014	
5.103	-0.0195	-0.4575	1.1189	0.3126	-0.0505	-0.0123	
5.121	0.012	-0.2729	0.9966	0.3119	-0.051	-0.0117	
5.146	0.0618	0.4707	1.0557	0.3107	-0.0497	-0.0116	
5.173	-0.0161	-0.3628	0.8936	0.3101	-0.0486	-0.0126	
5.199	0.1699	-0.0222	0.968	0.3094	-0.0444	-0.0141	
5.224	-0.0227	0.5146	1.0078	0.3091	-0.0338	-0.0115	
5.251	-0.1492	0.2161	1.0256	0.3093	-0.0184	-0.0097	
5.276	-0.0376	0.5308	0.6689	0.3078	-0.0087	-0.0112	
5.302	-0.0981	0.3577	0.9705	0.3063	0.0008	-0.0122	
5.329	0.0664	0.2991	1.0449	0.3058	0.008	-0.0138	
5.346	0.0229	0.4861	1.0544	0.3057	0.0109	-0.0138	
5.372	0.0298	0.3159	0.9114	0.3061	0.0158	-0.0144	
5.397	0.0735	-0.053	1.0415	0.3055	0.0145	-0.0155	
5.424	0.0283	-0.3713	0.9993	0.3048	0.0113	-0.0149	
5.45	-0.2883	0.365	1.0889	0.3073	0.0095	-0.0139	
5.475	-0.2007	0.0217	0.9822	0.3083	-0.0036	-0.0129	
5.502	-0.1528	0.082	1.0635	0.3105	-0.0062	-0.0109	
5.527	-0.2253	0.436	0.7959	0.3113	-0.0113	-0.0108	
5.554	-0.0535	0.0391	1.1746	0.3133	-0.0152	-0.0069	
5.58	0.0535	-0.019	0.8789	0.3141	-0.0216	-0.0084	
5.597	0.1506	0.1016	0.9216	0.3139	-0.0237	-0.0093	
5.623	-0.0867	-0.7188	1.0017	0.3142	-0.0332	-0.0102	
5.649	-0.1145	-0.1064	1.0168	0.3151	-0.0427	-0.0097	
5.675	0.2881	-0.2063	1.1611	0.3165	-0.0522	-0.0143	
5.7	0.0837	0.062	1.1401	0.319	-0.0563	-0.0174	
5.727	0.084	-0.2573	1.0842	0.3201	-0.0612	-0.021	
5.753	0.0793	-0.4241	0.9807	0.3192	-0.0656	-0.0248	
5.778	0.0439	0.0522	0.9211	0.3184	-0.0644	-0.0287	
5.804	0.1067	-0.2202	1.0601	0.32	-0.0661	-0.0315	
5.821	0.1104	-0.1492	1.011	0.3198	-0.0639	-0.0341	
5.848	0.1487	-0.0403	1.0715	0.3184	-0.0617	-0.0373	
5.873	0.2192	-0.1694	1.001	0.317	-0.059	-0.0391	
5.899	-0.0693	0.1265	0.9829	0.3169	-0.0548	-0.0364	
5.925	0.1084	-0.5122	0.9314	0.3169	-0.0532	-0.033	
5.951	-0.0801	-0.3635	0.8982	0.316	-0.0529	-0.0299	
5.977	-0.0828	-0.1292	0.8191	0.3159	-0.0544	-0.0245	
6.002	0.0122	-0.1499	1.064	0.3154	-0.0529	-0.018	
6.029	-0.1177	-0.27	0.9622	0.3143	-0.0552	-0.0139	
6.046	-0.2085	0.2297	0.8882	0.3142	-0.0542	-0.0116	
