L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
7.78022	5.52363	-0.0159522	-5.58242	-7.69231	8.11648	5.49451	-0.0156	-5.41044	-8.06484	-844.66	107.6	-298.59	-572.97	763.96	13.45	-126.43	-53.8	
7.78022	5.52363	-0.0159522	-5.58242	-7.69231	8.11648	5.49451	-0.0156	-5.41044	-8.06484	-1038.34	99.53	-287.83	-898.46	446.54	-2.69	-123.74	279.76	
7.78022	5.52363	-0.0159522	-5.58242	-7.69231	8.11648	5.49451	-0.0156	-5.41044	-7.97692	-1210.5	96.84	-282.45	-968.4	478.82	-8.07	-123.74	102.22	
7.6044	5.52363	-0.0159522	-5.58242	-7.6044	8.02857	5.49451	-0.0156	-5.41044	-7.88901	-965.71	99.53	-285.14	-1205.12	478.82	0	-225.96	123.74	
7.51648	5.52363	-0.0159522	-5.58242	-7.51648	7.85275	5.49451	-0.0156	-5.41044	-7.8011	-1162.08	94.15	-279.76	-1162.08	481.51	0	-118.36	-21.52	
7.25275	5.52363	-0.0159522	-5.58242	-7.34066	7.67692	5.49451	-0.0156	-5.49835	-7.62527	-1180.91	45.73	-274.38	-1140.56	497.65	0	-137.19	-150.64	
7.07692	5.61154	-0.0159522	-5.58242	-7.07692	7.32527	5.49451	-0.0156	-5.49835	-7.36154	-1232.02	83.39	-269	-1199.74	454.61	0	-80.7	-352.39	
6.72527	5.52363	-0.0159522	-5.58242	-6.72527	7.06154	5.49451	-0.0156	-5.49835	-7.00989	-1318.1	64.56	-269	-1369.21	322.8	0	-61.87	-129.12	
6.37363	5.52363	-0.0159522	-5.58242	-6.37363	6.62198	5.49451	-0.0156	-5.49835	-6.65824	-1288.51	-64.56	-269	-1441.84	309.35	0	-2.69	0	
5.84615	5.52363	-0.0159522	-5.58242	-5.93407	6.18242	5.49451	-0.0156	-5.49835	-6.04286	-1162.08	72.63	-271.69	-1369.21	320.11	0	-21.52	-250.17	
5.31868	5.61154	-0.0159522	-5.58242	-5.40659	5.47912	5.49451	-0.0156	-5.49835	-5.6033	-1164.77	-56.49	-269	-1240.09	330.87	0	0	-115.67	
4.61538	5.61154	-0.0159522	-5.58242	-4.7033	4.95165	5.49451	-0.0156	-5.49835	-4.9	-1197.05	-10.76	-263.62	-1436.46	368.53	0	123.74	-16.14	
3.82418	5.52363	-0.0159522	-5.58242	-3.82418	4.16044	5.49451	-0.0156	-5.49835	-3.93297	-1092.14	26.9	-266.31	-1363.83	419.64	137.19	51.11	-40.35	
2.94505	5.61154	-0.0159522	-5.58242	-2.85714	3.19341	5.49451	-0.0156	-5.49835	-3.05385	-1113.66	64.56	-320.11	-1363.83	290.52	0	-67.25	-231.34	
1.8022	5.61154	-0.0159522	-5.58242	-1.8022	2.13846	5.49451	-0.0156	-5.49835	-1.9989	-995.3	91.46	-271.69	-1269.68	298.59	2.69	32.28	-158.71	
0.747253	5.61154	-0.0159522	-5.58242	-0.659341	0.907692	5.49451	-0.0156	-5.49835	-0.856044	-626.77	86.08	-282.45	-1175.53	287.83	34.97	-69.94	-53.8	
-0.395604	5.61154	-0.0159522	-5.58242	0.571429	-0.0593407	5.40659	-0.0156	-5.41044	0.198901	-903.84	8.07	-290.52	-995.3	338.94	51.11	99.53	-142.57	
-1.45055	5.61154	-0.0123786	-5.58242	1.71429	-1.2022	5.49451	-0.012181	-5.49835	1.25385	-578.35	-8.07	-303.97	-497.65	578.35	75.32	-115.67	250.17	
-2.41758	5.61154	-0.0127222	-5.58242	2.68132	-2.08132	5.49451	-0.0121896	-5.49835	2.22088	-672.5	94.15	-309.35	69.94	605.25	8.07	-121.05	478.82	
-3.2967	5.61154	-0.0131174	-5.58242	3.47253	-2.96044	5.49451	-0.0123271	-5.49835	3.1	-562.21	91.46	-306.66	244.79	642.91	2.69	-129.12	505.72	
-3.91209	5.61154	-0.0133321	-5.58242	4.17582	-3.48791	5.49451	-0.0124387	-5.49835	3.71538	-462.68	91.46	-303.97	-217.89	766.65	5.38	-123.74	841.97	
-4.35165	5.61154	-0.0135469	-5.58242	4.43956	-3.92747	5.49451	-0.0125418	-5.49835	4.15495	-737.06	21.52	-104.91	271.69	868.87	67.25	-107.6	895.77	
