time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.025	-3.85203e-05	0.00403204	0.227271	-2.37218e-05	-5.4947e-06	2.61043e-05	-2.37203e-05	0.0700823	2.61042e-05	0.0303245	-0.0109381	0.311554	0	0	0	0	0	0	0	0.00374057	0	0	0.150797	0	0	0	0	0	0.0700878	0	
0.05	-3.85145e-05	0.00417298	0.227272	-2.37258e-05	-5.31745e-06	2.61e-05	-2.37243e-05	0.0700824	2.60999e-05	0.030324	-0.0107297	0.311548	-1.94343e-05	0.00833852	-0.000215126	-0.000777372	0.333541	-0.00860503	0	0.00756953	0	0	0.156121	0	0	0	0	0	0.0700878	0	
0.075	-3.85047e-05	0.00441157	0.227272	-2.37325e-05	-5.01741e-06	2.60928e-05	-2.3731e-05	0.0700827	2.60926e-05	0.0303232	-0.0103768	0.311539	-3.27124e-05	0.0141153	-0.000362116	-0.000531125	0.231072	-0.00587961	0	0.0115773	0	0	0.165134	0	0	0	0	0	0.0700878	0	
0.1	-3.84909e-05	0.00475345	0.227272	-2.37421e-05	-4.58751e-06	2.60825e-05	-2.37406e-05	0.0700832	2.60824e-05	0.0303221	-0.00987119	0.311526	-4.64621e-05	0.0202241	-0.000514341	-0.000549985	0.244352	-0.00608899	0	0.0158587	0	0	0.178048	0	0	0	0	0	0.0700878	0	
0.125	-3.84727e-05	0.0052067	0.227272	-2.37549e-05	-4.01762e-06	2.60693e-05	-2.37534e-05	0.0700837	2.60691e-05	0.0303205	-0.00920098	0.311509	-6.08467e-05	0.0268085	-0.000673619	-0.000575385	0.263375	-0.00637112	0	0.0205148	0	0	0.195169	0	0	0	0	0	0.0700878	0	
0.15	-3.845e-05	0.00578203	0.227272	-2.3771e-05	-3.29435e-06	2.60529e-05	-2.37695e-05	0.0700845	2.60528e-05	0.0303186	-0.0083504	0.311488	-7.59991e-05	0.0340231	-0.000841431	-0.000606095	0.288583	-0.00671249	0	0.0256556	0	0	0.216902	0	0	0	0	0	0.0700878	0	
0.175	-3.84226e-05	0.00649303	0.227272	-2.37908e-05	-2.40067e-06	2.60335e-05	-2.37894e-05	0.0700854	2.60333e-05	0.0303163	-0.00729947	0.311463	-9.20037e-05	0.0420371	-0.00101873	-0.000640184	0.320562	-0.00709188	0	0.0314026	0	0	0.24376	0	0	0	0	0	0.0700878	0	
0.2	-3.83901e-05	0.00735651	0.227272	-2.38148e-05	-1.31558e-06	2.60111e-05	-2.38134e-05	0.0700864	2.60109e-05	0.0303136	-0.00602351	0.311433	-0.000108871	0.0510385	-0.00120565	-0.000674698	0.360056	-0.00747679	0	0.0378915	0	0	0.276378	0	0	0	0	0	0.0700878	0	
0.225	-3.83523e-05	0.00839287	0.227272	-2.38435e-05	-1.35754e-08	2.59859e-05	-2.3842e-05	0.0700878	2.59856e-05	0.0303105	-0.00449256	0.311398	-0.000126501	0.061238	-0.00140111	-0.000705202	0.407981	-0.00781846	0	0.0452758	0	0	0.315525	0	0	0	0	0	0.0700878	0	
0.25	-3.83092e-05	0.0096266	0.227273	-2.38773e-05	1.53593e-06	2.59582e-05	-2.38759e-05	0.0700893	2.59579e-05	0.0303068	-0.0026707	0.311358	-0.00014463	0.0728743	-0.00160223	-0.000725134	0.465452	-0.00804468	0	0.0537299	0	0	0.362128	0	0	0	0	0	0.0700878	0	
