L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
8.30769	5.52363	-0.0165449	-5.49451	-8.30769	8.38022	5.49451	-0.0163645	-5.41044	-8.32857	-357.77	207.13	-387.36	-801.62	182.92	43.04	-91.46	-37.66	
8.30769	5.52363	-0.0165449	-5.49451	-8.30769	8.38022	5.49451	-0.0163645	-5.41044	-8.32857	-368.53	207.13	-387.36	-753.2	228.65	43.04	-161.4	-37.66	
8.30769	5.52363	-0.0165449	-5.49451	-8.30769	8.29231	5.49451	-0.0163645	-5.41044	-8.24066	-384.67	199.06	-376.6	-1151.32	182.92	34.97	-115.67	-91.46	
8.21978	5.52363	-0.0165449	-5.49451	-8.21978	8.2044	5.49451	-0.0163731	-5.41044	-8.24066	-546.07	266.31	-365.84	-1065.24	207.13	26.9	-134.5	-32.28	
8.13187	5.52363	-0.0165449	-5.49451	-8.21978	8.2044	5.49451	-0.0163731	-5.41044	-8.15275	-664.43	188.3	-371.22	-1172.84	188.3	29.59	-147.95	147.95	
8.04396	5.52363	-0.0165449	-5.49451	-8.04396	8.02857	5.49451	-0.0163731	-5.41044	-8.06484	-492.27	196.37	-371.22	-1094.83	207.13	34.97	-91.46	29.59	
7.86813	5.52363	-0.0165449	-5.49451	-7.95604	7.85275	5.49451	-0.0163731	-5.41044	-7.88901	-446.54	193.68	-352.39	-1245.47	145.26	26.9	-102.22	153.33	
7.69231	5.52363	-0.0165449	-5.49451	-7.86813	7.67692	5.49451	-0.0163731	-5.41044	-7.62527	-468.06	185.61	-516.48	-1304.65	40.35	24.21	-104.91	-166.78	
7.51648	5.52363	-0.0165449	-5.49451	-7.6044	7.5011	5.49451	-0.0163731	-5.41044	-7.44945	-699.4	185.61	-352.39	-1342.31	207.13	21.52	-147.95	-32.28	
7.25275	5.52363	-0.0165449	-5.58242	-7.34066	7.23736	5.49451	-0.0163731	-5.41044	-7.18571	-696.71	185.61	-363.15	-1371.9	199.06	16.14	-145.26	29.59	
6.9011	5.52363	-0.0165449	-5.58242	-7.07692	6.88571	5.49451	-0.0163731	-5.49835	-6.83407	-527.24	207.13	-379.29	-1304.65	5.38	24.21	-69.94	-336.25	
6.54945	5.61154	-0.0165449	-5.58242	-6.63736	6.44615	5.49451	-0.0163731	-5.49835	-6.48242	-624.08	121.05	-322.8	-1587.1	204.44	16.14	-8.07	13.45	
6.10989	5.61154	-0.0165449	-5.58242	-6.1978	6.00659	5.49451	-0.0163731	-5.49835	-5.95495	-887.7	13.45	-333.56	-1444.53	78.01	16.14	-69.94	78.01	
5.58242	5.61154	-0.0165449	-5.58242	-5.58242	5.47912	5.49451	-0.0163731	-5.49835	-5.42747	-656.36	61.87	-336.25	-1425.7	220.58	32.28	-99.53	217.89	
4.87912	5.61154	-0.0165449	-5.58242	-4.87912	4.77582	5.49451	-0.0163731	-5.49835	-4.72418	-694.02	142.57	-352.39	-1350.38	16.14	78.01	-72.63	0	
