time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.025	-3.84726e-05	0.00691458	0.227271	-2.37885e-05	-2.57752e-06	2.58475e-05	-2.37257e-05	0.0737193	2.58406e-05	0.0303172	-0.00750851	0.311247	0	0	0	0	0	0	0	0.00643947	0	0	0.2596	0	0	0	0	0	0.073725	0	
0.05	-3.84629e-05	0.0071572	0.227271	-2.37953e-05	-2.27267e-06	2.58406e-05	-2.37325e-05	0.0737196	2.58333e-05	0.0303163	-0.00715006	0.311238	-3.24273e-05	0.0143379	-0.000363319	-0.00129709	0.573516	-0.0145328	0	0.0130311	0	0	0.268765	0	0	0	0	0	0.073725	0	
0.075	-3.84467e-05	0.00756793	0.227271	-2.38068e-05	-1.75666e-06	2.58291e-05	-2.3744e-05	0.0737201	2.58211e-05	0.030315	-0.00654331	0.311223	-5.43335e-05	0.0242699	-0.000608792	-0.000876248	0.397278	-0.00981889	0	0.0199306	0	0	0.284281	0	0	0	0	0	0.073725	0	
0.1	-3.84239e-05	0.00815649	0.227271	-2.38232e-05	-1.01735e-06	2.58132e-05	-2.37605e-05	0.0737209	2.58042e-05	0.0303131	-0.00567404	0.311201	-7.66195e-05	0.0347709	-0.000858572	-0.000891442	0.420042	-0.00999123	0	0.0273011	0	0	0.306513	0	0	0	0	0	0.073725	0	
0.125	-3.83943e-05	0.00893677	0.227271	-2.38448e-05	-3.73918e-08	2.5793e-05	-2.37823e-05	0.0737218	2.57826e-05	0.0303106	-0.00452187	0.311173	-9.93254e-05	0.046087	-0.00111314	-0.000908235	0.452644	-0.0101827	0	0.0353166	0	0	0.335988	0	0	0	0	0	0.073725	0	
0.15	-3.83578e-05	0.00992722	0.227271	-2.38721e-05	1.2062e-06	2.57689e-05	-2.38098e-05	0.0737231	2.57567e-05	0.0303075	-0.00305979	0.311139	-0.00012236	0.058483	-0.00137151	-0.000921401	0.49584	-0.0103349	0	0.0441666	0	0	0.373401	0	0	0	0	0	0.073725	0	
0.175	-3.83145e-05	0.0111512	0.227272	-2.39057e-05	2.7426e-06	2.57414e-05	-2.38435e-05	0.0737246	2.57271e-05	0.0303039	-0.00125357	0.311098	-0.000145437	0.0722487	-0.00163052	-0.000923055	0.550628	-0.0103602	0	0.0540601	0	0	0.419638	0	0	0	0	0	0.073725	0	
0.2	-3.82644e-05	0.0126377	0.227272	-2.39461e-05	4.60782e-06	2.57114e-05	-2.38841e-05	0.0737265	2.56945e-05	0.0302997	0.000939069	0.311051	-0.000167977	0.0877058	-0.00188375	-0.000901609	0.618282	-0.0101293	0	0.065231	0	0	0.475789	0	0	0	0	0	0.073725	0	
0.225	-3.8208e-05	0.0144219	0.227272	-2.39941e-05	6.84555e-06	2.56806e-05	-2.39324e-05	0.0737287	2.56605e-05	0.030295	0.00356945	0.310998	-0.000188984	0.105215	-0.00212013	-0.000840284	0.700377	-0.00945511	0	0.0779432	0	0	0.543183	0	0	0	0	0	0.073725	0	
0.25	-3.81463e-05	0.0165458	0.227273	-2.40506e-05	9.50818e-06	2.5651e-05	-2.39892e-05	0.0737314	2.56272e-05	0.0302898	0.0066991	0.31094	-0.00020686	0.125186	-0.00232186	-0.00071503	0.798838	-0.00806937	0	0.092497	0	0	0.623411	0	0	0	0	0	0.073725	0	
0.275	-3.80809e-05	0.0190596	0.227273	-2.41164e-05	1.26581e-05	2.56263e-05	-2.40554e-05	0.0737345	2.55981e-05	0.0302843	0.0104013	0.310879	-0.000219152	0.148086	-0.00246163	-0.000491671	0.915995	-0.00559076	0	0.109236	0	0	0.718369	0	0	0	0	0	0.073725	0	
0.3	-3.80145e-05	0.0220229	0.227273	-2.41925e-05	1.63689e-05	2.56114e-05	-2.4132e-05	0.0737382	2.5578e-05	0.0302788	0.0147626	0.310816	-0.000222203	0.174453	-0.00249868	-0.000122057	1.05466	-0.00148187	0	0.128557	0	0	0.8303	0	0	0	0	0	0.073725	0	
0	-3.80145e-05	0.0220229	0.227273	-2.41925e-05	1.63689e-05	2.56114e-05	-2.4132e-05	0.0737382	2.5578e-05	0.0302788	0.0147626	0.310816	-0.000222203	0.174453	-0.00249868	-0.000122057	1.05466	-0.00148187	0	0.128557	0	0	0.8303	0	0	0	0	0	0.073725	0	
0.025	-3.79519e-05	0.0254711	0.227274	-2.42792e-05	2.06844e-05	2.56137e-05	-2.42193e-05	0.0737426	2.55741e-05	0.0302735	0.0198347	0.310757	-0.000208864	0.202884	-0.00235303	0.00053357	1.13725	0.00582597	0	0.146751	0	0	0.624319	0	0	0	0	0	0.073725	0	
0.05	-3.7901e-05	0.0293088	0.227274	-2.43731e-05	2.54847e-05	2.56412e-05	-2.43139e-05	0.0737474	2.55948e-05	0.0302693	0.0254767	0.31071	-0.000169004	0.225683	-0.00191075	0.00159438	0.911987	0.017691	0	0.159727	0	0	0.412822	0	0	0	0	0	0.073725	0	
0.075	-3.78686e-05	0.0334039	0.227274	-2.44703e-05	3.06043e-05	2.56996e-05	-2.44118e-05	0.0737525	2.5646e-05	0.0302667	0.031495	0.310679	-0.000106066	0.240732	-0.00120999	0.00251753	0.601939	0.0280304	0	0.167346	0	0	0.19581	0	0	0	0	0	0.073725	0	
0.1	-3.7859e-05	0.037621	0.227274	-2.45671e-05	3.58742e-05	2.57912e-05	-2.45095e-05	0.0737578	2.57302e-05	0.030266	0.0376914	0.310671	-2.86988e-05	0.247855	-0.00034726	0.00309469	0.284909	0.0345093	0	0.169471	0	0	-0.0267186	0	0	0	0	0	0.073725	0	
0.125	-3.78263e-05	0.0418211	0.227274	-2.21949e-05	3.70103e-05	2.33244e-05	-2.21439e-05	0.0737592	2.32627e-05	0.0302662	0.0438644	0.310686	1.08315e-05	0.24692	0.000634729	0.00158121	-0.0373927	0.0392796	0	0.165964	0	0	-0.254763	0	0	0	0	0	0.073725	0	
0.15	-3.79215e-05	0.0458619	0.227274	-2.22726e-05	4.15533e-05	2.34582e-05	-2.22223e-05	0.0737638	2.33901e-05	0.0302693	0.0498036	0.310722	0.000123769	0.237568	0.00140534	0.0045175	-0.37408	0.0308245	0	0.156687	0	0	-0.488323	0	0	0	0	0	0.073725	0	
0	-3.79215e-05	0.0458619	0.227274	-2.22726e-05	4.15533e-05	2.34582e-05	-2.22223e-05	0.0737638	2.33901e-05	0.0302693	0.0498036	0.310722	0.000123769	0.237568	0.00140534	0.0045175	-0.37408	0.0308245	0	0.128557	0	0	-1.05093	0	0	0	0	0	0.073725	0	
0.025	-3.79626e-05	0.0487562	0.227274	-2.49504e-05	5.65486e-05	2.35703e-05	-2.22762e-05	0.073767	2.34978e-05	0.0302734	0.0540564	0.31076	0.000161685	0.170111	0.0015341	0.00151664	-2.69826	0.00515045	0	0.103699	0	0	-0.941606	0	-2.62678e-06	1.17525e-05	0	0	0.073725	0	
0.05	-3.80112e-05	0.0510615	0.227273	-4.25137e-05	0.00013754	2.36698e-05	-2.2315e-05	0.0737696	2.35954e-05	0.0302809	0.057429	0.310801	0.000301464	0.134903	0.00165385	0.00559115	-1.40832	0.00478981	0	0.0812912	0	0	-0.854529	0	-2.01663e-05	9.02261e-05	0	0	0.073725	0	
0.075	-3.80685e-05	0.0528323	0.227273	-8.58699e-05	0.000333387	2.37527e-05	-2.23383e-05	0.0737715	2.368e-05	0.0302941	0.0599895	0.310844	0.000528698	0.102424	0.0016901	0.00908935	-1.29919	0.00145024	0	0.0608043	0	0	-0.787643	0	-6.35353e-05	0.000284264	0	0	0.073725	0	
0.1	-3.81334e-05	0.0541105	0.227273	-0.000159012	0.000661998	2.38163e-05	-2.23466e-05	0.0737729	2.37495e-05	0.0303137	0.061795	0.310885	0.000783377	0.0722172	0.00164347	0.0101872	-1.20825	-0.00186518	0	0.0417541	0	0	-0.739368	0	-0.00013673	0.000611744	0	0	0.073725	0	
