time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.00555141	7.77775	5.51652	-0.0155723	-5.49745	-7.76249	0.00530281	8.44927	5.50733	-0.0160951	-5.48822	-8.43401	
0.05	0.00557525	7.71324	5.51738	-0.0155152	-5.49831	-7.69798	0.00532664	8.38499	5.50825	-0.0160339	-5.48915	-8.36973	
0.075	0.00561561	7.60398	5.51881	-0.0154197	-5.49975	-7.58872	0.00536698	8.27613	5.5098	-0.0159314	-5.49071	-8.26087	
0.1	0.00567345	7.44733	5.52084	-0.0152851	-5.50178	-7.43207	0.00542479	8.12003	5.51199	-0.0157868	-5.49291	-8.10477	
0.125	0.00575014	7.23947	5.52346	-0.015111	-5.50441	-7.22421	0.00550144	7.91289	5.51484	-0.0155994	-5.49576	-7.89763	
0.15	0.00584748	6.97536	5.52669	-0.014897	-5.50765	-6.9601	0.00559874	7.64966	5.51835	-0.0153685	-5.49928	-7.6344	
0.175	0.00596778	6.64855	5.53052	-0.0146433	-5.51149	-6.63329	0.005719	7.3239	5.52253	-0.0150939	-5.50348	-7.30864	
0.2	0.00611389	6.25108	5.53493	-0.0143514	-5.51592	-6.23582	0.00586505	6.92765	5.52738	-0.0147765	-5.50835	-6.91239	
0.225	0.00628927	5.77324	5.53989	-0.0140246	-5.5209	-5.75798	0.00604036	6.45118	5.53286	-0.014419	-5.51384	-6.43592	
0.25	0.00649807	5.20337	5.54529	-0.013669	-5.52632	-5.18811	0.00624909	5.88281	5.53889	-0.0140268	-5.5199	-5.86755	
0.275	0.00674522	4.52753	5.55099	-0.0132952	-5.53204	-4.51228	0.00649616	5.20857	5.54534	-0.0136095	-5.52637	-5.19331	
0.3	0.00703657	3.7293	5.55673	-0.0129205	-5.5378	-3.71404	0.00678744	4.41196	5.55197	-0.0131834	-5.53302	-4.3967	
0	0.00703657	3.7293	5.55673	-0.0129205	-5.5378	-3.71404	0.00678744	4.41196	5.55197	-0.0131834	-5.53302	-4.3967	
0.025	0.00737563	2.79864	5.56205	-0.0125744	-5.54314	-2.78338	0.00712643	3.48283	5.55835	-0.0127773	-5.53942	-3.46757	
0.05	0.00775301	1.76116	5.56626	-0.0123033	-5.54736	-1.7459	0.00750375	2.44659	5.56373	-0.0124393	-5.54483	-2.43133	
0.075	0.0081557	0.652853	5.56873	-0.0121469	-5.54984	-0.637594	0.00790641	1.33906	5.56747	-0.0122113	-5.54858	-1.3238	
