Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.018	-0.0039	-0.0842	1.011	0.7101	0.0073	-0.0236	
0.053	0.0383	0.0557	0.9922	0.7101	0.0089	-0.0223	
0.087	-0.0488	0.1072	0.9912	0.7103	0.0124	-0.0211	
0.121	0.0132	-0.073	0.9561	0.7101	0.0158	-0.021	
0.156	-0.0601	0.2659	0.95	0.7103	0.0192	-0.0211	
0.191	0.0322	-0.0117	1.0002	0.7107	0.0164	-0.0238	
0.225	0.0146	0.1074	0.9648	0.7103	0.0168	-0.0239	
0.259	-0.0278	0.0676	0.9944	0.7109	0.0156	-0.0211	
0.294	0.1294	-0.2498	1.0259	0.7108	0.0152	-0.022	
0.329	0.0029	0.0359	0.9768	0.7116	0.0192	-0.0218	
0.363	0.0408	-0.0989	1.0566	0.7114	0.0197	-0.0235	
0.398	0.0344	0.2427	1.0432	0.7114	0.0276	-0.0251	
0.433	0.0129	-0.0081	0.9968	0.712	0.0258	-0.0274	
0.476	0.0366	-0.0623	1.022	0.7124	0.0204	-0.0255	
0.509	0.0029	0.0581	1.0195	0.7124	0.0231	-0.0225	
0.527	0.0178	0.0996	0.9797	0.7121	0.0233	-0.0224	
0.527	0.0178	0.0996	0.9797	0.7121	0.0233	-0.0224	
2.901	-0.238	-0.3433	0.9309	0.728	0.0055	-0.0078	
2.936	-0.2505	0.0869	0.9253	0.7303	0.0003	-0.0055	
2.971	0.166	-0.1277	1.0471	0.7327	-0.0101	-0.0036	
2.997	-0.0376	0.0847	1.1489	0.7361	-0.03	-0.0034	
3.023	0.5107	0.9304	1.0361	0.7373	-0.0318	-0.0051	
3.049	0.1624	-1.2908	1.1594	0.7392	-0.0436	-0.0049	
3.074	0.1406	0.2324	0.97	0.7405	-0.0474	-0.0081	
3.1	0.1514	-0.3818	1.1628	0.7401	-0.059	-0.0102	
3.127	-0.0071	-0.0344	0.855	0.741	-0.0612	-0.0092	
3.143	-0.0762	-0.6467	0.9495	0.7411	-0.0645	-0.0102	
3.17	0.1243	0.1323	1.1243	0.7415	-0.0574	-0.0121	
3.195	-0.0286	-0.1719	0.9194	0.7413	-0.0564	-0.011	
3.221	0.2283	-0.3875	1.0654	0.7415	-0.053	-0.0152	
3.248	0.0659	0.7944	0.8479	0.7397	-0.0448	-0.0162	
3.273	0.189	-0.22	0.9731	0.7371	-0.0433	-0.0199	
3.299	0.0527	-0.5579	0.9172	0.7361	-0.0446	-0.0202	
3.325	-0.1226	0.5645	0.7563	0.7374	-0.0248	-0.0175	
3.351	-0.0396	-0.9238	1.0732	0.7384	-0.0247	-0.0141	
3.368	-0.1799	0.8499	1.0339	0.7344	-0.0183	-0.0105	
3.394	-0.2212	-0.4822	0.7231	0.7355	-0.0186	-0.0057	
3.421	-0.0381	0.8867	0.8723	0.7344	-0.0146	-0.0024	
3.446	-0.1931	0.2432	0.9253	0.7337	-0.0159	0.0032	
3.472	0.0647	0.2046	1.0862	0.7336	-0.0106	0.0048	
3.498	0.0085	0.7627	1.1621	0.7338	0.0032	0.0035	
3.524	-0.3635	-1.4756	0.6243	0.7332	0.0015	0.0002	
3.55	-0.425	1.3391	0.7769	0.7331	0.002	-0.0023	
3.576	0.5288	-0.3293	0.8472	0.7333	-0.0019	-0.0149	
3.602	0.5271	-1.2949	1.7983	0.7305	-0.0108	-0.0162	
3.627	0.2456	-1.8889	1.8865	0.7269	-0.0221	-0.0174	
3.645	0.3953	0.3616	2.1982	0.7229	-0.0181	-0.0153	
3.67	0.0962	1.6714	0.397	0.7241	-0.025	-0.0168	
3.696	-0.6118	-1.0496	1.699	0.7276	-0.0374	-0.0079	
3.722	-0.2693	0.6311	1.7827	0.7314	-0.0391	-0.0009	
3.747	-0.3789	-1.0674	2.3711	0.7322	-0.0328	0.0065	
3.773	-0.3535	-1.1948	-1.6843	0.7322	-0.0375	0.0094	
3.799	-0.9167	2.0449	-0.113	0.725	-0.0352	0.0108	
3.825	0.5842	-1.1309	2.7544	0.7183	-0.0437	0.0091	
3.851	-0.0874	-1.261	0.6604	0.7175	-0.0385	0.0019	
3.877	0.2593	0.2278	0.4548	0.7234	-0.0222	0.0017	
3.895	0.0837	-1.7014	2.1353	0.7263	-0.0184	-0.0022	
3.92	0.1934	1.6267	0.7241	0.7244	-0.0005	-0.0078	
3.946	-0.5359	0.3293	0.5564	0.7279	0.0015	-0.0034	
3.973	0.364	0.4143	1.7302	0.7316	0.0056	-0.0106	
3.998	-0.0095	-0.0706	0.6238	0.7278	-0.0155	-0.0074	
4.024	-0.469	1.3191	0.856	0.727	-0.014	-0.0072	
4.05	0.0161	1.0425	2.4141	0.7276	-0.025	-0.0105	
4.076	-0.4387	1.521	0.3938	0.729	-0.0249	-0.0119	
4.102	-1.5322	0.0181	0.0867	0.7346	-0.0406	-0.0176	
4.127	0.1394	1.2463	2.3203	0.7374	-0.0535	-0.0227	
4.145	0.6028	1.8892	0.6472	0.7424	-0.0524	-0.0261	
4.17	-0.3318	-4.6372	0.9231	0.7467	-0.0653	-0.0278	
4.196	-0.9421	-0.9114	-0.2124	0.7427	-0.0702	-0.0235	
4.221	-0.2034	-0.261	1.1382	0.7384	-0.0737	-0.0194	
4.248	-0.0063	-4.1631	-0.207	0.739	-0.072	-0.0165	
4.274	-0.0964	-1.1392	2.0637	0.7434	-0.07	-0.0183	
4.299	2.2588	0.24	1.2134	0.7385	-0.064	-0.0218	
4.326	-0.2522	-1.3179	-0.2322	0.734	-0.0557	-0.0201	
4.351	-0.094	-0.8604	1.4221	0.735	-0.0565	-0.0217	
4.377	0.9041	0.0251	1.4321	0.7345	-0.0469	-0.0238	
4.404	-0.0718	-0.9897	0.4436	0.7356	-0.0419	-0.0207	
4.42	0.0071	-0.1565	1.0894	0.734	-0.0375	-0.0217	
4.447	0.0752	0.0076	0.7966	0.7338	-0.0286	-0.0195	
4.472	0.1096	-0.082	0.9868	0.7325	-0.0244	-0.0095	
4.498	0.0417	0.3967	1.3096	0.7321	-0.0035	-0.0007	
4.524	-0.3025	-1.3718	0.8376	0.7326	-0.0005	0.0069	
4.55	-0.0305	0.9023	0.5652	0.7336	0.0063	0.0076	
4.576	0.6287	-1.3757	3.0862	0.7318	0.0043	0.0091	
4.601	-1.1953	-1.9353	1.6465	0.7267	0.0036	0.0176	
4.628	-0.3784	0.1716	1.2974	0.727	-0.0043	0.0211	
4.653	0.0137	-0.3665	1.4653	0.7268	-0.0142	0.0227	
4.67	-0.0442	0.4436	-0.1675	0.7267	-0.0164	0.0236	
