L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
7.78022	5.52363	-0.0154797	-5.49451	-7.86813	8.29231	5.49451	-0.0161583	-5.49835	-8.41648	-468.06	80.7	-317.42	-780.1	449.23	-2.69	-164.09	-115.67	
7.78022	5.52363	-0.0154797	-5.49451	-7.86813	8.29231	5.49451	-0.0161583	-5.41044	-8.32857	-465.37	99.53	-390.05	-739.75	451.92	-2.69	-145.26	-29.59	
7.78022	5.52363	-0.0154797	-5.49451	-7.86813	8.2044	5.49451	-0.0161583	-5.49835	-8.24066	-653.67	75.32	-338.94	-766.65	156.02	-2.69	-150.64	-24.21	
7.6044	5.61154	-0.0154797	-5.49451	-7.78022	8.11648	5.49451	-0.0161583	-5.49835	-8.24066	-704.78	134.5	-328.18	-1086.76	519.17	-2.69	-169.47	75.32	
7.51648	5.52363	-0.0154797	-5.49451	-7.69231	8.02857	5.49451	-0.0161583	-5.41044	-8.06484	-352.39	86.08	-314.73	-1145.94	933.43	-2.69	-80.7	-13.45	
7.25275	5.52363	-0.0154797	-5.49451	-7.42857	7.76484	5.49451	-0.0161583	-5.49835	-7.88901	-295.9	29.59	-312.04	-1347.69	355.08	-2.69	-45.73	-139.88	
7.07692	5.61154	-0.0154797	-5.49451	-7.25275	7.5011	5.49451	-0.0161583	-5.41044	-7.62527	-841.97	-2.69	-274.38	-1498.33	425.02	0	-96.84	-301.28	
6.81319	5.61154	-0.0154797	-5.49451	-6.9011	7.14945	5.49451	-0.0161583	-5.58626	-7.36154	-801.62	-2.69	-317.42	-1579.03	298.59	0	-26.9	-16.14	
6.37363	5.61154	-0.0154711	-5.49451	-6.63736	6.7978	5.49451	-0.0161583	-5.49835	-6.83407	-1059.86	-2.69	-258.24	-1670.49	217.89	0	-94.15	-123.74	
5.93407	5.61154	-0.0154711	-5.49451	-6.10989	6.35824	5.49451	-0.0161583	-5.49835	-6.39451	-898.46	-2.69	-303.97	-1751.19	215.2	0	-86.08	43.04	
5.31868	5.61154	-0.0154711	-5.40659	-5.58242	5.74286	5.49451	-0.0161583	-5.49835	-5.77912	-1008.75	-2.69	-295.9	-1678.56	430.4	0	-43.04	21.52	
4.7033	5.61154	-0.0154711	-5.49451	-4.87912	4.95165	5.49451	-0.0161583	-5.58626	-5.16374	-1293.89	-2.69	-263.62	-1503.71	91.46	-5.38	-80.7	45.73	
3.91209	5.61154	-0.0154711	-5.49451	-4	4.24835	5.49451	-0.0161583	-5.58626	-4.37253	-621.39	-5.38	-352.39	-1221.26	519.17	-2.69	-88.77	-330.87	
3.73626	5.61154	-0.0154711	-5.49451	-3.82418	4.24835	5.49451	-0.0161583	-5.58626	-4.1967	-976.47	-2.69	-258.24	-1070.62	-5.38	-2.69	-115.67	355.08	
3.03297	5.69945	-0.0154711	-5.49451	-2.85714	3.36923	5.49451	-0.0161583	-5.49835	-3.22967	-492.27	-2.69	-333.56	-1027.58	403.5	45.73	-83.39	-338.94	
1.89011	5.61154	-0.0154711	-5.49451	-1.97802	2.4022	5.49451	-0.0161583	-5.58626	-2.35055	-817.76	123.74	-258.24	-489.58	196.37	0	-107.6	815.07	
0.747253	5.61154	-0.0154711	-5.49451	-0.747253	1.08352	5.49451	-0.0161583	-5.49835	-1.11978	-408.88	2.69	-344.32	-1046.41	131.81	16.14	-88.77	303.97	
-0.395604	5.69945	-0.0121209	-5.40659	0.395604	-0.0593407	5.49451	-0.0122755	-5.58626	0.286813	-511.1	56.49	-301.28	-734.37	147.95	0	-129.12	-1041.03	
-1.53846	5.61154	-0.0121896	-5.49451	1.62637	-1.11429	5.49451	-0.0121982	-5.58626	1.07802	-164.09	45.73	-271.69	-597.18	188.3	0	-102.22	212.51	
-2.68132	5.61154	-0.0124989	-5.49451	2.76923	-2.34505	5.49451	-0.0123443	-5.58626	2.30879	-158.71	18.83	-282.45	-61.87	753.2	0	-53.8	403.5	
-2.59341	5.61154	-0.0127824	-5.49451	2.68132	-2.34505	5.49451	-0.0120092	-5.49835	2.48462	-548.76	-2.69	-274.38	416.95	48.42	0	-16.14	540.69	
-3.47253	5.61154	-0.0131174	-5.49451	3.64835	-3.04835	5.49451	-0.0124044	-5.58626	3.1	118.36	48.42	-279.76	-269	712.85	0	-217.89	1011.44	
-4.08791	5.61154	-0.0133837	-5.49451	4.17582	-3.57582	5.49451	-0.0124473	-5.49835	3.71538	-680.57	80.7	-274.38	104.91	398.12	61.87	-67.25	807	
-4.61538	5.61154	-0.0136156	-5.49451	4.7033	-4.1033	5.49451	-0.0126105	-5.58626	4.33077	-67.25	51.11	-228.65	18.83	527.24	16.14	-80.7	1336.93	
-4.87912	5.69945	-0.0137788	-5.49451	4.96703	-4.45495	5.49451	-0.0126363	-5.49835	4.59451	-392.74	75.32	-271.69	-301.28	885.01	40.35	-26.9	858.11	
-4.96703	5.69945	-0.0138476	-5.58242	4.96703	-4.54286	5.49451	-0.0126793	-5.58626	4.77033	-196.37	-10.76	-199.06	166.78	503.03	0	-104.91	1186.29	
-4.96703	5.69945	-0.0138476	-5.58242	4.96703	-4.71868	5.49451	-0.0127566	-5.49835	4.85824	-150.64	-53.8	-277.07	0	839.28	-75.32	-2.69	1479.5	
-4.79121	5.69945	-0.013839	-5.58242	4.87912	-4.71868	5.49451	-0.0131947	-5.49835	4.77033	-112.98	-16.14	-215.2	-26.9	581.04	-8.07	-10.76	1199.74	
-4.7033	5.69945	-0.0136757	-5.58242	4.61538	-4.63077	5.49451	-0.0132291	-5.49835	4.68242	-139.88	-78.01	-411.57	271.69	1210.5	-80.7	48.42	1546.75	
-4.35165	5.61154	-0.013418	-5.58242	4.26374	-4.19121	5.49451	-0.0131517	-5.41044	4.33077	-134.5	-91.46	-403.5	182.92	1030.27	-78.01	48.42	1084.07	
-3.91209	5.78736	-0.0132205	-5.58242	3.91209	-3.83956	5.58242	-0.0130315	-5.41044	3.97912	-64.56	-137.19	-425.02	-53.8	984.54	-45.73	102.22	1240.09	
-3.38462	5.78736	-0.0129799	-5.58242	3.2967	-3.4	5.67033	-0.0128425	-5.49835	3.36374	102.22	-34.97	-511.1	172.16	1121.73	-80.7	34.97	1030.27	
-2.68132	5.78736	-0.0127308	-5.58242	2.68132	-2.60879	5.58242	-0.0126277	-5.49835	2.74835	-282.45	-56.49	-519.17	24.21	438.47	-150.64	0	554.14	
-2.59341	5.78736	-0.0126965	-5.58242	2.59341	-2.60879	5.58242	-0.012894	-5.49835	2.57253	142.57	-21.52	-559.52	352.39	796.24	-24.21	-96.84	-129.12	
-1.8022	5.78736	-0.0122841	-5.58242	1.8022	-1.81758	5.58242	-0.0125848	-5.58626	1.69341	282.45	-26.9	-519.17	-107.6	449.23	-158.71	-91.46	26.9	
-1.01099	5.78736	-0.0121639	-5.58242	0.835165	-0.850549	5.67033	-0.0125848	-5.58626	0.726374	-72.63	-64.56	-476.13	-204.44	728.99	-137.19	-258.24	21.52	
0.043956	5.69945	-0.0121724	-5.67033	-0.131868	0.204396	5.67033	-0.012559	-5.58626	-0.416484	-174.85	-121.05	-400.81	-328.18	395.43	-61.87	-252.86	1191.67	
1.01099	5.78736	-0.0121896	-5.58242	-1.18681	1.08352	5.58242	-0.0125762	-5.58626	-1.20769	-231.34	-134.5	-282.45	-287.83	309.35	-145.26	-349.7	-470.75	
