time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.025	-5.18714e-05	0.0011175	0.222532	-6.9072e-05	-0.00799676	6.15872e-05	-0.000792767	0.0834207	6.16397e-05	0	0.000925914
0.05	-5.18702e-05	0.00115227	0.222532	-6.90738e-05	-0.00799668	6.15845e-05	-0.000792769	0.0834208	6.1636e-05	0	0.00187458
0.075	-5.1868e-05	0.00121118	0.222532	-6.90769e-05	-0.00799654	6.15799e-05	-0.000792773	0.0834209	6.16298e-05	0	0.00286932
0.1	-5.18649e-05	0.00129566	0.222532	-6.90814e-05	-0.00799634	6.15733e-05	-0.000792777	0.0834211	6.16209e-05	0	0.00393457
0.125	-5.18609e-05	0.0014078	0.222532	-6.90873e-05	-0.00799607	6.15646e-05	-0.000792784	0.0834214	6.16091e-05	0	0.00509651
0.15	-5.18557e-05	0.00155035	0.222532	-6.90948e-05	-0.00799573	6.15536e-05	-0.000792792	0.0834217	6.15942e-05	0	0.0063837
0.175	-5.18494e-05	0.00172682	0.222532	-6.91041e-05	-0.00799531	6.15401e-05	-0.000792801	0.0834221	6.15758e-05	0	0.00782777
0.2	-5.18417e-05	0.00194153	0.222532	-6.91154e-05	-0.0079948	6.15238e-05	-0.000792813	0.0834226	6.15536e-05	0	0.00946421
0.225	-5.18325e-05	0.00219978	0.222532	-6.91289e-05	-0.00799419	6.15045e-05	-0.000792828	0.0834232	6.15272e-05	0	0.0113332
0.25	-5.18216e-05	0.0025079	0.222533	-6.91451e-05	-0.00799346	6.14817e-05	-0.000792845	0.083424	6.14959e-05	0	0.0134808
0.275	-5.18087e-05	0.00287347	0.222533	-6.91642e-05	-0.00799259	6.14551e-05	-0.000792865	0.0834248	6.14592e-05	0	0.0159596
0.3	-5.17938e-05	0.00330547	0.222533	-6.91867e-05	-0.00799156	6.14242e-05	-0.000792889	0.0834259	6.14165e-05	0	0.0188307
0.325	-5.17763e-05	0.00381452	0.222533	-6.92132e-05	-0.00799035	6.13888e-05	-0.000792917	0.0834271	6.1367e-05	0	0.0221645
0.35	-5.17562e-05	0.00441313	0.222534	-6.92442e-05	-0.00798893	6.13482e-05	-0.00079295	0.0834285	6.131e-05	0	0.026043
0.375	-5.17329e-05	0.00511601	0.222534	-6.92805e-05	-0.00798726	6.13022e-05	-0.000792989	0.0834302	6.12447e-05	0	0.0305615
0.4	-5.17062e-05	0.00594044	0.222534	-6.93228e-05	-0.00798531	6.12505e-05	-0.000793034	0.0834321	6.11703e-05	0	0.0358311
0.425	-5.16758e-05	0.00690667	0.222535	-6.93721e-05	-0.00798302	6.11931e-05	-0.000793087	0.0834344	6.10862e-05	0	0.0419812
0.45	-5.16412e-05	0.00803847	0.222535	-6.94295e-05	-0.00798033	6.113e-05	-0.000793148	0.0834371	6.09919e-05	0	0.049163
0.475	-5.16024e-05	0.00936364	0.222536	-6.94962e-05	-0.00797719	6.10621e-05	-0.000793219	0.0834402	6.08875e-05	0	0.057553
0.5	-5.15591e-05	0.0109148	0.222537	-6.95735e-05	-0.00797352	6.09907e-05	-0.000793302	0.0834439	6.07733e-05	0	0.0673574
0	-5.15591e-05	0.0109148	0.222537	-6.95735e-05	-0.00797352	6.09907e-05	-0.000793302	0.0834439	6.07733e-05	0	0.0673574
0.025	-5.1607e-05	0.0127188	0.222537	-6.96626e-05	-0.00796924	6.09187e-05	-0.000793397	0.0834482	6.06515e-05	-1.14053e-05	0.0774568
0.05	-5.22093e-05	0.0147619	0.222538	-6.97635e-05	-0.00796441	6.08517e-05	-0.000793505	0.083453	6.05281e-05	-4.44516e-05	0.0865734
0.075	-5.3885e-05	0.0170197	0.222539	-6.98756e-05	-0.00795907	6.07957e-05	-0.000793625	0.0834583	6.04096e-05	-9.73841e-05	0.0947012
0.1	-5.7109e-05	0.0194674	0.22254	-6.99986e-05	-0.00795329	6.07565e-05	-0.000793757	0.0834641	6.03027e-05	-0.000168448	0.101834
0.125	-6.23128e-05	0.0220802	0.22254	-7.01316e-05	-0.00794712	6.07395e-05	-0.0007939	0.0834703	6.02134e-05	-0.000255889	0.107965
0.15	-6.98838e-05	0.0248331	0.222541	-7.02741e-05	-0.00794063	6.07496e-05	-0.000794053	0.0834768	6.01472e-05	-0.000357952	0.113089
0.175	-8.01657e-05	0.027701	0.222542	-7.04252e-05	-0.00793387	6.07907e-05	-0.000794216	0.0834835	6.0109e-05	-0.000472883	0.117199
0.2	-9.34581e-05	0.0306584	0.222542	-7.05843e-05	-0.0079269	6.08662e-05	-0.000794387	0.0834905	6.01024e-05	-0.000598927	0.12029
0.225	-0.000110017	0.0336801	0.222542	-7.07505e-05	-0.00791978	6.09779e-05	-0.000794566	0.0834976	6.01303e-05	-0.000734328	0.122355
