L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
11.2967	-12.2637	0	2.69	96.84	
11.2967	-12.2637	0	2.69	137.19	
11.2967	-12.2637	0	2.69	134.5	
11.2967	-12.2637	0	2.69	-51.11	
11.2967	-12.2637	0	2.69	-193.68	
11.2967	-12.2637	0	2.69	80.7	
11.2967	-12.2637	0	2.69	185.61	
11.2967	-12.0879	0	2.69	-5.38	
11.2967	-12.0879	0	2.69	-112.98	
11.2967	-12.1758	0	2.69	8.07	
11.033	-11.9121	0	2.69	258.24	
11.033	-11.8242	0	2.69	-107.6	
10.9451	-11.7363	0	32.28	-21.52	
10.9451	-11.5604	0	5.38	-56.49	
10.7692	-11.4725	0	51.11	244.79	
10.5934	-11.2088	0	45.73	508.41	
10.4176	-11.033	0	53.8	217.89	
10.4176	-10.8571	0	16.14	-99.53	
10.2418	-10.5055	0	51.11	-13.45	
9.89011	-10.1538	0	123.74	-16.14	
9.62637	-9.8022	0	51.11	40.35	
9.36264	-9.8022	0	18.83	2.69	
9.27473	-9.45055	0	72.63	-80.7	
9.01099	-8.83516	0	112.98	-80.7	
8.48352	-8.30769	0	139.88	61.87	
7.95604	-7.6044	0	107.6	161.4	
7.34066	-6.9011	0	177.54	589.11	
6.72527	-6.1978	0	139.88	51.11	
5.93407	-5.40659	0	199.06	-317.42	
5.23077	-4.61538	0	153.33	139.88	
4.61538	-3.82418	0	147.95	-182.92	
3.82418	-3.03297	0	166.78	-207.13	
3.2967	-2.15385	0	118.36	-360.46	
2.59341	-1.36264	0	182.92	-266.31	
1.8022	-0.571429	0	169.47	123.74	
1.0989	0.21978	0	169.47	-282.45	
0.307692	0.923077	0	190.99	-454.61	
-0.395604	1.71429	0	166.78	-145.26	
-1.27473	2.41758	0	177.54	-59.18	
-1.97802	3.03297	0	158.71	-269	
-2.59341	3.56044	0	137.19	-852.73	
-3.03297	4.17582	0	131.81	-599.87	
-3.47253	4.17582	0	75.32	-449.23	
-3.73626	4.43956	0	64.56	-468.06	
-4.17582	4.96703	0	104.91	-761.27	
-4.87912	5.05495	0	182.92	-473.44	
-5.58242	5.49451	0	204.44	-465.37	
-6.37363	5.58242	0	239.41	-680.57	
-7.25275	5.67033	0	228.65	-363.15	
-8.13187	5.75824	0	156.02	-352.39	
-8.3956	5.84615	0	40.35	-277.07	
-8.57143	5.84615	0	32.28	-2.69	
-8.3956	5.75824	0	5.38	67.25	
-8.21978	5.75824	0	5.38	476.13	
-8.13187	5.58242	0	2.69	215.2	
-7.78022	5.49451	0	-0	236.72	
-7.42857	5.40659	0	-61.87	252.86	
-7.16484	5.23077	0	-48.42	59.18	
-6.72527	5.05495	0	-83.39	153.33	
-6.37363	4.96703	0	-86.08	8.07	
-6.02198	4.7033	0	-99.53	-53.8	
-5.58242	4.43956	0	-88.77	-597.18	
-5.31868	4.08791	0	-51.11	-664.43	
-4.96703	4.08791	0	-34.97	-954.95	
-4.79121	3.82418	0	-18.83	-1008.75	
-4.26374	3.47253	0	-110.29	-1589.79	
-3.82418	2.76923	0	-64.56	-1616.69	
-3.47253	2.32967	0	-59.18	-1350.38	
-3.12088	1.62637	0	-94.15	-1917.97	
-2.68132	1.0989	0	-104.91	-1670.49	
-1.97802	0.307692	0	-158.71	-1640.9	
-1.27473	-0.307692	0	-150.64	-1627.45	
-0.571429	-1.27473	0	-110.29	-1484.88	
0.131868	-1.97802	0	-185.61	-1605.93	
1.01099	-2.50549	0	-209.82	-1377.28	
