L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
6.9011	2.59341	0.000240528	-2.52747	-6.9011	11.1154	2.50549	-0.00903699	-2.41758	-11.033	150.64	-34.97	212.51	411.57	-10.76	-239.41	180.23	53.8	
6.9011	2.59341	0.000240528	-2.52747	-6.81319	11.1154	2.50549	-0.00903699	-2.41758	-11.033	150.64	-34.97	212.51	349.7	-10.76	-231.34	182.92	56.49	
6.9011	2.59341	0.000240528	-2.52747	-6.81319	11.1154	2.50549	-0.00903699	-2.41758	-11.033	150.64	-34.97	212.51	395.43	-10.76	-239.41	180.23	118.36	
6.9011	2.59341	0.000240528	-2.52747	-6.9011	11.1154	2.50549	-0.00903699	-2.41758	-11.033	172.16	-37.66	212.51	312.04	80.7	-234.03	180.23	51.11	
6.9011	2.59341	0.000240528	-2.52747	-6.81319	11.0275	2.50549	-0.00903699	-2.41758	-11.033	91.46	-34.97	212.51	347.01	-8.07	-239.41	182.92	53.8	
6.9011	2.59341	0.000240528	-2.52747	-6.81319	11.1154	2.50549	-0.00903699	-2.41758	-11.033	147.95	-34.97	209.82	266.31	-24.21	-250.17	180.23	-21.52	
6.81319	2.59341	0.000240528	-2.52747	-6.81319	10.9396	2.50549	-0.00903699	-2.41758	-10.9451	121.05	-34.97	212.51	511.1	5.38	-242.1	180.23	88.77	
6.81319	2.59341	0.000240528	-2.52747	-6.72527	10.9396	2.50549	-0.00903699	-2.41758	-10.9451	153.33	-34.97	212.51	384.67	-145.26	-239.41	180.23	56.49	
6.72527	2.59341	0.000240528	-2.52747	-6.72527	10.8516	2.50549	-0.00903699	-2.41758	-10.9451	145.26	-37.66	209.82	572.97	-2.69	-244.79	182.92	61.87	
6.72527	2.59341	0.000240528	-2.52747	-6.54945	10.9396	2.50549	-0.00903699	-2.41758	-10.7692	150.64	-34.97	204.44	174.85	-24.21	-242.1	180.23	45.73	
6.63736	2.59341	0.000240528	-2.52747	-6.54945	10.7637	2.50549	-0.00879646	-2.41758	-10.7692	153.33	-34.97	207.13	852.73	0	-239.41	180.23	64.56	
6.54945	2.59341	0.000240528	-2.52747	-6.37363	10.6758	2.50549	-0.00879646	-2.41758	-10.6813	150.64	-34.97	212.51	554.14	231.34	-234.03	182.92	207.13	
6.46154	2.59341	0.000240528	-2.52747	-6.37363	10.5879	2.50549	-0.00879646	-2.41758	-10.5055	99.53	-34.97	209.82	691.33	0	-225.96	177.54	263.62	
6.28571	2.59341	0.000240528	-2.52747	-6.1978	10.4121	2.50549	-0.00879646	-2.41758	-10.4176	153.33	-37.66	234.03	632.15	-2.69	-236.72	180.23	59.18	
6.10989	2.59341	0.000240528	-2.61538	-6.10989	10.3242	2.50549	-0.00879646	-2.41758	-10.2418	45.73	-34.97	209.82	624.08	395.43	-228.65	180.23	225.96	
6.02198	2.59341	0.000206167	-2.52747	-5.93407	10.1484	2.50549	-0.00879646	-2.41758	-10.2418	217.89	-34.97	215.2	486.89	-699.4	-231.34	174.85	-314.73	
5.75824	2.59341	0.000309251	-2.52747	-5.75824	9.88462	2.50549	-0.0087621	-2.41758	-9.89011	166.78	-34.97	223.27	742.44	605.25	-225.96	180.23	373.91	
5.58242	2.59341	0.000618501	-2.52747	-5.49451	9.70879	2.50549	-0.00834976	-2.41758	-9.71429	217.89	-40.35	204.44	917.29	83.39	-236.72	177.54	43.04	
5.31868	2.59341	0.000652862	-2.52747	-5.23077	9.53297	2.50549	-0.00862465	-2.41758	-9.45055	298.59	-43.04	207.13	395.43	-505.72	-234.03	174.85	271.69	
4.96703	2.59341	0.00058414	-2.52747	-4.87912	9.09341	2.50549	-0.00824668	-2.41758	-9.0989	277.07	-43.04	204.44	653.67	131.81	-234.03	180.23	-104.91	
4.61538	2.59341	0.000687223	-2.52747	-4.61538	8.74176	2.50549	-0.00783435	-2.41758	-8.74725	193.68	-37.66	207.13	650.98	-330.87	-239.41	177.54	40.35	
4.52747	2.59341	0.000927752	-2.52747	-4.43956	8.65385	2.50549	-0.00687223	-2.41758	-8.65934	365.84	-40.35	207.13	586.42	301.28	-234.03	177.54	99.53	
4.26374	2.59341	0.000824668	-2.52747	-4.08791	8.3022	2.50549	-0.00615065	-2.41758	-8.30769	379.29	-34.97	209.82	540.69	-18.83	-217.89	180.23	2.69	
3.64835	2.59341	0.000927752	-2.52747	-3.64835	7.77473	2.50549	-0.00618501	-2.41758	-7.69231	352.39	-34.97	209.82	494.96	-190.99	-236.72	174.85	-949.57	
3.20879	2.59341	0.0018555	-2.52747	-3.12088	7.15934	2.50549	-0.00377973	-2.41758	-7.16484	459.99	-37.66	150.64	562.21	435.78	-242.1	212.51	-99.53	
2.50549	2.59341	0.00192423	-2.52747	-2.41758	6.71978	2.50549	-0.0047762	-2.50549	-6.63736	330.87	-72.63	223.27	621.39	-258.24	-236.72	204.44	-75.32	
1.89011	2.59341	0.0023022	-2.61538	-1.89011	6.1044	2.50549	-0.00357356	-2.50549	-6.10989	347.01	-40.35	201.75	104.91	96.84	-234.03	217.89	150.64	
1.27473	2.59341	0.00233656	-2.61538	-1.18681	5.4011	2.50549	-0.00377973	-2.50549	-5.31868	231.34	-37.66	150.64	629.46	-32.28	-236.72	290.52	166.78	
0.483516	2.59341	0.00226784	-2.61538	-0.395604	4.6978	2.50549	-0.00360792	-2.50549	-4.61538	347.01	-40.35	204.44	871.56	-123.74	-225.96	223.27	-637.53	
-0.131868	2.59341	0.00243964	-2.61538	0.307692	3.90659	2.50549	-0.00302378	-2.50549	-3.82418	392.74	-40.35	99.53	602.56	-244.79	-231.34	182.92	10.76	
-0.835165	2.59341	0.00233656	-2.61538	1.0989	3.2033	2.50549	-0.00288634	-2.50549	-3.12088	215.2	-45.73	212.51	247.48	-21.52	-236.72	190.99	-110.29	
-1.62637	2.59341	0.00199295	-2.52747	1.89011	2.5	2.50549	-0.00257709	-2.50549	-2.32967	379.29	-40.35	196.37	69.94	29.59	-236.72	282.45	-156.02	
-2.32967	2.59341	0.00140881	-2.61538	2.68132	1.7967	2.50549	-0.00250837	-2.50549	-1.71429	330.87	-40.35	212.51	459.99	-69.94	-234.03	180.23	-365.84	
-3.20879	2.59341	0.00116828	-2.61538	3.38462	0.917582	2.50549	-0.0023022	-2.50549	-0.835165	379.29	-40.35	271.69	13.45	110.29	-236.72	182.92	-352.39	
-3.82418	2.59341	0.00144317	-2.52747	4.17582	0.302198	2.50549	-0.00219911	-2.50549	-0.131868	336.25	-43.04	209.82	59.18	-86.08	-236.72	199.06	-250.17	
-4.52747	2.59341	0.000618501	-2.52747	4.96703	-0.401099	2.50549	-0.0023022	-2.50549	0.571429	882.32	-45.73	217.89	142.57	-392.74	-236.72	180.23	-478.82	
-5.31868	2.59341	0.000274889	-2.52747	5.49451	-1.19231	2.50549	-0.00233656	-2.50549	1.27473	309.35	-61.87	196.37	78.01	156.02	-236.72	182.92	-381.98	
-5.93407	2.59341	0.000377973	-2.52747	6.1978	-1.8956	2.50549	-0.00254273	-2.50549	1.97802	-2.69	-110.29	185.61	209.82	110.29	-250.17	182.92	-271.69	
-6.54945	2.59341	-0.000240528	-2.52747	6.72527	-2.42308	2.50549	-0.002474	-2.41758	2.59341	850.04	-37.66	37.66	134.5	-172.16	-236.72	207.13	-403.5	
